"QID","itemLabel","itemDescription","article"
"Q718996","Arzu Film","film production company",NA
"Q392569","Agenda Media","media production company based in Lauenburg",NA
"Q168383","Universal Pictures","American film studio","https://en.wikipedia.org/wiki/Universal_Pictures"
"Q167186","National Geographic Society","American non-profit scientific and educational institution","https://en.wikipedia.org/wiki/National_Geographic_Society"
"Q678058","1492 Pictures","American film production company","https://en.wikipedia.org/wiki/1492_Pictures"
"Q422105","AFIFA","film production company",NA
"Q488710","Mezhrabpom-Film","German-Russian film studio (1928-1936)","https://en.wikipedia.org/wiki/Mezhrabpomfilm"
"Q551580","Q551580","film production company",NA
"Q621364","Legendary Pictures","American media company based in Burbank, California","https://en.wikipedia.org/wiki/Legendary_Entertainment"
"Q495396","Cines","Italian film production company founded in 1906, formerly known as Alberini & Santoni","https://en.wikipedia.org/wiki/Cines"
"Q512858","Spyglass Media Group","American film production company founded in 1998","https://en.wikipedia.org/wiki/Spyglass_Media_Group"
"Q624886","FilmDistrict","former American independent production company and film distributor owned by Comcast","https://en.wikipedia.org/wiki/FilmDistrict"
"Q577589","Dovzhenko Film Studios","Ukrainian film company","https://en.wikipedia.org/wiki/Dovzhenko_Film_Studios"
"Q618489","Kinoproduction","Finnish film production company",NA
"Q465893","American Nurses Association","professional organization for nurses in the United States","https://en.wikipedia.org/wiki/American_Nurses_Association"
"Q497155","Touchstone Pictures","American film production company","https://en.wikipedia.org/wiki/Touchstone_Pictures"
"Q618091","Apatow Productions","American film production company","https://en.wikipedia.org/wiki/Apatow_Productions"
"Q540172","Prana Film","film production company","https://en.wikipedia.org/wiki/Prana_Film"
"Q609069","Boll KG","Production company of German filmmaker Uwe Boll","https://en.wikipedia.org/wiki/Boll_KG"
"Q642996","UPA","American film production company","https://en.wikipedia.org/wiki/United_Productions_of_America"
"Q500088","DreamWorks Animation","American animation studio","https://en.wikipedia.org/wiki/DreamWorks_Animation"
"Q474369","Amour Fou","Austrian film production company",NA
"Q822314","Sony Pictures","Japanese television and film production and distribution unit of Sony","https://en.wikipedia.org/wiki/Sony_Pictures"
"Q465832","Biograph Company","defunct American film studio","https://en.wikipedia.org/wiki/Biograph_Company"
"Q626323","Cinema Service","film production company","https://en.wikipedia.org/wiki/Cinema_Service"
"Q541569","Orange Sky Golden Harvest","Hong Kong film production company","https://en.wikipedia.org/wiki/Orange_Sky_Golden_Harvest"
"Q441021","Aafa-Film","film production company","https://en.wikipedia.org/wiki/Aafa-Film"
"Q626185","SHOWBOX Co., Ltd.","South Korean film company","https://en.wikipedia.org/wiki/Showbox"
"Q821063","Berlin-Film","film production company",NA
"Q574625","NTV","Russian television channel","https://en.wikipedia.org/wiki/NTV_(Russia)"
"Q511731","Imagine Entertainment","American film and television production company","https://en.wikipedia.org/wiki/Imagine_Entertainment"
"Q622848","Castle Rock Entertainment","American film and television production company","https://en.wikipedia.org/wiki/Castle_Rock_Entertainment"
"Q564960","Constantin Film","German film production company","https://en.wikipedia.org/wiki/Constantin_Film"
"Q575024","Edison's Black Maria","film production company","https://en.wikipedia.org/wiki/Edison%27s_Black_Maria"
"Q426078","Producciones Sin Un Duro","film production company","https://en.wikipedia.org/wiki/Producciones_Sin_Un_Duro"
"Q615141","Outlaw Productions","American film production company","https://en.wikipedia.org/wiki/Outlaw_Productions"
"Q470851","Amicus Productions","film production company","https://en.wikipedia.org/wiki/Amicus_Productions"
"Q497661","Bombay Talkies","Movie studio","https://en.wikipedia.org/wiki/Bombay_Talkies"
"Q439623","Itala Film","film production company","https://en.wikipedia.org/wiki/Itala_Film"
"Q540122","Selznick International Pictures","defunct American film studio","https://en.wikipedia.org/wiki/Selznick_International_Pictures"
"Q641497","Arena Synchron","film production company",NA
"Q434841","20th Century Studios","American film studio owned by The Walt Disney Company","https://en.wikipedia.org/wiki/20th_Century_Studios"
"Q812893","Beacon Pictures","film production company","https://en.wikipedia.org/wiki/Beacon_Pictures"
"Q492725","Eyeworks","Dutch film production company","https://en.wikipedia.org/wiki/Eyeworks"
"Q547341","Animal Logic","Australian animation and visual effects studio","https://en.wikipedia.org/wiki/Animal_Logic"
"Q457893","Amblin Entertainment","American film production company","https://en.wikipedia.org/wiki/Amblin_Entertainment"
"Q618491","Illume","Finnish film production company",NA
"Q640786","Troma Entertainment","American independent film production and distribution company","https://en.wikipedia.org/wiki/Troma_Entertainment"
"Q466459","Regency Enterprises","American entertainment company","https://en.wikipedia.org/wiki/Regency_Enterprises"
"Q557387","Original Film","film production company","https://en.wikipedia.org/wiki/Original_Film"
"Q456294","The Mirisch Company","film production company","https://en.wikipedia.org/wiki/The_Mirisch_Company"
"Q825291","Village Roadshow","Australian film production and media company","https://en.wikipedia.org/wiki/Village_Roadshow"
"Q821837","Berliner Union Film","film production company",NA
"Q606359","Edison Studios","Film Studios founded By Thomas A. Edison in 1894","https://en.wikipedia.org/wiki/Edison_Studios"
"Q595808","Kitty Films","Japanese animation studio","https://en.wikipedia.org/wiki/Kitty_Films"
"Q567633","Anonymous Content","U.S. film and television production, and a talent management company","https://en.wikipedia.org/wiki/Anonymous_Content"
"Q477943","Bad Hat Harry Productions","American film and television production company","https://en.wikipedia.org/wiki/Bad_Hat_Harry_Productions"
"Q465449","Miramax","American film and TV company","https://en.wikipedia.org/wiki/Miramax"
"Q467348","American Zoetrope","American film production studio","https://en.wikipedia.org/wiki/American_Zoetrope"
"Q515708","DIC Entertainment Corporation","international film and television production company","https://en.wikipedia.org/wiki/DIC_Entertainment"
"Q465224","American International Pictures","film production company","https://en.wikipedia.org/wiki/American_International_Pictures"
"Q601408","Mingxing Film Company","former Chinese film production company","https://en.wikipedia.org/wiki/Mingxing"
"Q462288","Terra Film","German film production company","https://en.wikipedia.org/wiki/Terra_Film"
"Q632323","Summit Entertainment","American film production and distribution company","https://en.wikipedia.org/wiki/Summit_Entertainment"
"Q821795","Berliner Synchron","German post-production dubbing company","https://en.wikipedia.org/wiki/Berliner_Synchron"
"Q835486","Q835486",NA,NA
"Q1152927","Q1152927",NA,NA
"Q1026988","Caligari Film","film production company",NA
"Q1146587","Swedish Film Institute","Swedish foundation","https://en.wikipedia.org/wiki/Swedish_Film_Institute"
"Q1124579","Condor Films","media production company","https://en.wikipedia.org/wiki/Condor_Films"
"Q1149935","WWE Studios","subsidiary of WWE","https://en.wikipedia.org/wiki/WWE_Studios"
"Q1257223","Tellux-Film","film production company",NA
"Q1033488","HandMade Films","British film production and distribution company","https://en.wikipedia.org/wiki/HandMade_Films"
"Q1012251","Gorky Film Studio","film studio in Moscow, Russia (e. 1915)","https://en.wikipedia.org/wiki/Gorky_Film_Studio"
"Q913462","Gaumont Film Company","French film studio","https://en.wikipedia.org/wiki/Gaumont_Film_Company"
"Q922787","Broadview TV","film production company","https://en.wikipedia.org/wiki/Broadview_TV"
"Q1102919","ClubJenna",NA,"https://en.wikipedia.org/wiki/ClubJenna"
"Q1203415","Deulig Film","film production company","https://en.wikipedia.org/wiki/Deulig_Film"
"Q892897","Q892897","film production company",NA
"Q1138658","40 Acres & A Mule Filmworks","Spike Lee production company","https://en.wikipedia.org/wiki/40_Acres_and_a_Mule_Filmworks"
"Q858937","Castel Film Romania","film production company","https://en.wikipedia.org/wiki/Castel_Film_Romania"
"Q1047410","Walt Disney Animation Studios","Walt Disney Company animation studio","https://en.wikipedia.org/wiki/Walt_Disney_Animation_Studios"
"Q1172062","Titanus","Italian film production company, founded in 1904 by Gustavo Lombardo","https://en.wikipedia.org/wiki/Titanus"
"Q841730","Le Film d'art","film production company",NA
"Q880187","Nero-Film","film production company","https://en.wikipedia.org/wiki/Nero-Film"
"Q951774","The Ladd Company","film production company","https://en.wikipedia.org/wiki/The_Ladd_Company"
"Q1092475","Cinephon","film production company",NA
"Q963204","The Kushner-Locke Company","film production company","https://en.wikipedia.org/wiki/The_Kushner-Locke_Company"
"Q1243548","Dor Film","Austrian film production company",NA
"Q1235358","Wüste Film","German film production company",NA
"Q1092615","Cinégram","swiss film production company (1928-1992)",NA
"Q827462","Play Loud! Productions","Berlin-based film production company and film and music label",NA
"Q984047","Syncopy Inc.","American film production company","https://en.wikipedia.org/wiki/Syncopy_Inc."
"Q878698","X-Filme Creative Pool","German film production company based in Cologne",NA
"Q917869","Bristol Bay Productions",NA,"https://en.wikipedia.org/wiki/Bristol_Bay_Productions"
"Q1163074","ThinkFilm","defunct U.S. film distribution company","https://en.wikipedia.org/wiki/ThinkFilm"
"Q886871","Bluverde Filmproduktion","film production company",NA
"Q953040","Searchlight Pictures","American film distribution company","https://en.wikipedia.org/wiki/Searchlight_Pictures"
"Q1022286","C-Films","Swiss film production company",NA
"Q1030364","Filmladen",NA,NA
"Q1092353","CineMedia Film","film production company",NA
"Q1028496","Camelot Filmproduktion","film production company",NA
"Q908662","Dimension Films","American film industry organization","https://en.wikipedia.org/wiki/Dimension_Films"
"Q1131926","Corazón International","film production company",NA
"Q971446","BBC Film","film production company","https://en.wikipedia.org/wiki/BBC_Film"
"Q1128577","Contemporary Historians Inc.","film production company",NA
"Q1250181","Educational Pictures","film production company","https://en.wikipedia.org/wiki/Educational_Pictures"
"Q1183541","Deka-Film","film production company",NA
"Q1188938","Silver Pictures","American film production company","https://en.wikipedia.org/wiki/Silver_Pictures"
"Q1201753","Deutsch-Film-Produktion","film production company",NA
"Q1166160","Dark Castle Entertainment","American film production label","https://en.wikipedia.org/wiki/Dark_Castle_Entertainment"
"Q1207592","Dharma Productions","Film production company in India","https://en.wikipedia.org/wiki/Dharma_Productions"
"Q968448","Casablanca Filmworks","film production company",NA
"Q1150515","Warsaw Documentary Film Studio","film production company","https://en.wikipedia.org/wiki/Warsaw_Documentary_Film_Studio"
"Q947354","Shaw Brothers Studio","film production company in Hong Kong","https://en.wikipedia.org/wiki/Shaw_Brothers_Studio"
"Q1111024","MTV Films","film production group","https://en.wikipedia.org/wiki/MTV_Films"
"Q1092344","Cine-Allianz","film production company","https://en.wikipedia.org/wiki/Cine-Allianz"
"Q1138789","The Weinstein Company","American mini-major film studio","https://en.wikipedia.org/wiki/The_Weinstein_Company"
"Q915718","Brightlight Pictures","film production company","https://en.wikipedia.org/wiki/Brightlight_Pictures"
"Q1044291","Carolco Pictures","defunct independent film production company","https://en.wikipedia.org/wiki/Carolco_Pictures"
"Q877706","DoRo Productions","film production company","https://en.wikipedia.org/wiki/DoRo_Productions"
"Q1161600","Mafilm","Hungarian film production company","https://en.wikipedia.org/wiki/Mafilm"
"Q1054807","TMS Entertainment","Japanese animation studio","https://en.wikipedia.org/wiki/TMS_Entertainment"
"Q1204077","ImageMovers","American independent film production company founded by director Robert Zemeckis","https://en.wikipedia.org/wiki/ImageMovers"
"Q1189512","Illumination","American animation film production company","https://en.wikipedia.org/wiki/Illumination_(company)"
"Q891732","Orion Pictures","film production company in United States of America","https://en.wikipedia.org/wiki/Orion_Pictures"
"Q1127827","Constantin Entertainment","film production company",NA
"Q1188369","First National","film production company (1917-1936)","https://en.wikipedia.org/wiki/First_National_Pictures"
"Q1148711","Paramount Vantage","specialty film division of Paramount Pictures","https://en.wikipedia.org/wiki/Paramount_Vantage"
"Q1136177","Cosmopolitan Productions","film production company","https://en.wikipedia.org/wiki/Cosmopolitan_Productions"
"Q1033465","The Cannon Group","film studio","https://en.wikipedia.org/wiki/The_Cannon_Group,_Inc."
"Q842482","Wētā FX","New Zealand-based VFX company","https://en.wikipedia.org/wiki/W%C4%93t%C4%81_FX"
"Q1088324","Chronos Film","German film production company",NA
"Q1265201","Transatlantic Pictures","film production company","https://en.wikipedia.org/wiki/Transatlantic_Pictures"
"Q1254356","Roxy Film","film production company","https://en.wikipedia.org/wiki/Roxy_Film"
"Q1136277","Gainsborough Pictures","former British film studio","https://en.wikipedia.org/wiki/Gainsborough_Pictures"
"Q885885","Blue Sky Studios","American computer animation film studio","https://en.wikipedia.org/wiki/Blue_Sky_Studios"
"Q922453","Mr. Mudd","film production company","https://en.wikipedia.org/wiki/Mr._Mudd"
"Q1262133","Dschoint Ventschr","Swiss film production company",NA
"Q1475799","Q1475799",NA,NA
"Q1506909","Gracie Films","American production company","https://en.wikipedia.org/wiki/Gracie_Films"
"Q1386879","Mars Films","film production company",NA
"Q1348264","Hollywood Pictures","division of Walt Disney Company","https://en.wikipedia.org/wiki/Hollywood_Pictures"
"Q1421572","Five Mile River Films","film production company","https://en.wikipedia.org/wiki/Five_Mile_River_Films"
"Q1434607","Flying Moon","film production company",NA
"Q1368540","Essanay Studios","American film production company","https://en.wikipedia.org/wiki/Essanay_Studios"
"Q1402681","Rat Pack Filmproduktion","film production company","https://en.wikipedia.org/wiki/Rat_Pack_Filmproduktion"
"Q1530721","National Film Board of Canada","Canada's public film and digital media producer and distributor","https://en.wikipedia.org/wiki/National_Film_Board_of_Canada"
"Q1432993","Lisa Film","film production company","https://en.wikipedia.org/wiki/Lisa_Film"
"Q1536079","Lianhua Film Company","film production company (also known as United Photoplay Service)","https://en.wikipedia.org/wiki/United_Photoplay_Service"
"Q1321379","Lakeshore Village Entertainment","film production company","https://en.wikipedia.org/wiki/Lakeshore_Entertainment"
"Q1374901","Eurocreme",NA,"https://en.wikipedia.org/wiki/Eurocreme"
"Q1415728","Wiener Kunstfilm","film production company","https://en.wikipedia.org/wiki/Wiener_Kunstfilm"
"Q1337744","GPO Film Unit","film production company","https://en.wikipedia.org/wiki/GPO_Film_Unit"
"Q1283484","Savoy Pictures","American independent motion picture company in operation from 1992 to 1997","https://en.wikipedia.org/wiki/Savoy_Pictures"
"Q1595525","Studio Berlin",NA,NA
"Q1303835","Eikon Film","German film production company",NA
"Q1418400","Vitagraph Studios","American film studio (1897-1925)","https://en.wikipedia.org/wiki/Vitagraph_Studios"
"Q1369459","Allegro Film","Austrian film production company",NA
"Q1415064","Q1415064","film production company",NA
"Q1521102","Q1521102","film production company",NA
"Q1538543","State Committee for Cinematography","central state directory body of Soviet and Russian film production (1922-2008)","https://en.wikipedia.org/wiki/State_Committee_for_Cinematography"
"Q1584258","Q1584258","film production company",NA
"Q1535788","Rank Organisation","British entertainment conglomerate","https://en.wikipedia.org/wiki/The_Rank_Organisation"
"Q1418294","Finos Film","Greek film production company","https://en.wikipedia.org/wiki/Finos_Film"
"Q1324070","El Deseo","Spanish film production company","https://en.wikipedia.org/wiki/El_Deseo"
"Q1290581","Algefa","German film production company",NA
"Q1302030","Palladio Film","film production company",NA
"Q1317176","tellfilm","film production company",NA
"Q1286620","Relevant Film","film production company",NA
"Q1459090","The Asylum","American film studio and distributor","https://en.wikipedia.org/wiki/The_Asylum"
"Q1445805","Screen Australia","Australian Federal Government’s key funding body for the Australian screen production industry.","https://en.wikipedia.org/wiki/Screen_Australia"
"Q1414782","Filmistan","film production company","https://en.wikipedia.org/wiki/Filmistan"
"Q1535748","Liberty Films",NA,"https://en.wikipedia.org/wiki/Liberty_Films"
"Q1584317","Happy Madison Productions","US film and television production company (est. 1999)","https://en.wikipedia.org/wiki/Happy_Madison_Productions"
"Q1543194","Grant Naylor Productions","British production company","https://en.wikipedia.org/wiki/Grant_Naylor"
"Q1414446","Filmemoker","film production company",NA
"Q1524732","RKO Pictures LLC","film production company (1978-1987)",NA
"Q1399331","Feature Productions","film production company",NA
"Q1479555","Fénix Films","film production company","https://en.wikipedia.org/wiki/F%C3%A9nix_Cooperativa_Cinematogr%C3%A1fica"
"Q1350785","Kino kontrovers","film production company",NA
"Q1384900","Studio Hamburg Serienwerft","film production company",NA
"Q1390788","Fabrikation deutscher Filme","film production company",NA
"Q1535837","Goldkind Film","film production company",NA
"Q1568192","Skibo Productions","film production company",NA
"Q1415344","Filmverlag der Autoren",NA,"https://en.wikipedia.org/wiki/Filmverlag_der_Autoren"
"Q1606652","MMC","German film studio",NA
"Q1476080","Private Media Group","Swedish production and distribution company","https://en.wikipedia.org/wiki/Private_Media_Group"
"Q1532120","Gloriafilm A.G.","film production company",NA
"Q1539596","Gotthard Film","film production company",NA
"Q1603892","Telesynchron","film production company",NA
"Q1534882","Golden Girls Filmproduktion","film production company",NA
"Q1498882","Urania-Film","film production company based in Switzerland",NA
"Q1579809","TriBeCa Productions","American film and television production company","https://en.wikipedia.org/wiki/TriBeCa_Productions"
"Q1320443","Sony Pictures Classics","film division of Sony Pictures Entertainment","https://en.wikipedia.org/wiki/Sony_Pictures_Classics"
"Q1544011","Pathé","French media production and theater businesses","https://en.wikipedia.org/wiki/Path%C3%A9"
"Q1433745","Hammer Film Productions","British horror film studio","https://en.wikipedia.org/wiki/Hammer_Film_Productions"
"Q1370297","Screen Gems","American film studio","https://en.wikipedia.org/wiki/Screen_Gems"
"Q1475707","Fuzzy Door Productions","American TV production company","https://en.wikipedia.org/wiki/Fuzzy_Door_Productions"
"Q1314010","Phoenix Film","film production company",NA
"Q1494465","SamFilm","film production company",NA
"Q1404450","Rogue","American film production company","https://en.wikipedia.org/wiki/Rogue_Pictures"
"Q1416899","Fine Line Features","film production company","https://en.wikipedia.org/wiki/Fine_Line_Features"
"Q1585284","Schneider's Bakery","American television production company","https://en.wikipedia.org/wiki/Schneider%27s_Bakery"
"Q1491737","Galatée Films","French film production company",NA
"Q1485801","GK Films","American film and television production company founded in 1990 by the producer, Graham King","https://en.wikipedia.org/wiki/GK_Films"
"Q1402636","Picturehouse","company","https://en.wikipedia.org/wiki/Picturehouse_(company)"
"Q1584115","Ruscico","Firm",NA
"Q1347462","Epo-Film","film production company",NA
"Q1375196","EuropaCorp","french film production company","https://en.wikipedia.org/wiki/EuropaCorp"
"Q1479649","REN TVpehtv","Russian television channel","https://en.wikipedia.org/wiki/REN_TV"
"Q1419390","Hermes Synchron","film production company",NA
"Q1793325","Saturn-Film","media company",NA
"Q1778957","Q1778957",NA,NA
"Q1785723","Q1785723",NA,NA
"Q1864936","Q1864936",NA,NA
"Q1941221","Q1941221",NA,NA
"Q2024915","Q2024915",NA,NA
"Q2107422","Q2107422",NA,NA
"Q2121008","Q2121008",NA,NA
"Q1652795","i&u TV",NA,NA
"Q1982923","New Theatres","Indian theatre","https://en.wikipedia.org/wiki/New_Theatres"
"Q1975431","Kyrgyzfilm","National film studio ""Kyrgyzfilm"" named after T. Okeyev","https://en.wikipedia.org/wiki/Kyrgyzfilm"
"Q2079232","Saturn Films",NA,"https://en.wikipedia.org/wiki/Saturn_Films"
"Q1674641","Kinderfilm","German film production company",NA
"Q1718404","KAOS",NA,NA
"Q2098061","Plan B Productions","US movie production company","https://en.wikipedia.org/wiki/Plan_B_Productions"
"Q1938662","Mischief Films",NA,NA
"Q1938797","Misher Films",NA,NA
"Q2060840","Working Title Films","British film and television production company","https://en.wikipedia.org/wiki/Working_Title_Films"
"Q1881803","MR Film","Austrian film production company",NA
"Q2148492","Rialto Film","Danish/German film company founded in 1897","https://en.wikipedia.org/wiki/Rialto_Film"
"Q1917021","Megaherz Film und Fernsehen","film production company",NA
"Q1755165","Twisted Pictures","American independent production company","https://en.wikipedia.org/wiki/Twisted_Pictures"
"Q1891982","Nordisk Film","Danish film studio","https://en.wikipedia.org/wiki/Nordisk_Film"
"Q2134649","Real Film Berlin","German film production company based in Berlin (active 1947-1965)","https://en.wikipedia.org/wiki/Real_Film"
"Q1636748","Amblimation","British animation production subsidiary of Amblin Entertainment","https://en.wikipedia.org/wiki/Amblimation"
"Q1607312","Alliance Films","Canadian motion picture distribution/production company","https://en.wikipedia.org/wiki/Alliance_Films"
"Q1892266","Maran Film GmbH","german film production company",NA
"Q1924930","Unafilm","German film production company",NA
"Q1667339","Will Media",NA,NA
"Q1752263","Studio Hamburg Enterprises",NA,NA
"Q1936629","Minerva Movietone","Indian film production company",NA
"Q1654103","IMAX Corporation","Canadian theater company","https://en.wikipedia.org/wiki/IMAX_Corporation"
"Q1638321","Severin Films","American film production and distribution company","https://en.wikipedia.org/wiki/Severin_Films"
"Q2012913","Harpo Productions","American multimedia production company","https://en.wikipedia.org/wiki/Harpo_Productions"
"Q1706678","Brandywine Productions","American film production company most known for its Alien film franchise","https://en.wikipedia.org/wiki/Brandywine_Productions"
"Q1971240","Sverdlovsk Film Studio","Russian film studio","https://en.wikipedia.org/wiki/Sverdlovsk_Film_Studio"
"Q1626895","Playtone","American film and television production company","https://en.wikipedia.org/wiki/Playtone"
"Q2004457","Amsterdam Film Cie",NA,NA
"Q2155901","Road Movies Filmproduktion","film production company","https://en.wikipedia.org/wiki/Road_Movies_Filmproduktion"
"Q1750213","RKO General","former broadcasting mass media corporation","https://en.wikipedia.org/wiki/RKO_General"
"Q1651169","Kairos-Film",NA,NA
"Q1667114","Internationale Film-Union",NA,NA
"Q1871246","Lotus Film","Austrian film production company",NA
"Q1868978","London Films","British film and television production company","https://en.wikipedia.org/wiki/London_Films"
"Q1666655","International Institute of Political Murder",NA,"https://en.wikipedia.org/wiki/International_Institute_of_Political_Murder"
"Q2170665","Rowboat Film- und Fernsehproduktion","film production company","https://en.wikipedia.org/wiki/Rowboat_Film-_und_Fernsehproduktion"
"Q1633138","Network Movie","film production company",NA
"Q1655021","ITV Studios Germany",NA,NA
"Q2048846","Pana Film",NA,NA
"Q1646069","NFL Films","film and television production company of the National Football League","https://en.wikipedia.org/wiki/NFL_Films"
"Q2108391","Hollandiafilm",NA,NA
"Q1620386","Moser + Rosié Film","film production company",NA
"Q1936485","Minds Eye Entertainment","Canadian entertainment production company","https://en.wikipedia.org/wiki/Minds_Eye_Entertainment"
"Q2103056","Polyphon Film- und Fernsehgesellschaft","German film production company",NA
"Q1983457","PolyGram Filmed Entertainment","British-American film studio, film production company","https://en.wikipedia.org/wiki/PolyGram_Filmed_Entertainment"
"Q2107384","Praesens Film",NA,NA
"Q1865797","Little Shark Entertainment",NA,NA
"Q2114144","Provobis","German film production company",NA
"Q1906017","Marv Studios","British film production company","https://en.wikipedia.org/wiki/Marv_Studios"
"Q1756713","The Caddo Company",NA,NA
"Q1668085","Interopa Film",NA,NA
"Q1689388","KanalB",NA,NA
"Q1715802","Matthias-Film",NA,NA
"Q1790458","Neue Film AG",NA,NA
"Q1795301","Kaegi Film A.G.",NA,NA
"Q1936615","Minerva-Tonfilm",NA,NA
"Q1894881","Motion Picture Patents Company","American film company trust","https://en.wikipedia.org/wiki/Motion_Picture_Patents_Company"
"Q2002864","Novapool",NA,NA
"Q2111697","Producers at Work",NA,NA
"Q1979907","neue deutsche Filmgesellschaft","German film production company","https://en.wikipedia.org/wiki/Neue_Deutsche_Filmgesellschaft"
"Q1637250","Walden Media","American film investor, distributor, and publishing company","https://en.wikipedia.org/wiki/Walden_Media"
"Q1688330","Satel Film","Austrian Media Company","https://en.wikipedia.org/wiki/Satel_Film"
"Q1722143","Kalem Company","American film studio","https://en.wikipedia.org/wiki/Kalem_Company"
"Q1754271","STS","all-Russian entertainment TV channel","https://en.wikipedia.org/wiki/STS_(TV_channel)"
"Q2014391","Odeon Film","German film production company","https://en.wikipedia.org/wiki/Odeon_Film"
"Q1696916","Yash Raj Films","Indian entertainment company","https://en.wikipedia.org/wiki/Yash_Raj_Films"
"Q1745453","Allianz-Film","German film distribution company",NA
"Q2124068","RC Production","company",NA
