"QID","value"
"Q126382","10.5240/4FD3-F7BB-7EB3-019A-2DB9-5"
"Q115484","10.5240/556A-2F9E-3784-B49D-C685-H"
"Q127045","10.5240/5867-F7CC-E93F-7781-9BCA-D"
"Q126387","10.5240/5A70-25A2-D854-B086-EE7B-R"
"Q130769","10.5240/62D6-42CE-EAED-CF44-E0DC-Z"
"Q116928","10.5240/638C-A05B-4F12-EF48-7105-P"
"Q127421","10.5240/63F3-7777-C55A-7FA7-D5AD-H"
"Q130868","10.5240/69B1-9252-5F1B-EC99-3347-V"
"Q117464","10.5240/730B-26B1-BC8A-AC9E-03AC-L"
"Q126183","10.5240/8C77-FB0E-1109-0C88-4AEE-D"
"Q126261","10.5240/9D55-0868-F408-6CFF-E097-5"
"Q119889","10.5240/AB20-FEFD-15E3-D730-370E-9"
"Q129068","10.5240/ADB9-C336-891F-E4CB-0126-E"
"Q127376","10.5240/B1A1-4A91-E27E-71A3-14FD-Z"
"Q115202","10.5240/C2D7-2B99-D1C6-9424-814D-0"
"Q111655","10.5240/CC87-B18B-3B11-C078-BF46-8"
"Q126492","10.5240/D657-3C36-E81E-CDCB-9B9B-O"
"Q128646","10.5240/D712-20D9-54AF-7194-9FB3-3"
"Q122113","10.5240/D794-70C9-111C-D36B-0E29-D"
"Q127367","10.5240/E030-107B-C08A-BF93-AC79-B"
"Q114076","10.5240/E2CF-47A1-89AC-80DC-297D-P"
"Q118713","10.5240/F773-FFFF-243A-7E08-691A-C"
"Q129959","10.5240/FE6F-796A-BD49-946F-B837-I"
"Q151604","10.5240/0282-553F-7A3B-3E06-7B8D-C"
"Q135347","10.5240/058B-0DEA-8FB0-78E0-76FF-T"
"Q147308","10.5240/0FF6-D671-D27F-AC49-C795-4"
"Q139245","10.5240/115A-D08F-909F-00E0-2760-L"
"Q139460","10.5240/11D5-A462-A572-4AC7-A1DD-1"
"Q133461","10.5240/1C83-BF18-C39A-DC5D-7260-2"
"Q150047","10.5240/1F01-BA67-18AB-BC55-7AA7-4"
"Q151529","10.5240/27EA-CCDF-7DD8-83C6-1166-A"
"Q151751","10.5240/2949-DE43-5ED9-8B13-EE05-R"
"Q145274","10.5240/35F3-7FAD-5F7D-3ADB-FC13-V"
"Q144756","10.5240/4587-ABC2-81FA-A636-3DCB-6"
"Q143901","10.5240/4867-B781-DBF9-0FC6-5A1C-V"
"Q151895","10.5240/4DA4-0765-DD7B-69F7-925E-W"
"Q150804","10.5240/5356-EE24-D4C8-5201-D903-5"
"Q143605","10.5240/6A85-1613-D9F9-D51A-983D-J"
"Q134075","10.5240/780B-6634-8BB8-E898-CEE5-C"
"Q144414","10.5240/8663-9761-54BE-CF3F-843C-F"
"Q133654","10.5240/9A23-263F-7817-8874-7D54-V"
"Q144970","10.5240/AD15-9C0A-8A8C-AE08-7EAF-1"
"Q144380","10.5240/BF64-F0CE-80DF-DDEC-2BBA-M"
"Q137800","10.5240/C048-E79D-774A-8F87-80C4-E"
"Q141359","10.5240/C3B1-6216-ACE0-346A-AD9F-G"
"Q148428","10.5240/CC07-A87E-0861-91BD-2040-L"
"Q139927","10.5240/CF4D-4534-BBAA-05B0-1736-Z"
"Q151884","10.5240/D02B-6BE3-2A51-FD65-8EA8-N"
"Q146605","10.5240/DFCE-DF00-E707-0A6C-1DA2-H"
"Q135574","10.5240/EAFA-F5C3-EE85-E29A-BBB5-A"
"Q166426","10.5240/0801-D315-617F-E878-B176-U"
"Q162277","10.5240/1AED-16BC-7A89-66D4-1D39-J"
"Q155476","10.5240/2786-67F9-02C2-5990-BC82-X"
"Q157973","10.5240/5A1F-960C-C2AF-9568-9BE7-4"
"Q152232","10.5240/64C9-F79F-9483-554C-1771-4"
"Q156516","10.5240/68B2-443E-4ED6-5EA7-AB16-4"
"Q161196","10.5240/7060-6518-9D70-EB00-03EA-1"
"Q154742","10.5240/7F00-F6EF-91C7-B599-6053-O"
"Q166716","10.5240/894E-5186-AF40-1BEB-A088-R"
"Q164190","10.5240/99D4-8920-9A64-A396-2D6D-A"
"Q164951","10.5240/9BB1-5851-7B80-35C1-46BB-Q"
"Q165172","10.5240/9F18-2711-372F-17AD-F825-D"
"Q164933","10.5240/A1DD-926F-3A67-3DDE-01FB-8"
"Q159638","10.5240/ACF4-27D2-AAC0-FB0C-68C3-2"
"Q159063","10.5240/BAED-36BD-22AC-0512-09DC-V"
"Q162458","10.5240/BCFC-601B-497B-BCB7-D43C-R"
"Q152438","10.5240/BD2D-31C1-28CD-24D9-F3E3-G"
"Q163869","10.5240/ECF4-5729-8690-8B35-D96C-R"
"Q153613","10.5240/FE11-EAB0-DC46-177B-8EFD-L"
"Q186587","10.5240/0975-95E2-F33C-2827-5A09-F"
"Q179453","10.5240/1F30-6E94-53C7-0606-17D8-O"
"Q185884","10.5240/28CF-7564-BB6E-8711-4810-I"
"Q180638","10.5240/2FCD-A332-A592-4A37-1A02-6"
"Q175555","10.5240/3B4D-4C1E-88EF-12F9-BF6C-Z"
"Q168098","10.5240/3EC9-DCA1-E97F-E6E4-A9A2-5"
"Q186881","10.5240/4245-0384-F615-5C97-510C-L"
"Q182206","10.5240/430D-1BCD-CFE4-D7E1-AEB1-N"
"Q178211","10.5240/4970-C80A-26E2-496F-4BFE-Y"
"Q180098","10.5240/4DDF-A111-8543-E67B-58F6-2"
"Q175038","10.5240/50E9-3F31-EAC3-B15A-8CE2-R"
"Q186864","10.5240/5453-A0EA-205A-86AD-ECB3-2"
"Q179798","10.5240/5685-4B73-2913-382B-400A-Y"
"Q182254","10.5240/7485-77EB-D187-3CEB-3928-M"
"Q174454","10.5240/9348-DC5D-4706-017D-6671-H"
"Q180395","10.5240/93A1-9CF0-836E-EEBD-4372-G"
"Q180363","10.5240/976F-5055-D939-C89B-EB9D-K"
"Q176433","10.5240/9E4E-1B98-88B7-3C26-5031-S"
"Q185535","10.5240/A23A-76BE-17AA-561A-8613-L"
"Q178826","10.5240/A880-0772-48AA-8881-9D39-O"
"Q179721","10.5240/D3C1-64B8-3499-DD4A-5C0B-U"
"Q181248","10.5240/DA2B-AF81-2E60-B3AB-814C-P"
"Q181086","10.5240/DDA3-C587-D252-DF5F-E8C7-A"
"Q183066","10.5240/F67B-F7C1-F340-433D-4E34-Y"
"Q185053","10.5240/FB27-AC3A-B1BD-0B30-50A3-V"
"Q193462","10.5240/19EE-29A5-B9F5-944A-9407-G"
"Q188850","10.5240/1C45-C1A4-4EA1-4DC2-16A1-9"
"Q201819","10.5240/23F4-1787-52F6-49EE-2297-F"
"Q204057","10.5240/2580-3295-46B9-1DB7-728F-G"
"Q189875","10.5240/2950-DE46-A195-8DD8-18E4-Z"
"Q203388","10.5240/3277-B38B-AB95-4141-CABF-U"
"Q189505","10.5240/36E3-649C-57F2-A251-72B1-E"
"Q200431","10.5240/4058-EC97-2EA2-89C8-480E-6"
"Q198557","10.5240/4339-1AAF-64F0-964D-643A-K"
"Q191921","10.5240/4665-39E3-8419-EAB0-F609-9"
"Q200804","10.5240/4860-4938-C480-7A71-1DAA-R"
"Q196933","10.5240/539D-5BDF-06CF-944C-1871-T"
"Q205028","10.5240/631A-9EC2-9011-6CC6-E303-F"
"Q194213","10.5240/67D1-1602-62D0-AD4D-4115-M"
"Q190050","10.5240/6865-ACEF-7D09-DAD3-7B5A-F"
"Q187266","10.5240/794C-5D8A-229E-3870-2447-4"
"Q192409","10.5240/80F1-B96A-97F7-EE0B-71A0-W"
"Q205321","10.5240/8412-7274-0680-6529-EDDD-Y"
"Q195274","10.5240/89F0-1BC2-2046-D035-5E66-G"
"Q196029","10.5240/8BFF-4E0F-3D5E-A34D-19DC-7"
"Q188384","10.5240/8DDA-1E47-D8C3-3CFC-E0F5-U"
"Q200572","10.5240/923A-E0B5-B883-57CC-9F59-6"
"Q200827","10.5240/958E-9CFC-FD0C-D421-A8B2-Q"
"Q204447","10.5240/9906-7781-D1A4-4D1E-AB4C-2"
"Q197470","10.5240/BB6B-9DB4-FBED-3C1B-286E-Q"
"Q192686","10.5240/BEFD-8CA5-7D66-B200-1AF4-L"
"Q196936","10.5240/C4E9-E0CD-1E39-11D1-A6F2-0"
"Q196685","10.5240/C9DB-7B75-CC44-BF5F-959E-M"
"Q195920","10.5240/CD37-2AB6-E5BE-507F-8023-X"
"Q203778","10.5240/DA95-D8B3-E4EC-0D9F-A320-U"
"Q188439","10.5240/DB21-E2DA-9B18-E256-5F71-L"
"Q202029","10.5240/DDE8-2C0A-6276-C81B-6002-T"
"Q197233","10.5240/DE09-3E8E-9152-9779-77A5-H"
"Q188323","10.5240/E68D-8809-C250-08F5-CBE9-X"
"Q191100","10.5240/ECF9-867B-F4AD-9D24-734B-W"
"Q193835","10.5240/FCF5-25A5-40B3-3715-DA27-A"
"Q205546","10.5240/FD39-039F-9BB3-781C-5ABD-Q"
"Q219776","10.5240/01C0-D23A-AA79-13C1-8561-N"
"Q208988","10.5240/0ECB-146C-F4FD-7FF8-48BA-K"
"Q212140","10.5240/12BF-7A6A-1F92-6152-1D9F-D"
"Q221345","10.5240/16C0-7313-1E20-4A80-9722-D"
"Q211206","10.5240/1A35-1628-AA8D-88E6-9106-7"
"Q222041","10.5240/2793-E330-72BB-756B-549C-Z"
"Q213345","10.5240/3A88-D2F2-9E72-59B1-2DCA-C"
"Q212689","10.5240/3F25-2EF9-BBD8-E9C0-8D5A-J"
"Q206740","10.5240/498E-49E7-0149-3414-254A-G"
"Q221983","10.5240/4C71-FA3A-FB86-9666-E774-C"
"Q221104","10.5240/4DCA-753F-23A9-A2CA-27E9-P"
"Q212792","10.5240/5253-8D26-AD9E-C759-544F-Q"
"Q210873","10.5240/6133-40E4-0FCE-163A-7B3C-6"
"Q206124","10.5240/6AAA-8B9E-40C6-4539-8700-J"
"Q223139","10.5240/6F97-0EA5-B406-1B29-4C38-K"
"Q212660","10.5240/720E-246F-72CD-5720-4EE3-3"
"Q217182","10.5240/7418-A7AF-2A8A-E1AF-E469-C"
"Q212582","10.5240/7867-BBEA-3944-4D33-6247-V"
"Q222800","10.5240/795F-007D-C9C7-CA32-9B5B-R"
"Q207921","10.5240/79BC-BC65-2766-8CE7-92F2-Z"
"Q207659","10.5240/7FC5-1FC6-9C63-0C39-F903-K"
"Q211372","10.5240/85E1-3720-5EA3-6F9D-44D0-E"
"Q211693","10.5240/8A4F-68B0-0B39-59E2-A0DB-F"
"Q205957","10.5240/8B9B-5AFA-7D46-89EA-D34B-9"
"Q209282","10.5240/8D06-C49C-719B-E47D-EE0C-Q"
"Q206497","10.5240/91AE-9B02-4312-B2C9-7707-A"
"Q209395","10.5240/921F-55F0-C89B-7681-1C11-R"
"Q222732","10.5240/9C1F-9CC8-F9F2-A973-027C-P"
"Q221168","10.5240/9EFB-FAD3-D04A-3A62-9AB5-E"
"Q215289","10.5240/A29C-10B3-5F9B-B717-D366-G"
"Q222018","10.5240/A3A1-2F2B-BACA-2ADC-63D4-Z"
"Q208568","10.5240/AB68-E4C0-D07C-D8E8-7561-Z"
"Q218496","10.5240/BFD3-EAA5-2071-861F-32BE-E"
"Q206388","10.5240/C09A-CBF7-FD13-CBF0-4563-0"
"Q211954","10.5240/CFFD-1CF4-6E92-491E-3C0D-O"
"Q206336","10.5240/D117-714F-420E-CDBC-CB66-9"
"Q223374","10.5240/D77D-6301-D4B9-2A61-6B7C-M"
"Q223122","10.5240/DA40-951B-FFD8-76C3-3AF2-I"
"Q217008","10.5240/FBE2-A8A0-9E5B-A254-2DC6-U"
"Q213999","10.5240/FFB4-DD9E-58EA-5785-824B-D"
"Q232231","10.5240/01FC-25AD-89AA-8F3B-C634-T"
"Q240765","10.5240/1C38-6F76-67A1-9C8C-F5A8-J"
"Q244020","10.5240/1E19-F8EC-2C41-A5C3-5844-9"
"Q229643","10.5240/2494-5CEE-F673-AADA-74FD-L"
"Q227474","10.5240/27D6-917B-2204-0982-A310-J"
"Q228867","10.5240/3456-93B4-DAAB-B291-098C-D"
"Q232175","10.5240/3B26-EF86-AC5C-A162-EB3C-6"
"Q240194","10.5240/4249-F385-8527-904D-9FB2-F"
"Q239630","10.5240/5E76-5F7D-B502-1F61-51D4-9"
"Q223567","10.5240/61CA-AF5E-3B04-CCE0-BB3F-9"
"Q241482","10.5240/6AF9-ECD4-873A-56E6-6C0D-8"
"Q224964","10.5240/7847-F78D-5088-0ADD-5B3B-0"
"Q224133","10.5240/84D5-6497-7821-14EF-3F94-4"
"Q232081","10.5240/8D64-726C-07CC-1662-709A-H"
"Q231964","10.5240/9D5D-CA65-41D0-6E16-3879-U"
"Q239907","10.5240/A567-851A-4F2E-FA64-600C-D"
"Q225962","10.5240/A629-5211-3C2E-ACD2-6870-W"
"Q234789","10.5240/B429-0AEE-A9F8-1A2E-4143-E"
"Q232190","10.5240/BE29-5A04-852C-C911-5D32-P"
"Q239296","10.5240/D9FE-E784-179D-3E66-E0D7-N"
"Q228554","10.5240/E65F-A9FF-7C61-B2BF-C91C-Q"
"Q229655","10.5240/F17F-2B7C-3863-9A45-6C4A-Z"
"Q241492","10.5240/F295-42E8-0B24-C9D2-8A02-O"
"Q244019","10.5240/F562-9DC4-9B3C-CD33-2A64-R"
"Q224004","10.5240/FFE8-1175-FC48-3AAD-B57D-A"
"Q263460","10.5240/01E3-1BD6-11AE-43EB-8F1E-W"
"Q255328","10.5240/09A6-95E7-E3BA-876B-1B14-7"
"Q266323","10.5240/0C27-6E22-45F6-95A6-1783-C"
"Q251335","10.5240/1460-6B99-450D-6F12-C39B-M"
"Q262980","10.5240/21BD-D6B1-2538-B80C-330E-8"
"Q255376","10.5240/2981-AB97-0981-7158-A278-H"
"Q259557","10.5240/2DAF-4EED-F2B3-5293-70FC-Y"
"Q247130","10.5240/2F23-F2AC-B18F-6897-9DE7-2"
"Q250107","10.5240/3340-D09B-7DC3-8BAE-FE07-J"
"Q246711","10.5240/348B-B5D6-0184-88DC-66B2-7"
"Q248505","10.5240/396D-CA09-2D9C-91C1-B929-W"
"Q253565","10.5240/3B36-9BCC-FC0E-E8C1-57BE-U"
"Q267672","10.5240/3C4F-2779-9FE7-9004-CE45-0"
"Q245452","10.5240/3D92-53A2-492B-8AB0-4B99-S"
"Q245523","10.5240/3F68-33ED-FD55-2D59-1186-S"
"Q261899","10.5240/492C-E705-FFFD-1869-1D9F-Y"
"Q244333","10.5240/509F-C703-D614-8209-EBED-H"
"Q254892","10.5240/54CE-191A-F15D-240C-2620-M"
"Q260735","10.5240/5E6A-9C11-0CBA-F5E6-1C2C-G"
"Q253107","10.5240/65F3-8162-FFD6-7CF9-3144-2"
"Q260008","10.5240/7283-4E8E-8870-E254-6A22-6"
"Q244900","10.5240/7948-4151-0FBE-5F34-51C5-Q"
"Q261550","10.5240/80D5-BB80-9B68-843E-642F-B"
"Q263736","10.5240/8170-846E-8D27-D3B0-0A48-C"
"Q262778","10.5240/872F-5E2D-95E8-86EB-7008-X"
"Q258805","10.5240/9A2A-D880-6AE8-5C2E-5F57-X"
"Q259332","10.5240/9B88-2BBD-62FE-068D-F4C5-V"
"Q261305","10.5240/A2F3-D591-0BBE-4415-83AC-2"
"Q246283","10.5240/AF5E-0C87-992C-D0D6-9F21-X"
"Q253566","10.5240/B10C-5B3F-FABE-BAF3-56FE-M"
"Q252072","10.5240/BAD4-3AF9-8A31-9088-453F-O"
"Q245187","10.5240/BB90-0B39-24BC-FD31-8873-K"
"Q260365","10.5240/BC94-6860-F87E-702B-BD4C-Z"
"Q246228","10.5240/BDAE-BC74-FE54-DF4F-0B19-3"
"Q249215","10.5240/BDD3-B867-986A-75A4-9C67-G"
"Q246793","10.5240/BDDC-28D9-B2C3-CFF1-2426-B"
"Q260138","10.5240/C1EC-CA97-6B96-E557-EFEC-8"
"Q250401","10.5240/C47C-B0E2-FBDC-5120-5773-0"
"Q267281","10.5240/C5CE-EA1A-01B8-51AA-0826-M"
"Q261759","10.5240/D866-D9EE-7CBA-0928-5ED0-X"
"Q249151","10.5240/DE43-6D77-C60C-8861-3B17-6"
"Q260533","10.5240/E0E9-41AB-6C6B-C7D2-B21F-5"
"Q244865","10.5240/E1AF-7502-8AF1-221A-5D3F-P"
"Q251063","10.5240/ED96-ABD8-632B-ACCD-F529-B"
"Q263069","10.5240/EEEA-83F4-E748-63A2-630B-Q"
"Q246211","10.5240/F3BE-3BBE-9C75-598D-CF44-L"
"Q267662","10.5240/F540-1007-82CB-ADFA-C884-0"
"Q286757","10.5240/03B5-237C-D25A-4CED-393B-Z"
"Q290069","10.5240/0405-1E2A-3B0D-50E6-EBB2-T"
"Q286497","10.5240/1218-D388-C19B-83B2-ABD9-Z"
"Q281597","10.5240/1F87-DD76-421A-26D9-98CF-K"
"Q289127","10.5240/2B06-5200-088E-2ADD-C05B-7"
"Q278193","10.5240/31B3-E69E-0FB0-48C8-FB53-2"
"Q278053","10.5240/3266-7BCA-E934-E67B-79A1-3"
"Q280809","10.5240/3670-89DA-6B0C-1534-B52D-9"
"Q279058","10.5240/445B-8EA2-2BB9-2B64-BC2D-P"
"Q286129","10.5240/4597-C362-6656-F413-3041-N"
"Q270215","10.5240/58A5-2590-A2E9-62D1-5E42-I"
"Q280582","10.5240/596B-8ED7-3587-19EE-1F8F-O"
"Q274748","10.5240/63A5-16FD-9FD6-9C26-954B-W"
"Q277903","10.5240/6F3F-774D-484B-C287-7F04-D"
"Q277557","10.5240/6FAD-1B8C-11A0-2723-4F53-F"
"Q277203","10.5240/705B-20E2-23AA-E7D0-26FE-B"
"Q288355","10.5240/80F4-0B27-A347-4BA5-8A06-O"
"Q270351","10.5240/952A-A429-E3A6-EEC3-9B5D-K"
"Q283932","10.5240/96A0-083F-3363-241E-2941-K"
"Q286132","10.5240/9AC3-4192-170B-7DD5-4900-D"
"Q286755","10.5240/9EBB-E67E-CFBB-BEA7-6AA8-T"
"Q276407","10.5240/A120-BCC3-3F95-58FB-E4B6-0"
"Q285584","10.5240/A1BF-4489-2CDF-6DEA-A803-P"
"Q274400","10.5240/AA2B-7073-0136-B29A-7D91-K"
"Q289106","10.5240/AB50-BAE6-3ACB-DF97-4D8C-P"
"Q287245","10.5240/BA1B-0283-3452-98AC-3D9C-7"
"Q282155","10.5240/BF79-95B9-64DA-4FE2-E627-0"
"Q282535","10.5240/C692-0E94-B4DE-D57A-2918-0"
"Q272599","10.5240/CC3E-370A-81A7-0274-95EF-I"
"Q276415","10.5240/CD1C-29AD-7951-8931-1A2B-S"
"Q284086","10.5240/CD56-458B-4B00-170A-3046-P"
"Q285430","10.5240/D27A-7AB8-15DD-DE3B-E62F-0"
"Q284103","10.5240/D3FA-4160-2875-3384-500F-U"
"Q280962","10.5240/D606-FFA6-6A82-3E9A-D638-K"
"Q280779","10.5240/F582-85F9-185B-1DE3-0502-B"
"Q279678","10.5240/F908-DEA1-FE3F-8268-949F-4"
"Q284362","10.5240/F912-9AEE-88FA-349C-A47C-O"
"Q280186","10.5240/FCDB-873A-25BF-823F-FC6F-S"
"Q310427","10.5240/0590-74AF-324D-1E19-C2B8-S"
"Q309063","10.5240/12A2-1341-530F-9155-1CDD-9"
"Q313874","10.5240/15A3-45BA-506F-E958-A08A-0"
"Q303839","10.5240/2F08-7D7C-8D31-7120-9AA7-3"
"Q300573","10.5240/3672-B022-A6A4-1F85-FA21-6"
"Q309366","10.5240/4230-5BAB-B0F4-CB55-B758-O"
"Q310734","10.5240/4B18-7B3F-5B91-EB75-B1A8-W"
"Q301083","10.5240/4BC2-E057-566B-DC19-94A5-O"
"Q302403","10.5240/585D-392B-B7B2-5380-655F-5"
"Q303235","10.5240/5A7E-FAB7-23C9-453D-8B3D-A"
"Q300371","10.5240/5E53-31EC-56BF-55D5-5454-O"
"Q304599","10.5240/6273-DEDB-9541-E118-707C-C"
"Q300411","10.5240/7190-BF74-9108-9B00-0D6F-J"
"Q300547","10.5240/778A-165C-F79D-7E5D-1B4B-0"
"Q304488","10.5240/80C2-1C6A-65CE-5E99-520A-5"
"Q300502","10.5240/96A6-5DE1-7082-711F-28F7-M"
"Q300393","10.5240/A5BC-CE23-2C8D-070D-A271-A"
"Q301823","10.5240/B845-1FB8-1D25-2DF4-F845-1"
"Q293219","10.5240/C38C-8ADA-C300-64EF-1260-R"
"Q300622","10.5240/CB4C-E9B5-B380-A66C-3C3C-4"
"Q303875","10.5240/E9F6-F26F-CA50-842C-3E8A-0"
"Q303999","10.5240/F421-D4EB-8216-3CAA-0D76-N"
"Q302087","10.5240/FCAC-4C52-302A-EA51-0069-Y"
"Q300359","10.5240/FD76-91A4-39D6-DF77-F513-I"
"Q320574","10.5240/07CB-2C2F-C6A8-0D9B-5A11-C"
"Q333377","10.5240/0A45-EC0A-7C73-3063-D514-B"
"Q331180","10.5240/0DF0-FF39-F948-7841-D49F-L"
"Q332977","10.5240/0EDF-2635-3D8E-38FA-7A52-7"
"Q331210","10.5240/10BD-5751-3126-A5A4-931E-3"
"Q331985","10.5240/132A-587A-B650-73B8-3C49-S"
"Q332415","10.5240/1462-0C91-2C5A-4E3B-99F5-U"
"Q323827","10.5240/1638-C216-AB00-B223-F264-S"
"Q324557","10.5240/1A81-B621-ACB9-6F2E-7C78-F"
"Q325662","10.5240/2435-5B71-24DC-175B-37E8-2"
