"QID","lang"
"Q29867","French"
"Q29816","Russian"
"Q26659","Malayalam"
"Q24910","Danish"
"Q24911","Danish"
"Q32303","Danish"
"Q224133","German"
"Q224836","Portuguese"
"Q226193","German"
"Q223278","English"
"Q223299","English"
"Q223316","English"
"Q223367","English"
"Q223374","English"
"Q223559","English"
"Q223567","English"
"Q223596","English"
"Q227454","German"
"Q227464","German"
"Q223887","English"
"Q223884","English"
"Q224004","English"
"Q224069","English"
"Q224118","English"
"Q224119","English"
"Q224117","English"
"Q224121","English"
"Q224130","English"
"Q224133","English"
"Q224187","English"
"Q227792","German"
"Q224647","English"
"Q224926","English"
"Q228554","German"
"Q224964","English"
"Q224985","English"
"Q228659","German"
"Q228934","German"
"Q228933","German"
"Q225635","English"
"Q225885","English"
"Q229519","German"
"Q225916","English"
"Q229557","German"
"Q225958","English"
"Q225962","English"
"Q229650","German"
"Q229713","German"
"Q229799","German"
"Q226193","English"
"Q230294","German"
"Q230348","German"
"Q230363","German"
"Q226773","English"
"Q226820","English"
"Q226944","English"
"Q227461","English"
"Q227468","English"
"Q227478","English"
"Q227532","English"
"Q227540","English"
"Q228186","English"
"Q228244","English"
"Q228585","English"
"Q228867","English"
"Q228936","English"
"Q228964","English"
"Q229523","English"
"Q229547","English"
"Q229552","English"
"Q229558","English"
"Q229599","English"
"Q229603","English"
"Q229643","English"
"Q229645","English"
"Q230304","English"
"Q225072","Dutch"
"Q226193","Polish"
"Q225964","Serbian"
"Q224165","Italian"
"Q226810","Italian"
"Q226823","Italian"
"Q226820","Italian"
"Q228922","Italian"
"Q223559","French"
"Q224929","French"
"Q225355","French"
"Q225553","French"
"Q225875","French"
"Q227474","French"
"Q227548","French"
"Q228293","French"
"Q228667","French"
"Q228937","French"
"Q228947","French"
"Q228991","French"
"Q225892","Norwegian"
"Q225093","Hindi"
"Q227520","Hindi"
"Q229633","Hindi"
"Q224985","Spanish"
"Q229655","Turkish"
"Q224618","Danish"
"Q228554","Finnish"
"Q229636","Afrikaans"
"Q225175","Yue Chinese"
"Q219952","German"
"Q220741","Portuguese"
"Q222064","German"
"Q219150","English"
"Q219155","English"
"Q219170","English"
"Q219179","English"
"Q219176","English"
"Q219187","English"
"Q219185","English"
"Q219190","English"
"Q219188","English"
"Q219315","English"
"Q219421","English"
"Q219424","English"
"Q219442","English"
"Q219776","English"
"Q219790","English"
"Q219789","English"
"Q219794","English"
"Q219793","English"
"Q219796","English"
"Q219802","English"
"Q219807","English"
"Q219805","English"
"Q219810","English"
"Q219808","English"
"Q219988","English"
"Q220126","English"
"Q220154","English"
"Q220192","English"
"Q220299","English"
"Q220376","English"
"Q220394","English"
"Q220423","English"
"Q220515","English"
"Q220655","English"
"Q220713","English"
"Q220735","English"
"Q220780","English"
"Q220910","English"
"Q220955","English"
"Q221020","English"
"Q221075","English"
"Q221090","English"
"Q221098","English"
"Q221102","English"
"Q221103","English"
"Q221104","English"
"Q221109","English"
"Q221113","English"
"Q221168","English"
"Q221202","English"
"Q221236","English"
"Q221249","English"
"Q221305","English"
"Q221345","English"
"Q221384","English"
"Q221462","English"
"Q221491","English"
"Q221586","English"
"Q221587","English"
"Q221594","English"
"Q221820","English"
"Q221827","English"
"Q221842","English"
"Q221846","English"
"Q221852","English"
"Q221949","English"
"Q221982","English"
"Q221983","English"
"Q221992","English"
"Q222018","English"
"Q222041","English"
"Q222720","English"
"Q222770","English"
"Q222800","English"
"Q222852","English"
"Q219792","Japanese"
"Q221491","Japanese"
"Q222040","Japanese"
"Q219839","Serbian"
"Q219185","Italian"
"Q219805","Italian"
"Q220124","Italian"
"Q220100","French"
"Q220423","French"
"Q221750","French"
"Q221759","French"
"Q221354","Swedish"
"Q222633","Swedish"
"Q221760","Russian"
"Q219392","Hindi"
"Q219396","Hindi"
"Q219839","Czech"
"Q221075","Spanish"
"Q221887","Danish"
"Q221491","Tok Pisin"
"Q221491","Greek"
"Q219839","Torlakian"
"Q185809","German"
"Q186873","German"
"Q186881","German"
"Q186900","German"
"Q187276","German"
"Q187669","German"
"Q185776","English"
"Q185834","English"
"Q185859","English"
"Q185888","English"
"Q185976","English"
"Q185977","English"
"Q185999","English"
"Q186014","English"
"Q186281","English"
"Q186323","English"
"Q186341","English"
"Q186445","English"
"Q186490","English"
"Q186504","English"
"Q186587","English"
"Q186799","English"
"Q186842","English"
"Q186864","English"
"Q187079","English"
"Q187154","English"
"Q191006","German"
"Q187414","English"
"Q187423","English"
"Q187561","English"
"Q187651","English"
"Q187686","English"
"Q187999","English"
"Q188000","English"
"Q188019","English"
"Q188064","English"
"Q188159","English"
"Q188335","English"
"Q188384","English"
"Q188652","English"
"Q188718","English"
"Q188845","English"
"Q188850","English"
"Q188991","English"
"Q189054","English"
"Q189330","English"
"Q189505","English"
"Q189600","English"
"Q189687","English"
"Q189889","English"
"Q190050","English"
"Q190086","English"
"Q190145","English"
"Q190525","English"
"Q190588","English"
"Q190643","English"
"Q190765","English"
"Q190908","English"
"Q190956","English"
"Q191040","English"
"Q191074","English"
"Q191100","English"
"Q191418","English"
"Q191543","English"
"Q191921","English"
"Q192022","English"
"Q192073","English"
"Q192115","English"
"Q192160","English"
"Q192301","English"
"Q192409","English"
"Q192686","English"
"Q192476","Cantonese"
"Q185803","Persian"
"Q185805","Persian"
"Q185884","Japanese"
"Q186810","Japanese"
"Q189540","Japanese"
"Q191958","Japanese"
"Q192160","Japanese"
"Q186900","Georgian"
"Q188323","Italian"
"Q190196","Tamil"
"Q192409","Italian"
"Q192160","Arabic"
"Q186900","French"
"Q187276","French"
"Q192160","French"
"Q191955","Swedish"
"Q185803","Kurdish"
"Q188384","Russian"
"Q192542","Russian"
"Q192543","Russian"
"Q185806","Hindi"
"Q187863","Hindi"
"Q188991","Gujarati"
"Q192347","Punjabi"
"Q192022","Spanish"
"Q192160","Spanish"
"Q188035","Yucatec Maya"
"Q75641","German"
"Q77151","Portuguese"
"Q74643","English"
"Q74671","English"
"Q74958","English"
"Q75539","English"
"Q75546","English"
"Q76479","English"
"Q76582","English"
"Q76827","English"
"Q76824","English"
"Q77009","English"
"Q77013","English"
"Q82223","German"
"Q79503","English"
"Q80204","English"
"Q80246","English"
"Q80289","English"
"Q80318","English"
"Q80379","English"
"Q84022","Portuguese"
"Q80437","English"
"Q80509","English"
"Q80609","English"
"Q80959","English"
"Q81037","English"
"Q81044","English"
"Q81145","English"
"Q81224","English"
"Q81487","English"
"Q81597","English"
"Q81898","English"
"Q81995","English"
"Q82155","English"
"Q82352","English"
"Q82388","English"
"Q82413","English"
"Q82426","English"
"Q82519","English"
"Q82949","English"
"Q83005","English"
"Q83495","English"
"Q83542","English"
"Q83612","English"
"Q83623","English"
"Q83630","English"
"Q83649","English"
"Q83656","English"
"Q83730","English"
"Q83739","English"
"Q83767","English"
"Q83791","English"
"Q83789","English"
"Q84022","English"
"Q84147","English"
"Q84220","English"
"Q86427","English"
"Q91540","English"
"Q93432","English"
"Q80538","Korean"
"Q80409","Persian"
"Q80608","Persian"
"Q81789","Japanese"
"Q82327","Japanese"
"Q82989","Japanese"
"Q80660","Polish"
"Q82297","Polish"
"Q80227","Georgian"
"Q75569","Italian"
"Q75593","Italian"
"Q76479","Italian"
"Q77597","Italian"
"Q80557","Italian"
"Q80617","Italian"
"Q81845","Italian"
"Q82860","Italian"
"Q82937","Italian"
"Q84064","Italian"
"Q80409","Azerbaijani"
"Q84006","Azerbaijani"
"Q80959","French"
"Q83703","French"
"Q84022","French"
"Q86427","French"
"Q82847","Swedish"
"Q76582","Urdu"
"Q82847","Norwegian"
"Q83594","Russian"
"Q84147","Russian"
"Q93459","Russian"
"Q74750","Hindi"
"Q76582","Hindi"
"Q82321","Hindi"
"Q82374","Hindi"
"Q83505","Hindi"
"Q75000","Spanish"
"Q80959","Spanish"
"Q84022","Spanish"
"Q83103","Brazilian Portuguese"
"Q82223","Serbo-Croatian"
"Q203102","German"
"Q203543","German"
"Q203717","German"
"Q204447","German"
"Q204673","German"
"Q205693","German"
"Q205957","German"
"Q206013","German"
"Q203101","English"
"Q203334","English"
"Q203388","English"
"Q203515","English"
"Q203560","English"
"Q203574","English"
"Q203705","English"
"Q203717","English"
"Q203778","English"
"Q203845","English"
"Q203900","English"
"Q204057","English"
"Q204190","English"
"Q204191","English"
"Q204212","English"
"Q204374","English"
"Q204398","English"
"Q204414","English"
"Q204514","English"
"Q204670","English"
"Q204725","English"
"Q204893","English"
"Q204958","English"
"Q205028","English"
"Q205211","English"
"Q208907","German"
"Q205321","English"
"Q205413","English"
"Q205447","English"
"Q205532","English"
"Q205575","English"
"Q205687","English"
"Q205694","English"
"Q205903","English"
"Q205983","English"
"Q205991","English"
"Q206080","English"
"Q206124","English"
"Q206224","English"
"Q206336","English"
"Q206374","English"
"Q206388","English"
"Q206461","English"
"Q206497","English"
"Q206576","English"
"Q206589","English"
"Q206635","English"
"Q206886","English"
"Q207130","English"
"Q207482","English"
"Q207536","English"
"Q207588","English"
"Q207698","English"
"Q207816","English"
"Q207916","English"
"Q207921","English"
"Q207954","English"
"Q208047","English"
"Q208108","English"
"Q208204","English"
"Q208263","English"
"Q208266","English"
"Q208269","English"
"Q208344","English"
"Q208424","English"
"Q208572","English"
"Q208592","English"
"Q208618","English"
"Q208632","English"
"Q209012","English"
"Q209395","English"
"Q209481","English"
"Q209505","English"
"Q209538","English"
"Q205763","Korean"
"Q207189","Serbian"
"Q203101","Italian"
"Q203971","Italian"
"Q205546","French"
"Q206124","French"
"Q206740","French"
"Q207921","French"
"Q208844","French"
"Q208983","French"
"Q208988","French"
"Q207494","Hindi"
"Q203388","Spanish"
"Q204190","Spanish"
"Q205506","Spanish"
"Q206635","Yiddish"
"Q206635","Hebrew"
"Q206182","Standard Mandarin"
"Q231712","German"
"Q232012","German"
"Q232088","German"
"Q232096","German"
"Q232119","Portuguese"
"Q232179","German"
"Q232188","German"
"Q232231","German"
"Q232233","German"
"Q232238","German"
"Q232236","German"
"Q232993","German"
"Q233777","German"
"Q231998","English"
"Q232000","English"
"Q232007","English"
"Q232009","English"
"Q232036","English"
"Q232053","English"
"Q232079","English"
"Q232091","English"
"Q232106","English"
"Q232115","English"
"Q232119","English"
"Q232130","English"
"Q232133","English"
"Q232161","English"
"Q232170","English"
"Q232175","English"
"Q232177","English"
"Q232219","English"
"Q232222","English"
"Q232227","English"
"Q232234","English"
"Q232250","English"
"Q232251","English"
"Q232248","English"
"Q232774","English"
"Q232938","English"
"Q233285","English"
"Q233464","English"
"Q237301","German"
"Q238251","German"
"Q234789","English"
"Q235742","English"
"Q236217","English"
"Q240535","German"
"Q237116","English"
"Q237134","English"
"Q237215","English"
"Q237222","English"
"Q238211","English"
"Q238296","English"
"Q238858","English"
"Q238866","English"
"Q239296","English"
"Q239794","English"
"Q239827","English"
"Q239907","English"
"Q240194","English"
"Q240285","English"
"Q240713","English"
"Q240849","English"
"Q240894","English"
"Q240899","English"
"Q241085","English"
"Q241141","English"
"Q241218","English"
"Q241309","English"
"Q232068","Japanese"
"Q236589","Japanese"
"Q232003","Italian"
"Q232044","Italian"
"Q232116","Italian"
"Q232117","Italian"
"Q232166","Italian"
"Q232190","Italian"
"Q232261","Italian"
"Q239630","Italian"
"Q239668","Italian"
"Q238245","Romanian"
"Q230616","French"
"Q231998","French"
"Q232020","French"
"Q232075","French"
"Q232091","French"
"Q232217","French"
"Q236217","French"
"Q240765","French"
"Q232198","Swedish"
"Q239756","Swedish"
"Q231964","Hindi"
"Q232032","Hindi"
"Q239601","Hindi"
"Q237277","Malayalam"
"Q232000","Spanish"
"Q232017","Spanish"
"Q240061","Spanish"
"Q232081","Turkish"
"Q232108","Yue Chinese"
"Q192934","German"
"Q194702","German"
"Q192724","English"
"Q192934","English"
"Q192979","English"
"Q193066","English"
"Q196901","German"
"Q193570","English"
"Q193573","English"
"Q193577","English"
"Q193695","English"
"Q193835","English"
"Q193981","English"
"Q194013","English"
"Q194106","English"
"Q194142","English"
"Q194143","English"
"Q194248","English"
"Q194346","English"
"Q194413","English"
"Q194599","English"
"Q194669","English"
"Q194696","English"
"Q194702","English"
"Q194728","English"
"Q194778","English"
"Q194784","English"
"Q194801","English"
"Q195063","English"
"Q195274","English"
"Q195303","English"
"Q195402","English"
"Q195449","English"
"Q195525","English"
"Q195593","English"
"Q195710","English"
"Q195772","English"
"Q195809","English"
"Q195845","English"
"Q195949","English"
"Q196004","English"
"Q196029","English"
"Q196103","English"
"Q196665","English"
"Q196685","English"
"Q200517","German"
"Q196933","English"
"Q196936","English"
"Q196977","English"
"Q197011","English"
"Q197233","English"
"Q197470","English"
"Q197491","English"
"Q198451","English"
"Q198557","English"
"Q198560","English"
"Q200096","English"
"Q200299","English"
"Q200396","English"
"Q200482","English"
"Q200572","English"
"Q200672","English"
"Q200728","English"
"Q200765","English"
"Q200804","English"
"Q200827","English"
"Q200873","English"
"Q199310","Bulgarian"
"Q199732","Korean"
"Q194413","Japanese"
"Q196184","Japanese"
"Q199155","Japanese"
"Q199253","Japanese"
"Q200432","Japanese"
"Q195525","Polish"
"Q194728","Italian"
"Q195011","Italian"
"Q195525","Italian"
"Q196103","Italian"
"Q194413","French"
"Q195593","French"
"Q197460","French"
"Q199313","French"
"Q200091","French"
"Q195593","Swedish"
"Q200607","Swedish"
"Q194649","Norwegian"
"Q194941","Russian"
"Q195576","Russian"
"Q200437","Russian"
"Q200804","Russian"
"Q200431","Hindi"
"Q199915","Malayalam"
"Q196004","Spanish"
"Q200672","Spanish"
"Q200804","Spanish"
"Q195920","Danish"
"Q195959","Danish"
"Q197412","Mandarin Chinese"
"Q200477","Swiss German"
"Q212140","German"
"Q209552","English"
"Q209839","English"
"Q209854","English"
"Q209913","English"
"Q210111","English"
"Q210233","English"
"Q210364","English"
"Q210590","English"
"Q210681","English"
"Q210756","English"
"Q210812","English"
"Q210873","English"
"Q211009","English"
"Q211206","English"
"Q211222","English"
"Q211278","English"
"Q211282","English"
"Q211321","English"
"Q211372","English"
"Q211373","English"
"Q211429","English"
"Q211525","English"
"Q211545","English"
"Q215289","German"
"Q211693","English"
"Q211701","English"
"Q211903","English"
"Q212041","English"
"Q212098","English"
"Q212123","English"
"Q212129","English"
"Q212145","English"
"Q212333","English"
"Q212493","English"
"Q212538","English"
"Q212582","English"
"Q212660","English"
"Q216269","German"
"Q212689","English"
"Q212775","English"
"Q212804","English"
"Q212839","English"
"Q212861","English"
"Q212864","English"
"Q212965","English"
"Q213053","English"
"Q213081","English"
"Q213208","English"
"Q213411","English"
"Q213683","English"
"Q217301","German"
"Q213773","English"
"Q213999","English"
"Q214014","English"
"Q214013","English"
"Q214723","English"
"Q214801","English"
"Q216269","English"
"Q216720","English"
"Q217010","English"
"Q217008","English"
"Q217020","English"
"Q217112","English"
"Q217182","English"
"Q217220","English"
"Q217286","English"
"Q217294","English"
"Q217303","English"
"Q217307","English"
"Q211722","Korean"
"Q212140","Polish"
"Q213108","Serbian"
"Q213345","Serbian"
"Q212123","Catalan"
"Q209737","Italian"
"Q210509","Italian"
"Q211341","Italian"
"Q212228","Italian"
"Q213304","Italian"
"Q217189","Latin"
"Q210111","French"
"Q210182","French"
"Q210233","French"
"Q211954","French"
"Q212387","French"
"Q215319","French"
"Q211066","Swedish"
"Q217189","Swedish"
"Q216269","Russian"
"Q213153","Czech"
"Q217221","Malayalam"
"Q217225","Malayalam"
"Q209667","Spanish"
"Q212123","Spanish"
"Q212675","Spanish"
"Q216006","Spanish"
"Q213138","Mandarin Chinese"
"Q217152","Serbo-Croatian"
"Q213215","Standard Mandarin"
"Q93539","German"
"Q93622","English"
"Q93689","English"
"Q93701","English"
"Q93774","English"
"Q93778","English"
"Q93853","English"
"Q93868","English"
"Q93876","English"
"Q94284","English"
"Q94348","English"
"Q94686","English"
"Q102225","English"
"Q102235","English"
"Q102244","English"
"Q102438","English"
"Q102754","English"
"Q103474","English"
"Q103569","English"
"Q107270","German"
"Q104123","English"
"Q104137","English"
"Q107894","German"
"Q104814","English"
"Q105031","English"
"Q105387","English"
"Q105598","English"
"Q105624","English"
"Q105702","English"
"Q105801","English"
"Q105993","English"
"Q106182","English"
"Q106316","English"
"Q106428","English"
"Q106440","English"
"Q106506","English"
"Q106571","English"
"Q106871","English"
"Q107167","English"
"Q107226","English"
"Q107270","English"
"Q107325","English"
"Q107724","English"
"Q107761","English"
"Q107894","English"
"Q107914","English"
"Q107940","English"
"Q108006","English"
"Q108297","English"
"Q108525","English"
"Q108543","English"
"Q108586","English"
"Q108946","English"
"Q109110","English"
"Q109116","English"
"Q109135","English"
"Q109564","English"
"Q109767","English"
"Q110043","English"
"Q110138","English"
"Q110203","English"
"Q110206","English"
"Q110278","English"
"Q110354","English"
"Q110365","English"
"Q110397","English"
"Q111788","English"
"Q94448","Korean"
"Q107325","Bulgarian"
"Q93500","Japanese"
"Q93790","Japanese"
"Q94033","Japanese"
"Q107270","Japanese"
"Q112275","Japanese"
"Q94792","Polish"
"Q93721","Italian"
"Q111772","Italian"
"Q107325","Latin"
"Q93564","Arabic"
"Q107325","Romanian"
"Q94347","Azerbaijani"
"Q93512","French"
"Q93564","French"
"Q94943","French"
"Q107270","French"
"Q93591","Russian"
"Q94347","Russian"
"Q93670","Hindi"
"Q94922","Hindi"
"Q106819","Hindi"
"Q93750","Spanish"
"Q93778","Spanish"
"Q93853","Spanish"
"Q94106","Spanish"
"Q94133","Spanish"
"Q94478","Spanish"
"Q107325","Greek"
"Q93741","Shawiya"
"Q93778","Embera"
"Q94286","Standard Mandarin"
"Q326789","German"
"Q327027","German"
"Q327027","Portuguese"
"Q327427","German"
"Q327573","German"
"Q327645","German"
"Q327806","German"
"Q327809","German"
"Q327824","German"
"Q327855","German"
"Q327874","German"
"Q327882","German"
"Q327953","German"
"Q327966","German"
"Q328558","German"
"Q328875","German"
"Q328932","German"
"Q329007","German"
"Q329045","German"
"Q329093","German"
"Q329108","German"
"Q329208","German"
