"FilmID","FilmName","Year","Type","wiki_title","wikibase_item","Studio","Distributor"
"tt0042768","My Country 'Tis of Thee",1950,"movie",NA,NA,NA,NA
"tt0043073","Trouble Indemnity",1950,"movie",NA,NA,NA,NA
"tt0043148","Wrong Way Butch",1950,"movie",NA,NA,NA,NA
"tt0043685","Jerry's Cousin",1951,"movie",NA,NA,NA,NA
"tt0043316","Balzac",NA,NA,NA,NA,NA,NA
"tt0043447","Danger Under the Sea",1951,"movie",NA,NA,NA,NA
"tt0043969","Ridin' the Rails",1951,"movie",NA,NA,NA,NA
"tt0044077","The Story of Time",1951,"movie",NA,NA,NA,NA
"tt0044381","Athletes of the Saddle",1952,"movie",NA,NA,NA,NA
"tt0044539","Desert Killer",1952,"movie",NA,NA,NA,NA
"tt0045033","Pink and Blue Blues",1952,"movie",NA,NA,NA,NA
"tt0045108","Royal Scotland",1952,"movie",NA,NA,NA,NA
"tt0045228","Thar She Blows!",NA,NA,NA,NA,NA,NA
"tt0045625","Christ Among the Primitives",NA,NA,NA,NA,NA,NA
"tt0045626","Christopher Crumpet",1953,"movie",NA,NA,NA,NA
"tt0045940","Joy of Living",NA,NA,NA,NA,NA,NA
"tt0046051","Martin Luther",1953,"movie",NA,NA,NA,NA
"tt0046506","Vesuvius Express",NA,NA,NA,NA,NA,NA
"tt0046537","Wee Water Wonders",NA,NA,NA,NA,NA,NA
"tt0046554","Winter Paradise",NA,NA,NA,NA,NA,NA
"tt0046981","The First Piano Quartette",1954,"movie",NA,NA,NA,NA
"tt0047485","Siam",1954,"movie",NA,NA,NA,NA
"tt0047531","Strauss Fantasy",1954,"movie",NA,NA,NA,NA
"tt0047600","TouchÃ©, Pussy Cat!",1954,"movie",NA,NA,NA,NA
"tt0048106","Gadgets Galore",1955,"movie",NA,NA,NA,NA
"tt0048447","On the Twelfth Day...",1955,"movie",NA,NA,NA,NA
"tt0048683","Switzerland",1955,"movie",NA,NA,NA,NA
"tt0048718","Three Kisses",1955,"movie",NA,NA,NA,NA
"tt0049099","Cow Dog",1956,"movie",NA,NA,NA,NA
"tt0049258","Gerald McBoing! Boing! on Planet Moo",1956,"movie",NA,NA,NA,NA
"tt0049380","The Jaywalker",1956,"movie",NA,NA,NA,NA
"tt0049709","Samoa",1956,"movie",NA,NA,NA,NA
"tt0050403","Foothold on Antarctica",1957,"movie",NA,NA,NA,NA
"tt0050851","Portugal",1957,"movie",NA,NA,NA,NA
"tt0051108","Trees and Jamaica Daddy",1957,"movie",NA,NA,NA,NA
"tt0052195","Sidney's Family Tree",1958,"movie",NA,NA,NA,NA
"tt0052267","T Is for Tumbleweed",NA,NA,NA,NA,NA,NA
"tt0052621","Between the Tides",1959,"movie",NA,NA,NA,NA
"tt0053090","Mysteries of the Deep",1959,"movie",NA,NA,NA,NA
"tt0053120","Noah's Ark",1959,"movie",NA,NA,NA,NA
"tt0053425","The Violinist",1959,"movie",NA,NA,NA,NA
"tt0053737","The Creation of Woman",1961,"movie",NA,NA,NA,NA
"tt0053956","Islands of the Sea",1960,"movie",NA,NA,NA,NA
"tt0054186","O mÃ­sto na slunci",1959,"movie",NA,NA,NA,NA
"tt0054335","A Sport Is Born",1960,"movie",NA,NA,NA,NA
"tt0054658","Ballon vole",NA,NA,NA,NA,NA,NA
"tt0054863","The Face of Jesus",NA,NA,NA,NA,NA,NA
"tt0055384","Rooftops of New York",1961,"movie",NA,NA,NA,NA
"tt0055792","Big City Blues",1962,"movie",NA,NA,NA,NA
"tt0055820","The Cadillac",NA,NA,NA,NA,NA,NA
"tt0055853","The Cliff Dwellers",NA,NA,NA,NA,NA,NA
"tt0056091","Icarus Montgolfier Wright",1962,"movie",NA,NA,NA,NA
"tt0056464","Self Defense... for Cowards",1962,"movie",NA,NA,NA,NA
"tt1534484","Pan",NA,NA,NA,NA,NA,NA
"tt0056841","Automania 2000",1963,"movie",NA,NA,NA,NA
"tt0056946","Koncert",1962,"movie",NA,NA,NA,NA
"tt0057090","A Gathering of Eagles",1963,"movie",NA,NA,NA,NA
"tt0057185","Igra",1962,"movie",NA,NA,NA,NA
"tt0057410","Pianissimo",1963,"movie",NA,NA,NA,NA
"tt0058211","How to Avoid Friendship",1964,"movie",NA,NA,NA,NA
"tt0058416","Here's Nudnik",1965,"movie",NA,NA,NA,NA
"tt0059041","Clay or the Origin of Species",1967,"movie",NA,NA,NA,NA
"tt0059214","La gazza ladra",1964,"movie",NA,NA,NA,NA
"tt0059797","Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes",1965,"movie",NA,NA,NA,NA
"tt0060346","The Drag",1966,"movie",NA,NA,NA,NA
"tt0060401","Pharaoh",1966,"movie",NA,NA,NA,NA
"tt0060834","The Pink Blueprint",1966,"movie",NA,NA,NA,NA
"tt0061034","Stop the World: I Want to Get Off",1966,"movie",NA,NA,NA,NA
"tt0061128","Turkey the Bridge",NA,NA,NA,NA,NA,NA
"tt0061200","The Winning Strain",1966,"movie",NA,NA,NA,NA
"tt0061798","HypothÃ¨se Beta",NA,NA,NA,NA,NA,NA
"tt0062278","Sky Over Holland",1967,"movie",NA,NA,NA,NA
"tt0063257","The Magic Pear Tree",1968,"movie",NA,NA,NA,NA
"tt0063262","La maison de Jean-Jacques",1967,"movie",NA,NA,NA,NA
"tt0063454","Prelude",1968,"movie",NA,NA,NA,NA
"tt0063816","Windy Day",1968,"movie",NA,NA,NA,NA
"tt0064752","Of Men and Demons",1969,"movie",NA,NA,NA,NA
"tt0064799","People Soup",1969,"movie",NA,NA,NA,NA
"tt0065593","Cromwell",1970,"movie",NA,NA,NA,NA
"tt0066367","The Shepherd",1969,"movie",NA,NA,NA,NA
"tt0066376","Shut Up... I'm Crying",NA,NA,NA,NA,NA,NA
"tt0066406","Sticky My Fingers... Fleet My Feet",1970,"movie",NA,NA,NA,NA
"tt0067152","Good Morning",1971,"movie",NA,NA,NA,NA
"tt0067662","The Rehearsal",1969,"movie",NA,NA,NA,NA
"tt0067772","Somebody Waiting",1972,"movie",NA,NA,NA,NA
"tt0068614","Frog Story",1972,"movie",NA,NA,NA,NA
"tt0068793","Kama Sutra Rides Again",1971,"movie",NA,NA,NA,NA
"tt0069296","Solo",1972,"movie",NA,NA,NA,NA
"tt0069891","Clockmaker",1971,"movie",NA,NA,NA,NA
"tt0070296","The Legend of John Henry",1974,"movie",NA,NA,NA,NA
"tt0070574","Pulcinella",1973,"movie",NA,NA,NA,NA
"tt0071335","Climb",NA,NA,NA,NA,NA,NA
"tt0071355","The Concert",1974,"movie",NA,NA,NA,NA
"tt0072001","Planet Ocean",1974,"movie",NA,NA,NA,NA
"tt0072370","The Violin",1974,"movie",NA,NA,NA,NA
"tt0072380","Voyage to Next",1974,"movie",NA,NA,NA,NA
"tt0072816","Conquest of Light",NA,NA,NA,NA,NA,NA
"tt0072846","Dawn Flight",1976,"movie",NA,NA,NA,NA
"tt0072847","A Day in the Life of Bonnie Consolo",1975,"movie",NA,NA,NA,NA
"tt0072900","Doubletalk",1975,"movie",NA,NA,NA,NA
"tt0073715","Sisyphus",1974,"movie",NA,NA,NA,NA
"tt0074386","Labyrinth",1976,"movie",NA,NA,NA,NA
"tt0074765","Kudzu",1977,"movie",NA,NA,NA,NA
"tt0074919","The Morning Spider",1976,"movie",NA,NA,NA,NA
"tt0074966","Nightlife",1976,"movie",NA,NA,NA,NA
"tt0074986","Number One",1976,"movie",NA,NA,NA,NA
"tt0075732","The Bead Game",1977,"movie",NA,NA,NA,NA
"tt0075953","A Doonesbury Special",1977,"movie",NA,NA,NA,NA
"tt0076036","Floating Free",1978,"movie",NA,NA,NA,NA
"tt0076467","Notes on the Popular Arts",1978,"movie",NA,NA,NA,NA
"tt0076742","Spaceborne",1977,"movie",NA,NA,NA,NA
"tt0077901","Mandy's Grandmother",1979,"movie",NA,NA,NA,NA
"tt0078017","Oh My Darling ...",1978,"movie",NA,NA,NA,NA
"tt0078329","Strange Fruit",1979,"movie",NA,NA,NA,NA
"tt0079354","It's So Nice to Have a Wolf Around the House",1979,"movie",NA,NA,NA,NA
"tt0079402","The Killing Ground",1979,"movie",NA,NA,NA,NA
"tt0079656","Oh Brother, My Brother",1979,"movie",NA,NA,NA,NA
"tt0079923","Solly's Diner",1980,"movie",NA,NA,NA,NA
"tt0080713","Fall Line",1981,"movie",NA,NA,NA,NA
"tt0080974","A Jury of Her Peers",1980,"movie",NA,NA,NA,NA
"tt0082207","Couples and Robbers",1981,"movie",NA,NA,NA,NA
"tt0082212","The Creation",1981,"movie",NA,NA,NA,NA
"tt0082288","Dragonslayer",1981,"movie",NA,NA,NA,NA
"tt0082383","First Winter",1981,"movie",NA,NA,NA,NA
"tt0084683","The Silence",1982,"movie",NA,NA,NA,NA
"tt0084713","Split Cherry Tree",1982,"movie",NA,NA,NA,NA
"tt0169446","The Fifth Estate",NA,"series",NA,NA,NA,NA
"tt0085613","Goodie-Two-Shoes",1984,"movie",NA,NA,NA,NA
"tt0086067","Overnight Sensation",1984,"movie",NA,NA,NA,NA
"tt0086344","Sound of Sunshine - Sound of Rain",1983,"movie",NA,NA,NA,NA
"tt0087156","Doctor DeSoto",1984,"movie",NA,NA,NA,NA
"tt0087871","The Painted Door",1984,"movie",NA,NA,NA,NA
"tt0088223","Tales of Meeting and Parting",1985,"movie",NA,NA,NA,NA
"tt0089225","Graffiti",1985,"movie",NA,NA,NA,NA
"tt0089980","Second Class Mail",1985,"movie",NA,NA,NA,NA
"tt0091021","Exit",1985,"movie",NA,NA,NA,NA
"tt0091438","Love Struck",NA,NA,NA,NA,NA,NA
"tt0092999","Eyes on the Prize",NA,"series",NA,NA,NA,NA
"tt0093478","Making Waves",1987,"movie",NA,NA,NA,NA
"tt0093960","Shoeshine",1987,"movie",NA,NA,NA,NA
"tt0094825","Cadillac Dreams",1988,"movie",NA,NA,NA,NA
"tt0095261","Gullah Tales",1988,"movie",NA,NA,NA,NA
"tt0096798","Amazon Diary",NA,NA,NA,NA,NA,NA
"tt0097057","The Child Eater",1989,"movie",NA,NA,NA,NA
"tt0099182","Bronx Cheers",1991,"movie",NA,NA,NA,NA
"tt0099317","Creature Comforts",1989,"movie",NA,NA,NA,NA
"tt0100579","Senzeni Na?",1990,"movie",NA,NA,NA,NA
"tt0101456","Birch Street Gym",1991,"movie",NA,NA,NA,NA
"tt0102268","Last Breeze of Summer",1991,"movie",NA,NA,NA,NA
"tt0102997","Strings",1991,"movie",NA,NA,NA,NA
"tt0104032","Cruise Control",1992,"movie",NA,NA,NA,NA
"tt0104669","The Lady in Waiting",1992,"movie",NA,NA,NA,NA
"tt0105224","Words, Words, Words",1991,"movie",NA,NA,NA,NA
"tt0105335","Screen Play",1993,"movie",NA,NA,NA,NA
"tt0106428","Blindscape",1993,"movie",NA,NA,NA,NA
"tt0106766","Down on the Waterfront",1993,"movie",NA,NA,NA,NA
"tt0108165","Small Talk",1994,"movie",NA,NA,NA,NA
"tt0108494","The Village",1993,"movie",NA,NA,NA,NA
"tt0108498","The Screw",1993,"movie",NA,NA,NA,NA
"tt0110183","The Janitor",1995,"movie",NA,NA,NA,NA
"tt0110239","Kangaroo Court",1994,"movie",NA,NA,NA,NA
"tt0110726","On Hope",1994,"movie",NA,NA,NA,NA
"tt0111338","Syrup",1994,"movie",NA,NA,NA,NA
"tt0111489","Triangle",1994,"movie",NA,NA,NA,NA
"tt0112584","Brooms",1996,"movie",NA,NA,NA,NA
"tt0112661","The Chicken from Outer Space",1996,"movie",NA,NA,NA,NA
"tt0112958","The End",1995,"movie",NA,NA,NA,NA
"tt0113138","Gagarin",1994,"movie",NA,NA,NA,NA
"tt0114742","Tuesday Morning Ride",1995,"movie",NA,NA,NA,NA
"tt1614420","Troublesome Creek: A Midwestern",1995,"movie",NA,NA,NA,NA
"tt0115817","Canhead",1996,"movie",NA,NA,NA,NA
"tt0116044","De tripas, corazÃ³n",1996,"movie",NA,NA,NA,NA
"tt0116214","Ernst & lyset",1996,"movie",NA,NA,NA,NA
"tt0116233","Linked",1996,"movie",NA,NA,NA,NA
"tt0118191","Senza parole",1996,"movie",NA,NA,NA,NA
"tt0130860","Mermaid",1997,"movie",NA,NA,NA,NA
"tt0141401","It's Good to Talk",1997,"movie",NA,NA,NA,NA
"tt0141868","Skal vi vÃ¦re kÃ¦rester?",1997,"movie",NA,NA,NA,NA
"tt0141995","Wolfgang",1997,"movie",NA,NA,NA,NA
"tt0188478","The Canterbury Tales",NA,"series",NA,NA,NA,NA
"tt0188485","The Postcard",1998,"movie",NA,NA,NA,NA
"tt0188533","Culture",1997,"movie",NA,NA,NA,NA
"tt0188667","Holiday Romance",1998,"movie",NA,NA,NA,NA
"tt0189186","Victor",1998,"movie",NA,NA,NA,NA
"tt0191850","Theis and Nico",1999,"movie",NA,NA,NA,NA
"tt0200780","Kleingeld",1999,"movie",NA,NA,NA,NA
"tt0236386","Killing Joe",1999,"movie",NA,NA,NA,NA
"tt0239206","3 Misses",1998,"movie",NA,NA,NA,NA
"tt0239583","Stora & smÃ¥ mirakel",1999,"movie",NA,NA,NA,NA
"tt0207112","Uma HistÃ³ria de Futebol",1998,"movie",NA,NA,NA,NA
"tt0262758","Seraglio",2000,"movie",NA,NA,NA,NA
"tt0278378","By Courier",2001,"movie",NA,NA,NA,NA
"tt0182014","Copy Shop",2001,"movie",NA,NA,NA,NA
"tt0269899","Speed for Thespians",2000,"movie",NA,NA,NA,NA
"tt0303336","Fifty Percent Grey",2001,"movie",NA,NA,NA,NA
"tt0304107","Gregor's Greatest Invention",2001,"movie",NA,NA,NA,NA
"tt0304394","A Man Thing",2001,"movie",NA,NA,NA,NA
"tt0308317","Give Up Yer Aul Sins",2001,"movie",NA,NA,NA,NA
"tt0303350","Dog",2002,"movie",NA,NA,NA,NA
"tt0316013","Prisoner of Paradise",2002,"movie",NA,NA,NA,NA
"tt0325638","I'll Wait for the Next One...",2002,"movie",NA,NA,NA,NA
"tt0334405","Spellbound",2002,"movie",NA,NA,NA,NA
"tt0323844","The Red Jacket",2002,"movie",NA,NA,NA,NA
"tt0350476","(A)Torzija",2003,"movie",NA,NA,NA,NA
"tt0443499","Everything in This Country Must",2004,"movie",NA,NA,NA,NA
"tt0460616","One Too Many",2005,"movie",NA,NA,NA,NA
"tt0859595","The Blood of Yingzhou District",2006,"movie",NA,NA,NA,NA
"tt0955271","Helmer & Son",2006,"movie",NA,NA,NA,NA
"tt0982919","Rehearsing a Dream",2006,"movie",NA,NA,NA,NA
"tt0879843","Katyn",2007,"movie",NA,NA,NA,NA
"tt0922627","The Substitute",2007,"movie",NA,NA,NA,NA
"tt1176466","The Tonto Woman",2008,"movie",NA,NA,NA,NA
"tt1186020","Manon on the Asphalt",2007,"movie",NA,NA,NA,NA
"tt1333640","The Pig",2008,"movie",NA,NA,NA,NA
"tt1351684","Instead of Abracadabra",2008,"movie",NA,NA,NA,NA
"tt1381557","The Door",2008,"movie",NA,NA,NA,NA
"tt1399573","Kavi",2009,"movie",NA,NA,NA,NA
"tt1744887","The Warriors of Qiugang",2010,"movie",NA,NA,NA,NA
"tt1521197","Anonymous",2011,"movie",NA,NA,NA,NA
"tt3080074","Possessions",2012,"movie",NA,NA,NA,NA
"tt11421246","Saria",2019,"movie",NA,NA,NA,NA
"tt8580274","Eurovision Song Contest: The Story of Fire Saga",2020,"movie",NA,NA,NA,NA
"tt11383280","Please Hold",NA,NA,NA,NA,NA,NA
"tt11924384","The Long Goodbye",2020,"movie",NA,NA,NA,NA
"tt22054902","Ivalu",NA,NA,NA,NA,NA,NA
