"QID","value"
"Q451245","LZZ5-V5S"
"Q456711","MQBN-H57"
"Q517904","KH9V-J79"
"Q507012","L6PZ-XMN"
"Q508752","LXMH-9YM"
"Q519374","LYYX-2L2"
"Q506878","LZM6-5SK"
"Q509891","MF8J-TMP"
"Q526876","2ZSS-R7T"
"Q537087","G4Z7-4DP"
"Q535637","GDWB-KCY"
"Q527890","L294-CPS"
"Q529696","LF6S-RC3"
"Q542297","LTNT-VQ9"
"Q533403","LW1Y-H11"
"Q530820","LZ2G-GGD"
"Q554620","GHDZ-2VW"
"Q558416","GS8F-RSJ"
"Q561782","K819-9B4"
"Q560461","L4PY-NTW"
"Q552191","LH4D-TQD"
"Q562908","LRJL-BXP"
"Q562540","MYGS-JGH"
"Q593286","2WM1-PHR"
"Q597433","G9WM-SXR"
"Q590227","LBQL-FWS"
"Q578031","LTB5-WBF"
"Q577169","M7V4-NW2"
"Q577687","ML4Y-F9Q"
"Q600393","G9S5-8CC"
"Q631416","KNFL-B4P"
"Q657376","LKC6-6NZ"
"Q708947","9QFY-QXR"
"Q705738","L4YM-8CX"
"Q703369","LTH7-6QN"
"Q735824","GSBH-LPV"
"Q714574","KL7H-1ZZ"
"Q735342","LC3N-Z24"
"Q717656","LHV1-82P"
"Q715919","MYXV-JB9"
"Q765794","KH3J-HNQ"
"Q817516","K8DD-RW7"
"Q845755","L11N-79N"
"Q870607","KP7W-K1C"
"Q882131","K42Q-PS3"
"Q885839","K4YX-LC6"
"Q881335","KWCT-8S3"
"Q881412","LCVM-FRK"
"Q878798","LRW2-F9N"
"Q881873","LZ29-44P"
"Q886094","MT7L-MKF"
"Q930953","2QB5-4B7"
"Q927631","G4FX-ZDQ"
"Q929579","GMHR-2LB"
"Q929985","GQ8Q-H9P"
"Q921204","LY9X-J62"
"Q955051","GH3J-LWP"
"Q940445","K485-N9B"
"Q953696","K67P-1DS"
"Q947083","KWC8-VG3"
"Q946912","LC2W-7F7"
"Q960737","LC3C-8BR"
"Q956868","LC61-9V7"
"Q953004","LNXX-7MG"
"Q951224","MR11-RND"
"Q938844","MZPP-P3C"
"Q976773","GSSJ-XF4"
"Q980778","K8NB-NF2"
"Q971219","KCQ5-S9V"
"Q964833","L46N-R41"
"Q973292","LVNC-1XT"
"Q1027747","MC6P-4DP"
"Q1064790","GQ3H-F9T"
"Q1074680","K2MC-BH9"
"Q1157865","L2F3-LKZ"
"Q1237550","G9QB-VT1"
"Q1239072","LBG8-TGH"
"Q1238180","LY8K-K16"
"Q1345631","G3CL-NPV"
"Q1346488","K2FQ-332"
"Q1350728","KHC8-ZQY"
"Q1332927","LBJB-SRL"
"Q1334513","LCXJ-HJD"
"Q1341617","LKL5-5NZ"
"Q1336939","LKQR-DLF"
"Q1365766","9ZMC-Z3B"
"Q1368799","G35P-H9K"
"Q1502788","9V4J-WW9"
"Q1487159","KG6R-SBZ"
"Q1507923","KP9D-X8R"
"Q1490388","L5ZV-JPX"
"Q1610796","GJFT-DFK"
"Q1619607","LCZ3-KC4"
"Q1647445","G7SZ-PQQ"
"Q1680704","KZMV-C52"
"Q1680205","LB64-TSC"
"Q1666382","LCYM-ZXW"
"Q1700890","9QJQ-LS6"
"Q1699206","KL1S-6C9"
"Q1702576","MRKF-34N"
"Q1730212","KZB5-6NN"
"Q1735690","L4BK-BVY"
"Q1737377","LKFY-LM9"
"Q1837775","L5TP-1LS"
"Q1795731","L8S7-QTF"
"Q1813288","LHDM-1V9"
"Q1811951","LTHY-53S"
"Q1825253","LVZ8-83T"
"Q1810124","LZYK-2LT"
"Q1863354","2MRR-S1J"
"Q1879596","G928-8ZP"
"Q1856989","L6V6-6NF"
"Q1935518","LHZK-PJ2"
"Q1966788","LHGS-N4W"
"Q1998924","G64T-4JT"
"Q2019530","LK8M-FYR"
"Q2060421","LC3D-9KN"
"Q2047363","LCM9-RQ6"
"Q2049527","LRCV-J69"
"Q2079957","LHZV-1N5"
"Q2119625","LWD2-VD2"
"Q2149875","KWZD-SHS"
"Q2216501","LBR8-9NC"
"Q2235267","LBMP-5R9"
"Q2309027","G8WH-4ZP"
"Q2295020","KWC3-7YV"
"Q2311485","LWMW-T5Z"
"Q2332170","L2QD-C4W"
"Q2351869","LY8N-S5X"
"Q2420722","L5CL-GJ7"
"Q2420197","LC23-KC3"
"Q2473116","KZLR-2YX"
"Q2472294","LB77-4R3"
"Q2568906","G866-SNY"
"Q2566174","GNJK-T2N"
"Q2621531","G99N-44D"
"Q2643158","GZ1C-8Q6"
"Q2731624","LYLV-XXN"
"Q2708598","LZN3-FXD"
"Q2756999","KCVN-J7P"
"Q2802188","KCZ6-Q6Y"
"Q2831143","KNQQ-64X"
"Q2861653","KZ3Q-HPJ"
"Q2892167","97S5-KZB"
"Q2883936","GS6Z-K4R"
"Q2927152","L4Z3-NGW"
"Q2915964","MTNB-7HB"
"Q2959795","LZZS-6FS"
"Q3026558","9JQF-974"
"Q3040908","LRDP-PKY"
"Q3042226","LZF9-CM5"
"Q3082941","KJZK-J93"
"Q3074303","L1RM-LPH"
"Q3069915","LR4M-6YS"
"Q3101981","LRBS-DS5"
"Q3066429","MX3V-2K5"
"Q3140507","KVJ1-58B"
"Q3111281","LC8P-YVD"
"Q3162702","LNNR-LTJ"
"Q3133500","LV3P-WRX"
"Q3194080","L5KK-5QP"
"Q3274710","G9VN-BL3"
"Q3272243","L8WT-WJ8"
"Q3296125","9D8K-5LF"
"Q3314030","9H2K-SMP"
"Q3305396","L128-TTS"
"Q3291384","LCJL-H62"
"Q3295174","LHW7-NBS"
"Q3308431","M33X-ZFJ"
"Q3337906","L6HC-KMY"
"Q3430896","LCZR-3JR"
"Q3395941","LZX6-42B"
"Q3404038","MYMQ-H5V"
"Q3496447","LH1R-XP5"
"Q3575190","GWPZ-DY2"
"Q3565651","GZMH-TBB"
"Q3565843","KG8T-L2S"
"Q3568492","L68B-XMD"
"Q3560427","LBS5-N11"
"Q3566990","LYVT-G1W"
"Q3638990","GSFG-RPD"
"Q3638990","LR9X-GF8"
"Q3816061","KCHQ-Z19"
"Q3767723","L116-M76"
"Q3814537","LZ68-D7G"
"Q3856254","GDWT-9QG"
"Q3830297","LCY9-5CZ"
"Q3931581","M95D-8HG"
"Q3990561","LC8V-GGB"
"Q4106921","LYNN-63G"
"Q4204249","K2HK-HDD"
"Q4264150","GHYC-RYB"
"Q4264539","MCCB-8C4"
"Q4317707","LD73-LXP"
"Q4298464","MY8C-CS8"
"Q4356083","L5JM-RSX"
"Q4354581","LZ2T-MFQ"
"Q4420361","LV5K-46C"
"Q4480964","LX93-RNL"
"Q4690605","KGBF-GMW"
"Q4710153","L4F6-CHG"
"Q4683988","L5G3-VCG"
"Q4719936","LZVY-95D"
"Q4722296","MMNB-P48"
"Q4719933","MP2Y-GKF"
"Q4766999","9SB3-TGS"
"Q4769103","L16F-JRN"
"Q4822982","K8K3-B3X"
"Q4815074","LJKS-Q8H"
"Q4800306","LZHL-SLM"
"Q4874556","94LM-7X7"
"Q4910996","G6Q1-423"
"Q4931171","G85F-5RQ"
"Q4911877","KHYT-Q72"
"Q4898816","LDM4-JMT"
"Q4874338","LDQ8-SF4"
"Q4953319","GDH5-HWP"
"Q4993231","GFC3-YX4"
"Q4990958","KJ8F-6N1"
"Q5079699","2WPF-S1H"
"Q5079146","9C1P-C7K"
"Q5079691","G37L-XP4"
"Q5081651","GS5H-X5W"
"Q5086093","K8LC-P6P"
"Q5082557","KJDB-646"
"Q5075948","KNDR-YZB"
"Q5080963","KVLX-JGB"
"Q5077577","KZK3-Z83"
"Q5078836","L4V7-JQS"
"Q5083684","LY87-N73"
"Q5171147","KGCC-X11"
"Q5149539","L6PZ-XS9"
"Q5196766","LX7V-3G8"
"Q5144630","MPL3-C9T"
"Q5214310","GMGX-ZDD"
"Q5233255","KWC4-SNG"
"Q5236186","L6NB-DNR"
"Q5214779","LV8G-3NQ"
"Q5294266","L6TP-KYR"
"Q5293944","LCDM-D9K"
"Q5321885","LTLQ-BK5"
"Q5372868","9926-39K"
"Q5361882","9ZM7-KXX"
"Q5343866","G415-NKD"
"Q5346626","G4W9-13C"
"Q5336307","GDHG-GWS"
"Q5396122","GSZ6-CV1"
"Q5339329","GWFN-DF9"
"Q5349321","GXGT-MRL"
"Q5345556","K8ZR-B3C"
"Q5345563","KC28-DCL"
"Q5373425","KWJ8-853"
"Q5363005","L8Y3-HK3"
"Q5362391","LCX4-92Y"
"Q5345894","LK7F-JXJ"
"Q5345338","LKT6-QQF"
"Q5343694","LRWQ-VLW"
"Q5363428","LYB2-RYS"
"Q5345732","LZBP-V4Z"
"Q88222225","M9QX-ZCK"
"Q5460565","9JVC-VGC"
"Q5415129","KP4W-S5J"
"Q5533114","G7X2-G96"
"Q5481283","GHSV-X5M"
"Q5490147","L6F6-P25"
"Q5497358","LKVC-QZV"
"Q5480848","LZL6-WYZ"
"Q5517309","M3YG-WB5"
"Q5537867","M5WM-SFP"
"Q5542269","2SKQ-HZ3"
"Q5540183","9JJS-VNJ"
"Q5545848","G3K7-LQ7"
"Q5549522","GS5F-JPL"
"Q5585235","KL7L-N7N"
"Q5560969","KL7N-TLN"
"Q5545112","KWJC-FQB"
"Q5557791","L6PN-93Q"
"Q5561600","L73F-2HF"
"Q5549036","LB5K-SLJ"
"Q5539301","LC5S-M5X"
"Q5567101","LV59-G3R"
"Q5561786","LZDP-SPW"
"Q5622690","9HNW-Q3W"
"Q5627420","GQN7-8S8"
"Q5624820","K48M-KWQ"
"Q5645546","MW6V-RJP"
"Q5669475","GS5G-R1D"
"Q5739212","GZQZ-JWV"
"Q5723476","GZT4-32X"
"Q5728697","KT7Y-C7Z"
"Q5687872","KW83-6NQ"
"Q5723114","KZBW-RKY"
"Q5673226","LDVH-P9H"
"Q5725272","LHCF-LVF"
"Q5677336","LJ2J-VTK"
"Q5726646","LKZZ-2R8"
"Q5696886","LVPX-Q3M"
"Q5722146","LY9M-1WL"
"Q5764983","LRSV-23Y"
"Q5891940","9HYC-1HN"
"Q5914136","K85Q-VP5"
"Q5930255","KZLK-CK9"
"Q5891568","L5RF-1RK"
"Q5916519","LCDQ-P82"
"Q6020993","KD3K-RS6"
"Q6084869","KLJ4-JM1"
"Q6076007","L7FY-QJY"
"Q6020922","LBV7-CH8"
"Q6085302","LH1H-7SH"
"Q6134578","9H2R-YNY"
"Q6129643","9KDN-BS6"
"Q6133287","L7NX-8H4"
"Q6138485","LBQS-1G1"
"Q6099875","LHQV-V67"
"Q6135206","LKTW-QQL"
"Q6209810","GCF2-RFD"
"Q6181938","KWJR-TC1"
"Q6186107","LZFY-FHN"
"Q6221855","LZQR-12W"
"Q6240205","9VNQ-KDV"
"Q6240621","K839-RKV"
"Q6254964","KHW9-NVM"
"Q6248733","L6RN-SNC"
"Q6261579","LB4B-5YR"
"Q6233920","LB94-FVF"
"Q6245297","LHTT-W36"
"Q6241400","LVKY-HWB"
"Q6259855","LVT4-TJC"
"Q6248256","LY6K-J6S"
"Q6286395","LBQS-RS2"
"Q6310092","LCJZ-9WF"
"Q6283438","LCPH-8QC"
"Q6283491","LY9M-TTL"
"Q6382384","GZQM-T75"
"Q6380199","K2QN-CWK"
"Q6376225","KLJ5-NLV"
"Q6470435","9VGM-MR2"
"Q6454461","K2D8-ZHJ"
"Q6456262","K2WZ-9GV"
"Q6525523","GMWF-RFK"
"Q6687680","949G-4PB"
"Q6697855","LCTW-S2T"
"Q6708017","KHN6-N4C"
"Q6721414","LBDW-D3V"
"Q6738306","LHGN-B5X"
"Q6734215","MVJF-QWK"
"Q6780412","946S-S77"
"Q6760003","974C-Y62"
"Q6786929","KFPS-J4K"
"Q6759408","KG82-WWN"
"Q6777042","KJ8K-NJJ"
"Q6793235","KT32-Z5N"
"Q6793100","LB38-LBD"
"Q6833912","GQ8V-RCB"
"Q6829036","LBNN-XWX"
"Q6915801","93BJ-7RP"
"Q6915957","KZQQ-LW9"
"Q6969566","9VWB-WRN"
"Q7045445","GZRL-459"
"Q7108033","LXMC-T33"
"Q7108924","LZJ5-97Y"
"Q7103389","M7C1-Y6B"
"Q7172593","GD4M-GPN"
"Q7175534","KCHX-DNF"
"Q7183756","KHHX-8QZ"
"Q7160656","LCMN-LMY"
"Q7159670","LDZM-CSD"
"Q7184022","LTYR-6SD"
"Q7235577","L4JK-ZCC"
"Q7240164","L5VF-3NX"
"Q7326024","9686-HVK"
"Q7279211","GQD8-8QQ"
"Q7287487","L8BC-9N3"
"Q7288344","LYSY-41B"
"Q7326394","LZZ3-M23"
"Q7356235","G829-57F"
"Q7345176","L13X-MNT"
"Q7360945","LH3N-CSP"
"Q7350572","LHH3-DVY"
"Q7345033","LTV7-527"
"Q7383211","LYCY-ZR2"
"Q7372165","MSKR-SW1"
"Q7365425","MYW1-ZXN"
"Q7442530","G8RH-PJ1"
"Q7412766","LHNX-SHV"
"Q7405175","M7K1-D5B"
"Q7509309","GH4K-G2W"
"Q7493551","GHNL-5TC"
"Q7513099","KLCP-4S3"
"Q7587576","K8VV-TSX"
"Q7529511","LCT1-H3X"
"Q7529403","LKD3-TV3"
"Q7558680","LYZD-D3M"
"Q7610074","GSBF-Z8K"
"Q7610017","KC7R-9W3"
"Q7609143","L87C-382"
"Q7608716","LVD8-81D"
"Q7648513","LWXX-62G"
"Q7781055","9HPG-PMG"
"Q7793741","G7XL-TJR"
"Q7791531","GJ6T-W9J"
"Q7796541","KTH8-CQK"
"Q7789823","LZ8L-V1J"
"Q7791647","MTT9-XTR"
"Q7821804","GW1N-99Z"
"Q7822056","KJPD-VVW"
"Q7821848","L2RK-H49"
"Q7934157","G49X-444"
"Q7937775","K8PW-FGB"
"Q7880938","LKZQ-SXB"
"Q7972042","KLFC-7XJ"
"Q7945235","KZN4-79C"
"Q7965149","L783-K21"
"Q8014792","K2JR-4GJ"
"Q8009071","K6WJ-CFD"
"Q8017368","L1ZJ-NTC"
"Q8013673","L218-78L"
"Q8015991","L262-QMQ"
"Q8015930","L7JV-Z7X"
"Q8007180","LKB5-MS5"
"Q7981429","LS8Y-PBY"
"Q8015927","LZJB-21W"
"Q8015058","MRCR-BNP"
"Q8067960","G8XZ-SV4"
"Q8050711","LHPK-9B3"
"Q8188119","99TX-FDS"
"Q9617120","GS5F-SYS"
"Q10383087","9JHP-QVS"
"Q10340796","GS7F-JFD"
"Q10383117","GSTZ-6PW"
"Q10418509","GZRR-GJ3"
"Q10679898","GQMG-CB8"
"Q10944338","G6V7-QVT"
"Q10944224","G6VS-G29"
"Q10944434","G6VS-TWB"
"Q10924350","GQDL-97Y"
"Q10944216","LJVH-HGB"
"Q11217893","GZRR-NK8"
"Q11310723","KLN6-VZN"
"Q11572475","G97M-B4K"
"Q11836565","K2QJ-HDC"
"Q11799507","LX96-ZRH"
"Q11878347","G9XR-VTD"
"Q11878467","LBYC-YSB"
"Q12025420","GNN1-79R"
"Q12023801","GX6S-ZF2"
"Q12250694","LLSL-BZ8"
"Q12346934","949S-DSX"
"Q12760643","GSPF-HB8"
"Q12789295","L6LC-TM7"
"Q13217393","GSPB-RZY"
"Q13565189","LY6J-5TH"
"Q13563229","MLX4-Z8Q"
"Q14626850","MT9S-WJ1"
"Q14923841","GCNQ-PLX"
"Q14944569","GZWL-YB2"
"Q15069875","GD2P-SX1"
"Q15109546","G4XM-9N5"
"Q15441224","L7X5-TKP"
"Q15461788","9J79-KQX"
"Q15457728","G4BX-GJX"
"Q15485266","KF5R-MF8"
"Q15525751","KZPR-5RK"
"Q15834592","GH9C-YFH"
"Q15918029","G822-VHR"
"Q15967708","L5KM-B2J"
"Q15925781","MGNS-KLN"
"Q16003078","9XTY-R95"
"Q15996204","G63T-XH1"
"Q16043616","G9P3-XBV"
"Q15998729","K42J-NFS"
"Q16029331","K6FY-Y6J"
"Q16028027","KHZ1-W8K"
"Q16031069","KPSY-9DZ"
"Q15989953","L85C-8CY"
"Q15999516","LB3W-BD3"
"Q16008644","LT1M-32V"
"Q16011687","LT6P-R1F"
"Q16066171","2S22-F51"
"Q16072451","9DMZ-3LX"
"Q16065936","9KDD-T13"
"Q16104919","G4F9-QRY"
"Q16066877","GDQJ-81S"
"Q16089625","GJ9B-F2C"
"Q16059535","KG6R-S1Z"
"Q16058441","L9CX-5Y2"
"Q16066856","LHDL-Y5G"
"Q16205841","KG6R-2BJ"
"Q16222611","LT1J-HFB"
"Q16258557","K851-9XZ"
"Q16533670","G77W-8SC"
"Q16491579","LDP1-527"
"Q16669191","995L-8W8"
"Q16749773","G3M6-63Y"
"Q16739544","G3QM-J38"
"Q16785362","9ZSW-YK2"
"Q16859160","MJLF-KPS"
"Q16917891","LYK7-Q1K"
"Q16885523","M6VJ-6XT"
"Q17125688","M59H-J6P"
"Q17180626","GMMC-MM1"
"Q17215434","L7LL-MSW"
"Q17194684","M4MH-QFH"
"Q17308900","MRQJ-YVM"
"Q17479619","GSG6-YSH"
"Q17421330","KWZM-CKT"
"Q17514156","G4XY-RQ9"
"Q17627051","GQ9J-VBW"
"Q17600895","K4RX-44T"
"Q18223313","K414-YNP"
"Q18159197","LH14-MCF"
"Q18330944","L74S-JR9"
"Q18343976","LYD8-5D8"
"Q18345411","M9TZ-8HK"
"Q18528899","L5RF-5HR"
"Q18530085","L66S-1W4"
"Q18530986","LHTH-DDN"
"Q18529248","LR45-Z8J"
"Q18528273","LRST-B2N"
"Q18577904","K2QC-C3Z"
"Q18646065","K4T8-5K3"
"Q18689899","KLLS-1PL"
"Q18784020","9421-TM1"
"Q18808829","G63G-L3N"
"Q18756563","L5VC-YVC"
"Q18810781","LFMH-JJH"
"Q18922114","9VKR-DLL"
"Q18922793","GQ9G-1D4"
"Q18875877","GQB3-YLB"
"Q18819584","KV1G-ZH7"
"Q18910712","LCCB-LH5"
"Q18912350","M7G9-R18"
"Q18951229","GMXF-7J3"
"Q18984381","MXT5-MR1"
"Q19282377","LQRR-N82"
"Q19282424","MFGS-ZQT"
"Q19358898","L1RC-Y6F"
"Q19596597","LC7Z-X7K"
"Q19663687","MZ77-S7Z"
"Q19879153","G8NR-3TN"
"Q19838043","L9P3-ZKZ"
"Q19878435","LRLD-R3L"
"Q19962624","KJ8F-65K"
"Q19975344","KCDB-78R"
"Q19997504","2MK3-XNG"
"Q20138246","K1W2-HT7"
"Q20656299","9HV3-SYC"
"Q20685526","G92X-LWM"
"Q20668073","LZBZ-8PT"
"Q20752823","LWB9-Z7N"
"Q20894524","KL6J-7KG"
"Q20902321","LQTJ-6HQ"
"Q20983502","L2C6-MYG"
"Q20989132","LC1Y-BDJ"
"Q20968049","LY29-41F"
"Q21014259","KND9-XCJ"
"Q21009910","LW1M-R9G"
"Q21166830","KCH3-MZZ"
"Q21294765","GZRF-N8T"
"Q21340311","L2CK-SK1"
"Q21388334","GD5C-77C"
"Q21390259","GMK3-M6L"
"Q21394007","KP3Y-SM8"
"Q21394470","LH2Z-GT2"
"Q21388430","LKYP-89V"
"Q21480891","G716-8GZ"
"Q21466238","GH3J-NG1"
"Q21458805","GH92-PYY"
"Q21460603","GH9M-4XZ"
"Q21463242","GHS4-4NF"
"Q21459729","GW1K-331"
"Q21554969","27NM-R1P"
"Q21518399","GSJ6-4ZM"
"Q21516018","KPQ6-F9T"
"Q21513235","LB2P-386"
"Q21548667","LCM4-NHR"
"Q21509726","LJ63-FH8"
"Q21529452","LJR3-YJ9"
"Q21509725","LTRT-F3M"
"Q21505550","LVLQ-F24"
"Q21513817","MYBX-PNT"
"Q21607430","L25W-JQZ"
"Q21607235","L2PX-ZQF"
"Q21588934","L5KS-HKB"
"Q21694678","LCPG-42D"
"Q21674528","LZBZ-DRJ"
"Q21855065","LHND-FR4"
"Q22003242","9ZMP-KXR"
"Q22099716","G6V7-D3W"
"Q22019654","K2LF-JTW"
"Q22908127","947M-5G5"
"Q23022123","GSNM-PK8"
"Q23038400","KC37-C4Y"
"Q23041499","M4HV-WL8"
