"QID","countryLabel"
"Q112167882","United States of America"
"Q114903193","Soviet Union"
"Q511660","Japan"
"Q650867","Japan"
"Q657931","Japan"
"Q877325","Japan"
"Q1087539","Japan"
"Q1150943","Japan"
"Q2304011","Germany"
"Q2443062","Germany"
"Q2452753","Austria"
"Q1530721","Canada"
"Q2667036","Japan"
"Q3273914","France"
"Q3018644","Japan"
"Q3460990","France"
"Q3543894","Japan"
"Q4530492","Russia"
"Q4258728","Malaysia"
"Q4803364","Japan"
"Q5205538","Japan"
"Q5570486","Canada"
"Q6410686","Japan"
"Q7311782","Japan"
"Q9005250","Mexico"
"Q10277663","Brazil"
"Q10846470","Japan"
"Q10852701","Japan"
"Q11304042","Japan"
"Q11311870","Japan"
"Q11314406","Japan"
"Q500088","United States of America"
"Q1416835","United States of America"
"Q2428093","United States of America"
"Q14508383","Japan"
"Q3499746","United States of America"
"Q16833779","Brazil"
"Q17513068","Japan"
"Q6405051","United States of America"
"Q17059363","United Kingdom"
"Q19848809","Japan"
"Q20982998","Japan"
"Q21568916","Spain"
"Q22131511","Japan"
"Q13416804","United States of America"
"Q16962803","United States of America"
"Q28687148","Japan"
"Q28455008","United Kingdom"
"Q28691323","Tokyo"
"Q30936020","Japan"
"Q59533424","Japan"
"Q60463206","Japan"
"Q63645000","People's Republic of China"
"Q64590741","France"
"Q65069491","Japan"
"Q65946206","Japan"
"Q69627734","France"
"Q69266432","United Kingdom"
"Q72284552","Denmark"
"Q72284919","Denmark"
"Q72288210","Denmark"
"Q73026471","German Reich"
"Q73917625","Spain"
"Q81510356","Japan"
"Q97353698","Japan"
"Q105189840","Japan"
"Q105523610","Japan"
"Q107412070","Japan"
"Q107412124","Japan"
"Q108894078","Japan"
"Q108907377","United Kingdom"
"Q110745911","Japan"
"Q111986120","Japan"
"Q101246470","United States of America"
"Q112194894","United Kingdom"
"Q113676690","Japan"
"Q112194891","Republic of Ireland"
"Q749550","Japan"
"Q1204511","German Reich"
"Q301092","United Kingdom"
"Q854654","Japan"
"Q1204821","Japan"
"Q2090847","Japan"
"Q2295795","Japan"
"Q2558164","Japan"
"Q3111302","Japan"
"Q3959671","Italy"
"Q5386523","Japan"
"Q7628201","South Korea"
"Q7578288","United Kingdom"
"Q10394439","Brazil"
"Q9285532","United Kingdom"
"Q10850942","Japan"
"Q11201864","Japan"
"Q11231001","Japan"
"Q11282972","Japan"
"Q11292922","Japan"
"Q11308366","Japan"
"Q11321391","Japan"
"Q11329466","Japan"
"Q11422458","Japan"
"Q11484181","Japan"
"Q1502470","United States of America"
"Q2088225","United States of America"
"Q16144186","Japan"
"Q16218225","Japan"
"Q5205731","United States of America"
"Q16911977","Canada"
"Q18466715","Brazil"
"Q18479034","Brazil"
"Q6514529","United States of America"
"Q6715739","United States of America"
"Q7581321","United States of America"
"Q20102493","Spain"
"Q19604595","Japan"
"Q20045120","Japan"
"Q10303176","United States of America"
"Q13402876","United States of America"
"Q27962045","Japan"
"Q16967643","United States of America"
"Q17035092","United States of America"
"Q48950713","Russia"
"Q60463062","Japan"
"Q60463277","Japan"
"Q64746665","Japan"
"Q65071046","Japan"
"Q69379710","United Kingdom"
"Q71401843","German Reich"
"Q72192295","Austria"
"Q72281685","Switzerland"
"Q73028505","Netherlands"
"Q79356130","Japan"
"Q72988025","Czechoslovakia"
"Q85990990","Malaysia"
"Q99533215","China"
"Q104714920","Spain"
"Q106882168","Japan"
"Q107411860","Japan"
"Q107411970","Japan"
"Q108854948","France"
"Q110202313","Italy"
"Q112194890","France"
"Q111974537","Japan"
"Q111976874","Japan"
"Q114695651","Japan"
"Q105456179","Saudi Arabia"
"Q116148903","South Korea"
"Q108315784","United States of America"
"Q116149665","Vietnam"
"Q19366218","Chile"
"Q19610605","Turkey"
"Q19612542","Turkey"
"Q19937635","Yugoslavia"
"Q20226881","Sweden"
"Q20871413","Belgium"
"Q20723834","France"
"Q19937635","Slovenia"
"Q21964532","Germany"
"Q22037464","Norway"
"Q22116885","Philippines"
"Q22681612","Norway"
"Q26261247","Sweden"
"Q27962009","France"
"Q39275266","Uruguay"
"Q42296932","Germany"
"Q42891549","United Kingdom"
"Q56148954","Israel"
"Q56441365","Belgium"
"Q56441515","Israel"
"Q55729642","South Korea"
"Q55731473","South Korea"
"Q61119402","Germany"
"Q61394056","Estonia"
"Q62665475","Germany"
"Q61515805","United Kingdom"
"Q52113885","United States of America"
"Q64777447","Germany"
"Q64996129","Mexico"
"Q64976161","Finland"
"Q65064081","India"
"Q65589430","Spain"
"Q64975454","Canada"
"Q64976084","Canada"
"Q65589412","France"
"Q55708672","United States of America"
"Q68150977","Malaysia"
"Q69802904","France"
"Q70708502","Netherlands"
"Q73109470","Yugoslavia"
"Q75530678","France"
"Q66140873","United States of America"
"Q66164871","United States of America"
"Q66165211","United States of America"
"Q78524575","Germany"
"Q77832508","Poland"
"Q78344865","Canada"
"Q78156573","United Kingdom"
"Q75143577","United States of America"
"Q78187135","United States of America"
"Q679912","Russia"
"Q306422","Japan"
"Q611346","Japan"
"Q961397","Japan"
"Q1562682","France"
"Q1584469","Japan"
"Q3782532","United Kingdom"
"Q5695967","Spain"
"Q7367039","Portugal"
"Q7425991","Finland"
"Q7488444","People's Republic of China"
"Q7687354","Estonia"
"Q7575276","Japan"
"Q8240129","Spain"
"Q9332264","Hungary"
"Q9332264","Poland"
"Q10813424","Japan"
"Q11868555","Finland"
"Q11884046","Finland"
"Q11901596","Finland"
"Q11902497","Finland"
"Q11287904","Japan"
"Q11311841","Japan"
"Q11317537","Japan"
"Q11320487","Japan"
"Q11336822","Japan"
"Q11573972","Japan"
"Q11609049","Japan"
"Q11658638","Japan"
"Q12306712","Denmark"
"Q11989449","Norway"
"Q11996736","Norway"
"Q1744498","United States of America"
"Q12163625","Ukraine"
"Q12960186","Canada"
"Q3551276","United States of America"
"Q3565810","United States of America"
"Q15941435","Mexico"
"Q16337296","Brazil"
"Q16321327","Italy"
"Q16626725","Russia"
"Q17037236","India"
"Q16725741","South Korea"
"Q17191363","Japan"
"Q18411902","Austria"
"Q18394525","Italy"
"Q17770432","Norway"
"Q7155151","United States of America"
"Q18452123","Denmark"
"Q7247721","United States of America"
"Q7295254","United States of America"
"Q7439006","United States of America"
"Q7447341","United States of America"
"Q7550456","United States of America"
"Q19060256","France"
"Q8049324","United States of America"
"Q23498844","Spain"
"Q11225145","Empire of Japan"
"Q24833615","People's Republic of China"
"Q13102309","Luxembourg"
"Q13103124","Luxembourg"
"Q14409149","United States of America"
"Q15994987","United States of America"
"Q15995539","United States of America"
"Q16242963","United States of America"
"Q16253383","United States of America"
"Q16254330","United States of America"
"Q16744236","United States of America"
"Q16952742","United States of America"
"Q16984664","United States of America"
"Q17021741","United States of America"
"Q17092493","United States of America"
"Q28163337","Canada"
"Q27186707","United States of America"
"Q56299729","Belarus"
"Q60668462","Japan"
"Q61958329","Canada"
"Q64159902","France"
"Q65065069","Japan"
"Q65242563","Japan"
"Q69867921","France"
"Q69381049","United Kingdom"
"Q71110940","Germany"
"Q71110940","German Reich"
"Q72282769","Denmark"
"Q73367818","Italy"
"Q73367818","Kingdom of Italy"
"Q73478996","Spain"
"Q99557876","Japan"
"Q107411934","Japan"
"Q107412056","Japan"
"Q107084920","Norway"
"Q109040320","Senegal"
"Q109655891","France"
"Q113364668","Japan"
"Q114730504","South Korea"
"Q115075015","Japan"
"Q115177120","Japan"
"Q116214693","Japan"
"Q116168259","South Korea"
"Q609069","Germany"
"Q547341","Australia"
"Q618489","Finland"
"Q273419","France"
"Q922787","Germany"
"Q877706","Austria"
"Q1092344","Germany"
"Q1290581","Germany"
"Q1302030","Germany"
"Q1243548","Austria"
"Q841730","France"
"Q1317176","Switzerland"
"Q1521102","Germany"
"Q1584258","Germany"
"Q1652795","Germany"
"Q1718404","Germany"
"Q626185","South Korea"
"Q1865797","Germany"
"Q2103056","Germany"
"Q2111697","Germany"
"Q2134649","Germany"
"Q1414782","India"
"Q2250686","Germany"
"Q2554119","Austria"
"Q1607312","Canada"
"Q2121008","Netherlands"
"Q2892410","Russia"
"Q1906017","United Kingdom"
"Q2748604","Sweden"
"Q1983457","United Kingdom"
"Q2864822","France"
"Q2907241","France"
"Q3077691","France"
"Q3232636","France"
"Q3352944","Sweden"
"Q4258535","Russia"
"Q4396820","Russia"
"Q3784765","United Kingdom"
"Q5347527","Australia"
"Q5191876","Argentina"
"Q4667826","United Kingdom"
"Q5018052","United Kingdom"
"Q186941","United States of America"
"Q192557","United States of America"
"Q369786","United States of America"
"Q806473","United States of America"
"Q953040","United States of America"
"Q954335","United States of America"
"Q1535748","United States of America"
"Q1626895","United States of America"
"Q2702789","United States of America"
"Q2714630","United States of America"
"Q2858710","United States of America"
"Q3046330","United States of America"
"Q3067564","United States of America"
"Q3614072","United States of America"
"Q4639635","United States of America"
"Q4856237","United States of America"
"Q5015198","United States of America"
"Q5244675","United States of America"
"Q4466160","Turkmenistan"
"Q28684132","Japan"
"Q97180755","Japan"
"Q119659972","Japan"
"Q121365826","People's Republic of China"
"Q121365850","People's Republic of China"
"Q122000552","Japan"
"Q122004751","Japan"
"Q122398886","Japan"
"Q122227912","South Korea"
"Q122987436","India"
"Q122811686","South Korea"
"Q122088645","United States of America"
"Q540172","Germany"
"Q731055","Germany"
"Q75533","India"
"Q880187","Germany"
"Q201487","Japan"
"Q1131926","Germany"
"Q1203415","Germany"
"Q771529","German Reich"
"Q465449","Japan"
"Q1415064","Germany"
"Q1172062","Italy"
"Q219135","United Kingdom"
"Q470851","United Kingdom"
"Q1979907","Germany"
"Q2085058","Brazil"
"Q2124068","Germany"
"Q2232074","Belgium"
"Q2398333","Germany"
"Q2767515","Turkey"
"Q1535788","United Kingdom"
"Q2873244","Serbia"
"Q2421646","Netherlands"
"Q2449483","Netherlands"
"Q2754549","Albania"
"Q2796478","Netherlands"
"Q2748878","Denmark"
"Q2982772","France"
"Q3304113","Italy"
"Q2245650","United Kingdom"
"Q3392176","Spain"
"Q3193645","France"
"Q3199339","France"
"Q3232649","France"
"Q3639301","Italy"
"Q3857797","Italy"
"Q3980959","Italy"
"Q3547550","India"
"Q4038074","Russia"
"Q4044503","Russia"
"Q4050212","Belarus"
"Q4161560","Russia"
"Q4220869","Russia"
"Q4241295","Russia"
"Q3512526","Canada"
"Q4340953","Russia"
"Q4351574","Russia"
"Q4430148","Russia"
"Q4444569","Russia"
"Q4789706","Mexico"
"Q4459211","Russia"
"Q4732231","Estonia"
"Q4537458","Russia"
"Q4050212","Japan"
"Q5303438","Brazil"
"Q4340953","Russian Empire"
"Q5434191","Spain"
"Q4459211","Russian Empire"
"Q4646805","Poland"
"Q5613168","Argentina"
"Q6079834","Turkey"
"Q5805499","Spain"
"Q4537458","Ukraine"
"Q6071133","Spain"
"Q5903471","United Kingdom"
"Q6745872","United Kingdom"
"Q167186","United States of America"
"Q191224","United States of America"
"Q434841","United States of America"
"Q465449","United States of America"
"Q467348","United States of America"
"Q650331","United States of America"
"Q651454","United States of America"
"Q891732","United States of America"
"Q1149935","United States of America"
"Q1189512","United States of America"
"Q1283484","United States of America"
"Q1404450","United States of America"
"Q1506909","United States of America"
"Q2669403","United States of America"
"Q2910457","United States of America"
"Q3964860","United States of America"
"Q4043290","United States of America"
"Q4121965","United States of America"
"Q4752661","United States of America"
"Q4853294","United States of America"
"Q4890324","United States of America"
"Q5035471","United States of America"
"Q5419399","United States of America"
"Q5903471","United States of America"
"Q23589","United States of America"
"Q108397810","France"
"Q108267899","Greece"
"Q108267989","Greece"
"Q108849255","Spain"
"Q108872970","Spain"
"Q108257254","Slovakia"
"Q108650627","United Kingdom"
"Q85983145","South Korea"
"Q89114078","Italy"
"Q89028257","Sweden"
"Q89029954","France"
"Q89875591","Spain"
"Q89918344","Spain"
"Q91335524","United Kingdom"
"Q93840193","Germany"
"Q97239664","Netherlands"
"Q97958869","Turkey"
"Q99302364","Germany"
"Q98215498","United Kingdom"
"Q99539463","Hungary"
"Q99539464","Hungary"
"Q99745022","Russia"
"Q100600872","Portugal"
"Q100664323","Germany"
"Q100701032","Germany"
"Q101208785","Germany"
"Q100600680","France"
"Q101246994","Germany"
"Q100699744","Sweden"
"Q101123842","Italy"
"Q101237985","Hungary"
"Q103981741","Russia"
"Q104818569","Italy"
"Q104820520","Hungary"
"Q104888035","Spain"
"Q104735293","Netherlands"
"Q105756815","Greece"
"Q106641397","Germany"
"Q106830869","Belgium"
"Q106641454","Russia"
"Q106833007","Hungary"
"Q106795865","France"
"Q107699963","Belgium"
"Q107711153","Germany"
"Q107167267","Sweden"
"Q107167373","Sweden"
"Q107172699","France"
"Q107212543","France"
"Q107543661","Spain"
"Q107382055","France"
"Q106977818","Canada"
"Q107827720","Italy"
"Q95402668","Republic of Ireland"
"Q108256132","Germany"
"Q107713941","France"
"Q108208051","Italy"
"Q108286656","France"
"Q108668845","Italy"
"Q107600407","United Kingdom"
"Q108784219","Spain"
"Q109144934","Belgium"
"Q108257665","Poland"
"Q108784402","Greece"
"Q108168372","United Kingdom"
"Q109043476","France"
"Q108132272","Slovenia"
"Q108651371","United Kingdom"
"Q110434916","Russia"
"Q111109904","Finland"
"Q111181621","Germany"
"Q111195537","Finland"
"Q110616336","Sweden"
"Q111132676","Spain"
"Q111508186","Finland"
"Q110303134","United Kingdom"
"Q111434819","Spain"
"Q110736659","Norway"
"Q112226413","Germany"
"Q110899491","United Kingdom"
"Q112221779","Hungary"
"Q110906632","Ukraine"
"Q111195537","United Kingdom"
"Q111256646","United Kingdom"
"Q110783691","Latvia"
"Q112604242","Canada"
"Q108286784","Algeria"
"Q107391544","United States of America"
"Q108750502","United States of America"
"Q6084163","Turkey"
"Q5861995","Spain"
"Q5620347","India"
"Q5436183","Canada"
"Q5452059","Canada"
"Q5448886","United Kingdom"
"Q5452059","United Kingdom"
"Q5586251","United Kingdom"
"Q5646566","United Kingdom"
"Q7118104","Germany"
"Q6972668","New Zealand"
"Q7278580","Finland"
"Q7566109","Australia"
"Q7568115","New Zealand"
"Q7829339","Mexico"
"Q5869412","Iran"
"Q7398909","Denmark"
"Q8251861","Spain"
"Q7246757","Slovenia"
"Q8023529","United Kingdom"
"Q9143596","Poland"
"Q10498467","France"
"Q11894293","Finland"
"Q11337482","France"
"Q11339959","Japan"
"Q11616378","Japan"
"Q12809583","Turkey"
"Q12306672","Denmark"
"Q12307599","Denmark"
"Q12001100","Norway"
"Q15064803","Germany"
"Q16678046","France"
"Q16824512","India"
"Q5579097","United States of America"
"Q6102137","United States of America"
"Q16852264","United Kingdom"
"Q16955312","United Kingdom"
"Q16925094","Republic of China"
"Q6748456","United States of America"
"Q7411497","United States of America"
"Q7575869","United States of America"
"Q7621235","United States of America"
"Q7732284","United States of America"
"Q7996335","United States of America"
"Q11331812","Empire of Japan"
"Q14408853","United States of America"
"Q16253226","United States of America"
"Q16938614","United States of America"
"Q16960149","United States of America"
"Q16991978","United States of America"
"Q7641839","Finland"
"Q7634417","Spain"
"Q7491105","Canada"
"Q8563183","Denmark"
"Q7982153","United Kingdom"
"Q9384514","British Hong Kong"
"Q9400597","British Hong Kong"
"Q9347389","Poland"
"Q10476475","Sweden"
"Q11854643","Finland"
"Q11855697","Finland"
"Q11899294","Finland"
"Q11902589","Finland"
"Q11339955","Japan"
"Q12810678","Turkey"
"Q12811996","Turkey"
"Q11785238","Poland"
"Q13026113","Thailand"
"Q11963364","Norway"
"Q12005220","Norway"
"Q12217024","Tunisia"
"Q15052192","Germany"
"Q13424767","Ukraine"
"Q15834771","Germany"
"Q15850488","Germany"
"Q15227703","France"
"Q15242433","France"
"Q16295348","Germany"
"Q16162037","Russia"
"Q15730367","South Korea"
"Q16520948","Hungary"
"Q16679546","France"
"Q16875596","India"
"Q17109548","Canada"
"Q17112076","Canada"
"Q18290982","Sweden"
"Q7262893","United States of America"
"Q7460421","United States of America"
"Q19610389","Turkey"
"Q19612499","Turkey"
"Q19060427","France"
"Q7920227","United States of America"
"Q16419434","Iceland"
"Q11882864","United States of America"
"Q13104534","Luxembourg"
"Q14920514","United States of America"
"Q16240771","United States of America"
"Q16974661","United States of America"
"Q17335612","United States of America"
"Q17991752","United States of America"
"Q18207711","United States of America"
"Q78626362","Germany"
"Q78791889","France"
"Q78988734","Netherlands"
"Q78989274","France"
"Q79395269","France"
"Q78803052","Norway"
"Q80175359","Germany"
"Q80452333","Romania"
"Q80547643","Israel"
"Q80661712","France"
"Q87772288","Canada"
"Q89029986","France"
"Q89097823","France"
"Q89099168","United Kingdom"
"Q90132797","Netherlands"
"Q90924212","France"
"Q96111646","Belgium"
"Q96396459","Switzerland"
"Q85738663","United States of America"
"Q97986881","Germany"
"Q98216375","Germany"
"Q98457033","Finland"
"Q98056205","France"
"Q98750257","Netherlands"
"Q98269871","Norway"
"Q100707106","Germany"
"Q100430919","France"
"Q101231717","Belgium"
"Q101238787","Belgium"
"Q101231650","Italy"
"Q101246795","France"
"Q101246997","France"
"Q100598260","United Kingdom"
"Q100706048","United Kingdom"
"Q101584164","France"
"Q101464197","Czech Republic"
"Q101247006","United Kingdom"
"Q101247007","United Kingdom"
"Q103819812","South Korea"
"Q92999549","United States of America"
"Q104486723","France"
"Q105485134","Australia"
"Q105494145","Australia"
"Q105699228","Germany"
"Q106641478","Germany"
"Q100561951","Iceland"
"Q106249908","Philippines"
"Q106782605","Poland"
"Q106027564","United States of America"
"Q190473","Germany"
"Q426078","Spain"
"Q439623","Italy"
"Q947354","People's Republic of China"
"Q1092475","Germany"
"Q1201753","Germany"
"Q1235358","Germany"
"Q1286620","Germany"
"Q1124579","Switzerland"
"Q1402681","Germany"
"Q1633138","Germany"
"Q1651169","Germany"
"Q1324070","Spain"
"Q1667114","Germany"
"Q1941221","Germany"
"Q1375196","France"
"Q1754271","Russia"
"Q1544011","France"
"Q1971240","Russia"
"Q2358689","Germany"
"Q2568272","Germany"
"Q1136277","United Kingdom"
"Q1982923","India"
"Q2664286","Russia"
"Q2450848","France"
"Q2861044","France"
"Q2450848","United Kingdom"
"Q2893565","United Kingdom"
"Q79202","United States of America"
"Q126399","United States of America"
"Q168383","United States of America"
"Q456294","United States of America"
"Q567633","United States of America"
"Q622848","United States of America"
"Q645478","United States of America"
"Q649649","United States of America"
"Q775450","United States of America"
"Q822314","United States of America"
"Q951774","United States of America"
"Q1136177","United States of America"
"Q1402636","United States of America"
"Q1418400","United States of America"
"Q1475707","United States of America"
"Q1544011","United States of America"
"Q1585284","United States of America"
"Q2012913","United States of America"
"Q2059104","United States of America"
"Q2079232","United States of America"
"Q2644123","United States of America"
"Q2865801","United States of America"
"Q1538543","Soviet Union"
"Q19610828","Turkey"
"Q19611031","Turkey"
"Q19611337","Turkey"
"Q19611892","Turkey"
"Q19544196","France"
"Q19903792","Sweden"
"Q22138459","Germany"
"Q19751757","Indonesia"
"Q20649206","United States of America"
"Q28252","United States of America"
"Q113074327","Portugal"
"Q112749789","Spain"
"Q112642038","Sweden"
"Q112642060","Sweden"
"Q112679362","Sweden"
"Q112627258","Greece"
"Q112821258","Sweden"
"Q112895791","Sweden"
"Q113027342","Sweden"
"Q113152427","Sweden"
"Q113793974","Finland"
"Q112751239","Malaysia"
"Q113934971","Germany"
"Q113996194","Germany"
"Q113458931","Sweden"
"Q112761550","Norway"
"Q114148516","Finland"
"Q112745642","United Kingdom"
"Q112750210","United Kingdom"
"Q112868058","Norway"
"Q114248935","Germany"
"Q113646351","Sweden"
"Q113682043","Sweden"
"Q114016343","Denmark"
"Q112916316","Latvia"
"Q115301322","Finland"
"Q114774792","Sweden"
"Q114630446","Canada"
"Q115869815","Australia"
"Q115869971","Spain"
"Q116222353","Finland"
"Q115172922","Canada"
"Q115937333","France"
"Q116288303","Sweden"
"Q116056738","Latvia"
"Q113579007","Republic of Ireland"
"Q114630446","United States of America"
"Q115971068","United States of America"
"Q116188737","United States of America"
"Q266276","Germany"
"Q279622","Austria"
"Q422105","Germany"
"Q474369","Austria"
"Q648034","Germany"
"Q676498","Germany"
"Q821795","Germany"
"Q827462","Germany"
"Q878698","Germany"
"Q886871","Germany"
"Q574625","Russia"
"Q191158","Denmark"
"Q1028496","Germany"
"Q497661","India"
"Q1303835","Germany"
"Q1415344","Germany"
"Q1369459","Austria"
"Q1415728","Austria"
"Q1445805","Australia"
"Q1595525","Germany"
"Q1620386","Germany"
"Q200976","United Kingdom"
"Q1667339","Germany"
"Q1752263","Germany"
"Q1785723","Germany"
"Q1871246","Austria"
"Q2148492","Germany"
"Q2155901","Germany"
"Q2248741","Germany"
"Q2386906","Germany"
"Q1891982","Denmark"
"Q219400","United States of America"
"Q466459","United States of America"
"Q678058","United States of America"
"Q798768","United States of America"
"Q917869","United States of America"
"Q1033465","United States of America"
"Q1148711","United States of America"
"Q1188938","United States of America"
"Q1370297","United States of America"
"Q1748725","United States of America"
"Q2098061","United States of America"
"Q2293215","United States of America"
"Q111364562","Finland"
"Q111508191","Finland"
"Q111369969","Russia"
"Q112607467","Germany"
"Q112627420","Turkey"
"Q112745539","Belgium"
"Q112748195","Germany"
"Q112111902","France"
"Q112769638","Germany"
"Q112166726","Greece"
"Q113116894","Germany"
"Q112750169","France"
"Q112842985","Sweden"
"Q112847471","Sweden"
"Q113000926","Sweden"
"Q113019165","Sweden"
"Q113019168","Sweden"
"Q113111040","France"
"Q113148432","Sweden"
"Q113181779","Sweden"
"Q113075911","Denmark"
"Q113240995","Sweden"
"Q113463801","Sweden"
"Q113532777","Sweden"
"Q113571791","Sweden"
"Q114162947","Finland"
"Q113587053","Sweden"
"Q113633610","Sweden"
"Q113699912","Netherlands"
"Q113901150","Sweden"
"Q113870766","Czech Republic"
"Q114358138","Denmark"
"Q114810722","Hungary"
"Q114797454","Sweden"
"Q115497882","Finland"
"Q115122333","Norway"
"Q115147429","Norway"
"Q115655583","Norway"
"Q115788595","Ukraine"
"Q115788577","Lithuania"
"Q115096393","Iceland"
"Q111914984","United States of America"
"Q141336","Russia"
"Q618491","Finland"
"Q821837","Germany"
"Q821063","Nazi Germany"
"Q1088324","Germany"
"Q1092353","Germany"
"Q1152927","Belgium"
"Q1254356","Germany"
"Q1384900","Germany"
"Q1419390","Germany"
