"QID","itemLabel","itemDescription","article"
"Q72912","Brooklyn Academy of Music","theater and concert hall in Brooklyn, New York City, United States","https://en.wikipedia.org/wiki/Brooklyn_Academy_of_Music"
"Q490687","MBC Game","television station","https://en.wikipedia.org/wiki/MBC_Game"
"Q486132","Meiningen State Theatre","theater in Meiningen, Thuringia, Germany","https://en.wikipedia.org/wiki/Meiningen_Court_Theatre"
"Q579415","Falcon Entertainment","American pornographic company","https://en.wikipedia.org/wiki/Falcon_Entertainment"
"Q495107","Star Life","television channel","https://en.wikipedia.org/wiki/Fox_Life"
"Q922787","Broadview TV","film production company","https://en.wikipedia.org/wiki/Broadview_TV"
"Q495396","Cines","Italian film production company founded in 1906, formerly known as Alberini & Santoni","https://en.wikipedia.org/wiki/Cines"
"Q512858","Spyglass Media Group","American film production company founded in 1998","https://en.wikipedia.org/wiki/Spyglass_Media_Group"
"Q79202","New Line Cinema","American film studio","https://en.wikipedia.org/wiki/New_Line_Cinema"
"Q806473","Bang Bros","American pornographic film studio","https://en.wikipedia.org/wiki/Bang_Bros"
"Q705453","Hamburg State Opera","opera building in Hamburg, Germany","https://en.wikipedia.org/wiki/Hamburg_State_Opera"
"Q813988","Bee Train","Japanese animation studio","https://en.wikipedia.org/wiki/Bee_Train_Production"
"Q1203415","Deulig Film","film production company","https://en.wikipedia.org/wiki/Deulig_Film"
"Q600939","Deutsches Nationaltheater und Staatskapelle Weimar","theatre and orchestra in Weimar, Germany","https://en.wikipedia.org/wiki/Deutsches_Nationaltheater_und_Staatskapelle_Weimar"
"Q1321379","Lakeshore Village Entertainment","film production company","https://en.wikipedia.org/wiki/Lakeshore_Entertainment"
"Q1323459","Tatsunoko Production","Japanese animation studio","https://en.wikipedia.org/wiki/Tatsunoko_Production"
"Q577589","Dovzhenko Film Studios","Ukrainian film company","https://en.wikipedia.org/wiki/Dovzhenko_Film_Studios"
"Q127990","Australian National University","national research university in Canberra, Australian Capital Territory","https://en.wikipedia.org/wiki/Australian_National_University"
"Q465893","American Nurses Association","professional organization for nurses in the United States","https://en.wikipedia.org/wiki/American_Nurses_Association"
"Q724622","Rankin/Bass Animated Entertainment","company","https://en.wikipedia.org/wiki/Rankin/Bass_Animated_Entertainment"
"Q805950","Bamberger Marionettentheater","puppet theatre in Bamberg, Germany","https://en.wikipedia.org/wiki/Bamberger_Marionettentheater"
"Q581127","Endla Theatre","theatre in Pärnu, Estonia","https://en.wikipedia.org/wiki/Endla_Theatre"
"Q497155","Touchstone Pictures","American film production company","https://en.wikipedia.org/wiki/Touchstone_Pictures"
"Q1337744","GPO Film Unit","film production company","https://en.wikipedia.org/wiki/GPO_Film_Unit"
"Q127552","Pixar","American computer animation studio","https://en.wikipedia.org/wiki/Pixar"
"Q1326194","Théâtre du Rideau Vert","theater","https://en.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_du_Rideau_Vert"
"Q1291166","Croatian National Theatre in Split","theatre in Split, Croatia","https://en.wikipedia.org/wiki/Croatian_National_Theatre,_Split"
"Q1172062","Titanus","Italian film production company, founded in 1904 by Gustavo Lombardo","https://en.wikipedia.org/wiki/Titanus"
"Q582182","National Theatre of Northern Greece","Greek national theater organization","https://en.wikipedia.org/wiki/National_Theatre_of_Northern_Greece"
"Q507806","Studio Deen","Japanese animation studio","https://en.wikipedia.org/wiki/Studio_Deen"
"Q714655","National Theatre of Miskolc","Hungarian theater","https://en.wikipedia.org/wiki/National_Theatre_of_Miskolc"
"Q500088","DreamWorks Animation","American animation studio","https://en.wikipedia.org/wiki/DreamWorks_Animation"
"Q597564","National Theatre of Opera and Ballet of Albania","opera house in Tirana, Albania","https://en.wikipedia.org/wiki/National_Theatre_of_Opera_and_Ballet_of_Albania"
"Q705557","Art Gallery of South Australia","arts museum in the Australian state of South Australia","https://en.wikipedia.org/wiki/Art_Gallery_of_South_Australia"
"Q960422","Xebec","Japanese animation studio","https://en.wikipedia.org/wiki/Xebec_(studio)"
"Q936394","Pornhub","pornographic video sharing website owned by MindGeek","https://en.wikipedia.org/wiki/Pornhub"
"Q1324070","El Deseo","Spanish film production company","https://en.wikipedia.org/wiki/El_Deseo"
"Q963204","The Kushner-Locke Company","film production company","https://en.wikipedia.org/wiki/The_Kushner-Locke_Company"
"Q465832","Biograph Company","defunct American film studio","https://en.wikipedia.org/wiki/Biograph_Company"
"Q721246","Folkteatern","theatre in Gothenborg, Sweden","https://en.wikipedia.org/wiki/Folkteatern"
"Q781404","Australian Film Television and Radio School","screen and broadcast school","https://en.wikipedia.org/wiki/Australian_Film,_Television_and_Radio_School"
"Q511660","Daume","Japanese animation studio","https://en.wikipedia.org/wiki/Daume"
"Q489899","OGN","television channel","https://en.wikipedia.org/wiki/OGN_(TV_channel)"
"Q520445","Fremantle","British multinational television production and distribution company","https://en.wikipedia.org/wiki/Fremantle_(company)"
"Q961505","Groupe Serdy","company","https://en.wikipedia.org/wiki/Groupe_Serdy"
"Q574625","NTV","Russian television channel","https://en.wikipedia.org/wiki/NTV_(Russia)"
"Q511731","Imagine Entertainment","American film and television production company","https://en.wikipedia.org/wiki/Imagine_Entertainment"
"Q953040","Searchlight Pictures","American film distribution company","https://en.wikipedia.org/wiki/Searchlight_Pictures"
"Q954335","Insex","BDSM pornographic film production company","https://en.wikipedia.org/wiki/Insex"
"Q1320197","Teatre Nacional de Catalunya","theater","https://en.wikipedia.org/wiki/Teatre_Nacional_de_Catalunya"
"Q575024","Edison's Black Maria","film production company","https://en.wikipedia.org/wiki/Edison%27s_Black_Maria"
"Q732697","National Theatre","Czech theatre institution in Prague","https://en.wikipedia.org/wiki/National_Theatre_(Prague)"
"Q971446","BBC Film","film production company","https://en.wikipedia.org/wiki/BBC_Film"
"Q1330442","Freiburger Puppenbühne","theater","https://en.wikipedia.org/wiki/Freiburger_Puppenb%C3%BChne"
"Q966852","Adelaide Productions","animation studio","https://en.wikipedia.org/wiki/Adelaide_Productions"
"Q1188938","Silver Pictures","American film production company","https://en.wikipedia.org/wiki/Silver_Pictures"
"Q774682","Republic Pictures","American movie and serial production company","https://en.wikipedia.org/wiki/Republic_Pictures"
"Q1201058","Det Norske Teatret","Norwegian theater","https://en.wikipedia.org/wiki/Det_Norske_Teatret"
"Q519800","Hanna-Barbera Studios Europe","British animation studio","https://en.wikipedia.org/wiki/Hanna-Barbera_Studios_Europe"
"Q1186567","Alexandrinsky Theatre","theater in Saint Petersburg, Russia","https://en.wikipedia.org/wiki/Alexandrinsky_Theatre"
"Q723759","Terrence Higgins Trust","British charity that campaigns on and provides services relating to HIV and sexual health","https://en.wikipedia.org/wiki/Terrence_Higgins_Trust"
"Q470851","Amicus Productions","film production company","https://en.wikipedia.org/wiki/Amicus_Productions"
"Q126399","Warner Bros.","American entertainment company","https://en.wikipedia.org/wiki/Warner_Bros."
"Q576561","Kaunas State Puppet Theatre","theater","https://en.wikipedia.org/wiki/Kaunas_State_Puppet_Theatre"
"Q917960","Bristol Old Vic","theatre in Bristol, England","https://en.wikipedia.org/wiki/Bristol_Old_Vic"
"Q925249","Fox Entertainment Group","American entertainment company","https://en.wikipedia.org/wiki/Fox_Entertainment_Group"
"Q497661","Bombay Talkies","Movie studio","https://en.wikipedia.org/wiki/Bombay_Talkies"
"Q670804","Komödie im Bayerischen Hof","theatre in Munich, Germany","https://en.wikipedia.org/wiki/Kom%C3%B6die_im_Bayerischen_Hof"
"Q679912","Soyuzmultfilm","Soviet animation studio","https://en.wikipedia.org/wiki/Soyuzmultfilm"
"Q921556","Blur Studio","company","https://en.wikipedia.org/wiki/Blur_Studio"
"Q682748","Platinum Dunes","film production company in Los Angeles, California, USA","https://en.wikipedia.org/wiki/Platinum_Dunes"
"Q1202628","JVCKenwood Victor Entertainment","Japanese entertainment company","https://en.wikipedia.org/wiki/JVCKenwood_Victor_Entertainment"
"Q1186793","Den Nationale Scene","theatre in Bergen, Norway","https://en.wikipedia.org/wiki/Den_Nationale_Scene"
"Q812893","Beacon Pictures","film production company","https://en.wikipedia.org/wiki/Beacon_Pictures"
"Q1320443","Sony Pictures Classics","film division of Sony Pictures Entertainment","https://en.wikipedia.org/wiki/Sony_Pictures_Classics"
"Q925642","Bally Sports Wisconsin","television station","https://en.wikipedia.org/wiki/Bally_Sports_Wisconsin"
"Q968871","Dailes Theatre","theatre in Riga, Latvia","https://en.wikipedia.org/wiki/Dailes_Theatre"
"Q492725","Eyeworks","Dutch film production company","https://en.wikipedia.org/wiki/Eyeworks"
"Q116439","Lubin Manufacturing Company","American silent film production company","https://en.wikipedia.org/wiki/Lubin_Manufacturing_Company"
"Q676498","CCC Film","film production company","https://en.wikipedia.org/wiki/CCC_Film"
"Q581085","Theatre NO99","theatre in Tallinn, Estonia","https://en.wikipedia.org/wiki/Theatre_NO99"
"Q1352949","Sadler's Wells Theatre","theatre in London, England","https://en.wikipedia.org/wiki/Sadler%27s_Wells_Theatre"
"Q782783","Australian War Memorial","national war memorial and museum in Canberra, Australia","https://en.wikipedia.org/wiki/Australian_War_Memorial"
"Q466459","Regency Enterprises","American entertainment company","https://en.wikipedia.org/wiki/Regency_Enterprises"
"Q797084","BUF Compagnie","company","https://en.wikipedia.org/wiki/BUF_Compagnie"
"Q1189512","Illumination","American animation film production company","https://en.wikipedia.org/wiki/Illumination_(company)"
"Q166419","Fox Broadcasting Company","American commercial broadcast television network","https://en.wikipedia.org/wiki/Fox_Broadcasting_Company"
"Q583997","Estonian National Opera","national opera company of Estonia","https://en.wikipedia.org/wiki/Estonian_National_Opera"
"Q157118","National Geographic","American television channel","https://en.wikipedia.org/wiki/National_Geographic_(American_TV_channel)"
"Q158478","Lenfilm","Russian production company and film studio","https://en.wikipedia.org/wiki/Lenfilm"
"Q735670","Production I.G","Japanese animation studio","https://en.wikipedia.org/wiki/Production_I.G"
"Q746676","Industrial Light & Magic","American visual effects studio","https://en.wikipedia.org/wiki/Industrial_Light_%26_Magic"
"Q1204511","Deutsche Zeichentrickfilme G.m.b.H","propagandic film company","https://en.wikipedia.org/wiki/Deutsche_Zeichentrickfilme_GmbH"
"Q158948","Mitteldeutscher Rundfunk","public broadcaster for the federal states of Thuringia, Saxony and Saxony-Anhalt","https://en.wikipedia.org/wiki/Mitteldeutscher_Rundfunk"
"Q760558","Augsburger Puppenkiste","German puppet theater company in Augsburg","https://en.wikipedia.org/wiki/Augsburger_Puppenkiste"
"Q1264738","RedTube","pornographic video sharing site","https://en.wikipedia.org/wiki/RedTube"
"Q1283484","Savoy Pictures","American independent motion picture company in operation from 1992 to 1997","https://en.wikipedia.org/wiki/Savoy_Pictures"
"Q1226101","Radiodiffusion-Télévision Française","business","https://en.wikipedia.org/wiki/Radiodiffusion-T%C3%A9l%C3%A9vision_Fran%C3%A7aise"
"Q540172","Prana Film","film production company","https://en.wikipedia.org/wiki/Prana_Film"
"Q951774","The Ladd Company","film production company","https://en.wikipedia.org/wiki/The_Ladd_Company"
"Q527751","Mascot Pictures","company","https://en.wikipedia.org/wiki/Mascot_Pictures"
"Q141336","Mosfilm","Soviet and Russian film company","https://en.wikipedia.org/wiki/Mosfilm"
"Q557821","Alexander Duchnovič Theatre","theatre in Prešov, Slovakia","https://en.wikipedia.org/wiki/Alexander_Dukhnovych_Theater"
"Q950479","Genco","Japanese animation studio","https://en.wikipedia.org/wiki/Genco"
"Q141712","Maharashtra Film Company","film production company","https://en.wikipedia.org/wiki/Maharashtra_Film_Company"
"Q739627","Pennsylvania State University","public university in Pennsylvania, United States","https://en.wikipedia.org/wiki/Pennsylvania_State_University"
"Q541569","Orange Sky Golden Harvest","Hong Kong film production company","https://en.wikipedia.org/wiki/Orange_Sky_Golden_Harvest"
"Q947930","OLM, Inc.","Japanese animation and film studio","https://en.wikipedia.org/wiki/OLM,_Inc."
"Q1224808","Digital Playground","American pornographic film studio","https://en.wikipedia.org/wiki/Digital_Playground"
"Q564960","Constantin Film","German film production company","https://en.wikipedia.org/wiki/Constantin_Film"
"Q1250181","Educational Pictures","film production company","https://en.wikipedia.org/wiki/Educational_Pictures"
"Q557471","Ashi Productions","Japanese animation studio","https://en.wikipedia.org/wiki/Ashi_Productions"
"Q749550","White Fox","Japanese animation studio","https://en.wikipedia.org/wiki/White_Fox"
"Q752294","Théâtre des Folies-Dramatiques","former theatre company in Paris, France","https://en.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_des_Folies-Dramatiques"
"Q159846","Paramount Pictures","American film studio, subsidiary of Paramount Global","https://en.wikipedia.org/wiki/Paramount_Pictures"
"Q1207592","Dharma Productions","Film production company in India","https://en.wikipedia.org/wiki/Dharma_Productions"
"Q1277048","Atelje 212","theatre in Belgrade, Serbia","https://en.wikipedia.org/wiki/Atelje_212"
"Q552309","Badisches Staatstheater Karlsruhe","theatre and opera company in Karlsruhe, Germany","https://en.wikipedia.org/wiki/Badisches_Staatstheater_Karlsruhe"
"Q1203676","Khara","Japanese animation studio","https://en.wikipedia.org/wiki/Khara_(studio)"
"Q540122","Selznick International Pictures","defunct American film studio","https://en.wikipedia.org/wiki/Selznick_International_Pictures"
"Q947354","Shaw Brothers Studio","film production company in Hong Kong","https://en.wikipedia.org/wiki/Shaw_Brothers_Studio"
"Q1281891","Evil Angel","American pornographic film studio","https://en.wikipedia.org/wiki/Evil_Angel_(studio)"
"Q548166","Anime International Company","Japanese animation studio","https://en.wikipedia.org/wiki/Anime_International_Company"
"Q547341","Animal Logic","Australian animation and visual effects studio","https://en.wikipedia.org/wiki/Animal_Logic"
"Q1210241","ITN","British-based news and content provider","https://en.wikipedia.org/wiki/ITN"
"Q1204077","ImageMovers","American independent film production company founded by director Robert Zemeckis","https://en.wikipedia.org/wiki/ImageMovers"
"Q557387","Original Film","film production company","https://en.wikipedia.org/wiki/Original_Film"
"Q1258701","Kalan Müzik","Turkish record label","https://en.wikipedia.org/wiki/Kalan_M%C3%BCzik"
"Q770328","Aniplex","Japanese anime production company","https://en.wikipedia.org/wiki/Aniplex"
"Q541667","Thames Television","former ITV network franchise","https://en.wikipedia.org/wiki/Thames_Television"
"Q544150","Vanguard Animation","US film production studio founded 2002","https://en.wikipedia.org/wiki/Vanguard_Animation"
"Q567633","Anonymous Content","U.S. film and television production, and a talent management company","https://en.wikipedia.org/wiki/Anonymous_Content"
"Q160236","Metropolitan Museum of Art","art museum in New York City, United States","https://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art"
"Q1265201","Transatlantic Pictures","film production company","https://en.wikipedia.org/wiki/Transatlantic_Pictures"
"Q557290","Slovenian Youth Theatre","theatre in Ljubljana, Slovenia","https://en.wikipedia.org/wiki/Slovenian_Youth_Theatre"
"Q1204821","Shaft","Japanese animation studio","https://en.wikipedia.org/wiki/Shaft_(company)"
"Q1254356","Roxy Film","film production company","https://en.wikipedia.org/wiki/Roxy_Film"
"Q571291","Mossovet Theatre","theatre in Moscow, Russia","https://en.wikipedia.org/wiki/Mossovet_Theatre"
"Q769416","Australian Museum","museum in Sydney, Australia","https://en.wikipedia.org/wiki/Australian_Museum"
"Q844822","Shueisha","Japanese publishing company","https://en.wikipedia.org/wiki/Shueisha"
"Q1085796","Dogma","Japanese adult video company","https://en.wikipedia.org/wiki/Dogma_(studio)"
"Q860543","Teatret Vårt",NA,"https://en.wikipedia.org/wiki/Teatret_V%C3%A5rt"
"Q840812","Moscow Art Theatre","Russian theatre company","https://en.wikipedia.org/wiki/Moscow_Art_Theatre"
"Q1402681","Rat Pack Filmproduktion","film production company","https://en.wikipedia.org/wiki/Rat_Pack_Filmproduktion"
"Q1102919","ClubJenna",NA,"https://en.wikipedia.org/wiki/ClubJenna"
"Q624886","FilmDistrict","former American independent production company and film distributor owned by Comcast","https://en.wikipedia.org/wiki/FilmDistrict"
"Q1416835","Sony Pictures Animation","American computer-animated film production company","https://en.wikipedia.org/wiki/Sony_Pictures_Animation"
"Q629244","Vivid Entertainment","American adult entertainment studio","https://en.wikipedia.org/wiki/Vivid_Entertainment"
"Q186941","Columbia Pictures","American film production and distribution studio","https://en.wikipedia.org/wiki/Columbia_Pictures"
"Q1415728","Wiener Kunstfilm","film production company","https://en.wikipedia.org/wiki/Wiener_Kunstfilm"
"Q858937","Castel Film Romania","film production company","https://en.wikipedia.org/wiki/Castel_Film_Romania"
"Q1412215","Figurentheater Wilde & Vogel","german puppet theatre company in Leipzig","https://en.wikipedia.org/wiki/Figurentheater_Wilde_%26_Vogel"
"Q834471","Bones","Japanese animation studio","https://en.wikipedia.org/wiki/Bones_(studio)"
"Q1414376","Filmation","former American production company","https://en.wikipedia.org/wiki/Filmation"
"Q1087539","Satelight","Japanese animation studio","https://en.wikipedia.org/wiki/Satelight"
"Q626323","Cinema Service","film production company","https://en.wikipedia.org/wiki/Cinema_Service"
"Q1395147","Familie Flöz","privately owned off theatre company based in Berlin, Germany","https://en.wikipedia.org/wiki/Familie_Fl%C3%B6z"
"Q626185","SHOWBOX Co., Ltd.","South Korean film company","https://en.wikipedia.org/wiki/Showbox"
"Q854654","Bandai Namco Filmworks","Japanese animation studio","https://en.wikipedia.org/wiki/Bandai_Namco_Filmworks"
"Q858803","Cartoon Network Studios","American animation studio","https://en.wikipedia.org/wiki/Cartoon_Network_Studios"
"Q1111182","Color Climax Corporation","Danish pornography producer","https://en.wikipedia.org/wiki/Color_Climax_Corporation"
"Q1414782","Filmistan","film production company","https://en.wikipedia.org/wiki/Filmistan"
"Q634019","20th Century Animation","American animation studio","https://en.wikipedia.org/wiki/20th_Century_Animation"
"Q1074681","Hartswood Films",NA,"https://en.wikipedia.org/wiki/Hartswood_Films"
"Q1093997","Red Light District Video","company","https://en.wikipedia.org/wiki/Red_Light_District_Video"
"Q1395665","Kammertheater München",NA,"https://en.wikipedia.org/wiki/Kammertheater_M%C3%BCnchen"
"Q188740","Museum of Modern Art","art museum in Manhattan in New York City, New York, United States","https://en.wikipedia.org/wiki/Museum_of_Modern_Art"
"Q190804","Rijksmuseum","museum in Amsterdam, Netherlands","https://en.wikipedia.org/wiki/Rijksmuseum"
"Q1415344","Filmverlag der Autoren",NA,"https://en.wikipedia.org/wiki/Filmverlag_der_Autoren"
"Q624656","Bel Ami","company","https://en.wikipedia.org/wiki/BelAmi"
"Q1111024","MTV Films","film production group","https://en.wikipedia.org/wiki/MTV_Films"
"Q851184","Endemol","creator, producer and distributor of multiplatform entertainment content","https://en.wikipedia.org/wiki/Endemol"
"Q626178","Fox Kids","Fox Broadcasting Company's American children's programming division","https://en.wikipedia.org/wiki/Fox_Kids"
"Q1092344","Cine-Allianz","film production company","https://en.wikipedia.org/wiki/Cine-Allianz"
"Q624597","Sean Cody","American gay pornography studio","https://en.wikipedia.org/wiki/Sean_Cody"
"Q861764","CBS News","news division of the American television and radio service CBS","https://en.wikipedia.org/wiki/CBS_News"
"Q640786","Troma Entertainment","American independent film production and distribution company","https://en.wikipedia.org/wiki/Troma_Entertainment"
"Q1403298","Magic Bus","Japanese animation studio","https://en.wikipedia.org/wiki/Magic_Bus_(studio)"
"Q844652","Desilu Productions","defunct American production company","https://en.wikipedia.org/wiki/Desilu"
"Q1065717","J.C.Staff","Japanese animation studio","https://en.wikipedia.org/wiki/J.C.Staff"
"Q1402399","TamS","theatre in Munich, Germany","https://en.wikipedia.org/wiki/TamS"
"Q1394190","Thalias Kompagnons","German puppet theatre in Nuremberg","https://en.wikipedia.org/wiki/Thalias_Kompagnons"
"Q842482","Wētā FX","New Zealand-based VFX company","https://en.wikipedia.org/wiki/W%C4%93t%C4%81_FX"
"Q842863","YouPorn","free pornographic video sharing website","https://en.wikipedia.org/wiki/YouPorn"
"Q1404450","Rogue","American film production company","https://en.wikipedia.org/wiki/Rogue_Pictures"
"Q1416899","Fine Line Features","film production company","https://en.wikipedia.org/wiki/Fine_Line_Features"
"Q1402636","Picturehouse","company","https://en.wikipedia.org/wiki/Picturehouse_(company)"
"Q632323","Summit Entertainment","American film production and distribution company","https://en.wikipedia.org/wiki/Summit_Entertainment"
"Q187286","Komödie Winterhuder Fährhaus","Theater in Hamburg","https://en.wikipedia.org/wiki/Kom%C3%B6die_Winterhuder_F%C3%A4hrhaus"
"Q17059363","Tell-Tale Productions","UK animation and live-action studio, established by Will Brenton and Iain Lauchlan in 1994","https://en.wikipedia.org/wiki/Wish_Films"
"Q17089516","Team Downey","American production company","https://en.wikipedia.org/wiki/Team_Downey"
"Q1640333","Kampnagel","German culture center in Hamburg","https://en.wikipedia.org/wiki/Kampnagel"
"Q463665","American Cancer Society","health organization seeking to cure and treat cancer","https://en.wikipedia.org/wiki/American_Cancer_Society"
"Q17084064","Proline Film",NA,"https://en.wikipedia.org/wiki/Proline_Film"
"Q17055855","NHNZ Moving Images",NA,"https://en.wikipedia.org/wiki/NHNZ_Worldwide_Footage_Sales"
"Q17078869","Honkytonk Films",NA,"https://en.wikipedia.org/wiki/Honkytonk_Films"
"Q17082833","Phantom Films","Indian production company","https://en.wikipedia.org/wiki/Phantom_Studios"
"Q1649224","TNK","Japanese animation studio","https://en.wikipedia.org/wiki/TNK_(company)"
"Q17081246","Alchemy","film production company","https://en.wikipedia.org/wiki/Alchemy_(company)"
"Q7971204","Warwick Trading Company",NA,"https://en.wikipedia.org/wiki/Warwick_Trading_Company"
"Q7861817","Riksteatern Crea",NA,"https://en.wikipedia.org/wiki/Tyst_Teater"
"Q17068723","Lehren","Indian film production company","https://en.wikipedia.org/wiki/Lehren"
"Q1628172","Théâtre du Nouveau Monde","theatre company and theater in Montreal, Quebec, Canada","https://en.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_du_Nouveau_Monde"
"Q7951631","WKE","American company","https://en.wikipedia.org/wiki/WKEntertainment"
"Q7893895","Universal Content Productions","television production company","https://en.wikipedia.org/wiki/Universal_Content_Productions"
"Q1636748","Amblimation","British animation production subsidiary of Amblin Entertainment","https://en.wikipedia.org/wiki/Amblimation"
"Q4811072","Astor Pictures","American film company","https://en.wikipedia.org/wiki/Astor_Pictures"
"Q7863699","UAA Films","Australian production and finance company","https://en.wikipedia.org/wiki/UAA_Films"
"Q7914838","Vanguard Films","US film production company, 1943 to 1951","https://en.wikipedia.org/wiki/Vanguard_Films"
"Q17089496","Fall On Your Sword","film scoring act","https://en.wikipedia.org/wiki/Fall_On_Your_Sword"
"Q7924439","ViacomCBS International","subsidiary of ViacomCBS responsible for trademarks and copyrights","https://en.wikipedia.org/wiki/ViacomCBS_International"
"Q17076389","Yellow Flowers","Indian film production company","https://en.wikipedia.org/wiki/Yellow_Flowers"
"Q17091614","New Renaissance Pictures","American media production and distribution company","https://en.wikipedia.org/wiki/New_Renaissance_Pictures"
"Q17091909","Nomura Babcock & Brown","Japanese investment firm","https://en.wikipedia.org/wiki/Nomura_Babcock_%26_Brown"
"Q7921410","Verity Films","British documentary film production company","https://en.wikipedia.org/wiki/Verity_Films"
"Q1654103","IMAX Corporation","Canadian theater company","https://en.wikipedia.org/wiki/IMAX_Corporation"
"Q7924442","Viacom Productions","television production arm of Viacom International","https://en.wikipedia.org/wiki/Viacom_Productions"
"Q4823371","Austral-American Productions","Australian film production company","https://en.wikipedia.org/wiki/Austral-American_Productions"
"Q1638321","Severin Films","American film production and distribution company","https://en.wikipedia.org/wiki/Severin_Films"
"Q7933914","Virgin Films","defunct film production company","https://en.wikipedia.org/wiki/Virgin_Films"
"Q7969872","Warp Films","side project of Warp Records","https://en.wikipedia.org/wiki/Warp_Films"
"Q7936114","VisionArt","visual effects company","https://en.wikipedia.org/wiki/VisionArt"
"Q7857815","Twenty Twenty","British production company","https://en.wikipedia.org/wiki/Twenty_Twenty_Television"
"Q7972220","Washington Square Players","theatre company in New York City","https://en.wikipedia.org/wiki/Washington_Square_Players"
"Q17037404","Revolution Films","British film production company","https://en.wikipedia.org/wiki/Revolution_Films"
