"production_companies","production_countries"
"United Artists","Germany"
"Miramax Films","United Kingdom"
"Impact Pictures","Canada"
"Chenault Productions","United States of America"
"Sony Pictures Classics","Canada"
"TriStar Pictures","France"
"The Zanuck Company","United States of America"
"Ponti-De Laurentiis Cinematografica","Italy"
"Egg Pictures","France"
"Zweites Deutsches Fernsehen (ZDF)","Germany"
"Tiger Moth Productions","United Kingdom"
"Walt Disney","United Kingdom"
"Warner Bros.","United Kingdom"
"Cineriz","France"
"Téléfilm Canada","Canada"
"Boje Buck Produktion","Germany"
"Fine Line Features","Ecuador"
"Mad Circus Films","Canada"
"Pathé Consortium Cinéma","France"
"Fine Line Features","United States of America"
"Happy End Filmproductions AB","Finland"
"Les Films du Losange","Austria"
"Bazmark Films","United States of America"
"Fox Searchlight Pictures","India"
"Herzog","Austria"
"Erma-Film","Austria"
"Ernst Marischka & Co","Germany"
"Jersey Films","United States of America"
"GF Studios AB","Sweden"
"CB Films","France"
"Gus Productions","United States of America"
"Cowboy Films","United Kingdom"
"This Is That Productions","United States of America"
"Douek Productions","Germany"
"Truth and Soul Pictures Inc","United States of America"
"Tatira-Hiller Productions","United States of America"
"Avenue Pictures Productions","United States of America"
"IFC Films","India"
"Tesela, P.C.","Spain"
"Samuel Goldwyn","United States of America"
"Miramax Films","Canada"
"Svensk Filmindustri (SF)","Sweden"
"Gramercy Pictures","United States of America"
"Live Entertainment","United States of America"
"Discovery Docs","United States of America"
"Virtual Studios","United States of America"
"Newmarket Films","United States of America"
"Guber/Peters Company","United States of America"
"Live Entertainment","France"
"Bookshop Productions","United Kingdom"
"BBC Films","United Kingdom"
"Kaleidoscope Entertainment","Canada"
"Arte","Germany"
"Avalon Studios","New Zealand"
"Aardman Animations","United Kingdom"
"Filmakademie Baden-Württemberg","China"
"Angoa-Agicoa","France"
"Shamley Productions","United States of America"
"Destination Films","United States of America"
"Carlyle Production","United States of America"
"Instituto Mexicano de Cinematografía","Mexico"
"British International Pictures (BIP)","United Kingdom"
"IFC Films","United States of America"
"Wildwood Enterprises","United States of America"
"Daiei Motion Picture Company","Japan"
"Regency Enterprises","Germany"
"Istituto Luce","Italy"
"CTB Film Company","Finland"
"Frenetic Films","Switzerland"
"Diana Productions, Inc.","United States of America"
"Village Roadshow Pictures","Germany"
"DreamWorks SKG","Japan"
"Alfred J. Hitchcock Productions","United States of America"
"Columbia TriStar Nordisk Film Distributors A/S","Denmark"
"Warner Brothers/Seven Arts","United States of America"
"The Rank Organisation","United States of America"
"Tig Productions","United Kingdom"
"HandMade Films","United Kingdom"
"Mikona Productions GmbH & Co. KG","United States of America"
"Silent Hill DCP Inc.","Canada"
"Mosfilm","Russia"
"O2 Filmes","Brazil"
"Amblin Entertainment","United States of America"
"SLM Production Group","United States of America"
"DreamWorks SKG","Canada"
"Degeto Film","Austria"
"Icon Productions","United States of America"
"Cruise/Wagner Productions","Japan"
"Epoch Film Co.","United States of America"
"Tig Productions","United States of America"
"Metro-Goldwyn-Mayer (MGM)","United Kingdom"
"Goldcrest Films International","United Kingdom"
"Luis Buñuel","France"
"Geffen Pictures","United States of America"
"Blue Parrot Productions","United States of America"
"Loew's Incorporated","United States of America"
"Fox Film Corporation","United States of America"
"Film Holland","Belgium"
"Miramax Films","France"
"Miramax Films","Italy"
"Ciby 2000","United States of America"
"Kemp Company","United States of America"
"Artisan Entertainment","United States of America"
"Goskino Productions","Russia"
"United Artists","Jamaica"
"Square Enix","Japan"
"Discina","France"
"Paris Films Productions","France"
"Plan B Entertainment","United States of America"
"Jofa Atelier","Germany"
"Channel Four Films","France"
"Jadran Film","Germany"
"Eon Productions","Bahamas"
"Westdeutscher Rundfunk (WDR)","Germany"
"Janus Films","France"
"MACT Productions","Brazil"
"Eon Productions","United Kingdom"
"Révillon Frères","Canada"
"Egg Films","South Korea"
"1492 Pictures","United Kingdom"
"1492 Pictures","Germany"
"Patalex IV Productions Limited","United Kingdom"
"Olympia-Film GmbH","Germany"
"Havoc","United States of America"
"Giorgos Papalios Productions","Greece"
"Compagnie Cinématographique de France","France"
"Dreamland Productions","United States of America"
"Sovkino","Russia"
"United Artists","France"
"Joseph M. Schenck Productions","United States of America"
"Charles K. Feldman Group","United States of America"
"Proscenium Films","United Kingdom"
"Tango Film","Germany"
"Eon Productions","France"
"Fountainbridge Films","United States of America"
"Channel Four Films","United Kingdom"
"New South Wales Film & Television Office","Australia"
"Nordisk Film","Sweden"
"Prokino Filmproduktion","Germany"
"Spyglass Entertainment","United States of America"
"Studio Babelsberg","Germany"
"Maurice McEndree Productions","United States of America"
"A Band Apart","United States of America"
"Les Films Pomereu","Italy"
"Les Films Christian Fechner","France"
"Python (Monty) Pictures Limited","United Kingdom"
"Renaissance Pictures","United States of America"
"Renaissance Films","United States of America"
"Twentieth Century Fox Film Corporation","Czech Republic"
"Winkler Films","United States of America"
"Société Lumière","France"
"Star-Film","France"
"La Nouvelle Edition Francaise","France"
"Réalisation d'Art Cinématographique","France"
"Cady","France"
"Tobis Filmkunst","Germany"
"Société générale des films","France"
"Columbia Pictures","India"
"Pandora Cinema","France"
"Prometheus","Germany"
"Weed Road Pictures","United States of America"
"Filmové Studio Barrandov","Czech Republic"
"AVCO Embassy Pictures","United States of America"
"Revolution Studios","Canada"
"De Laurentiis Entertainment Group (DEG)","United States of America"
"Atlas Entertainment","United States of America"
"Rhombus Ringfilm","Germany"
"Lunaris Film","Germany"
"Ultramar Films","Mexico"
"Silver Screen Partners III","United States of America"
"Seven Arts Productions","United Kingdom"
"Cocinor","France"
"Turner Network Television","United States of America"
"Propaganda Films","United States of America"
"Camelot Productions","United States of America"
"The Criterion Collection","India"
"Bazmark Films","Australia"
"Morpheus","United States of America"
"Universal International Pictures (UI)","United States of America"
"Nero-Film AG","Germany"
"Rizzoli Film","Italy"
"Sino Filmes","Brazil"
"Universal Pictures","Canada"
"Universal TV","United States of America"
"Dino De Laurentiis Company","United States of America"
"Monsoon Pictures","United States of America"
"Block 2 Pictures","China"
"Paradis Films","Germany"
"Twentieth Century Fox Film Corporation","Canada"
"Paramount Pictures","United Kingdom"
"Columbia Pictures Corporation","Spain"
"Metro-Goldwyn-Mayer (MGM)","Canada"
"Cineguild","United Kingdom"
"Metro-Goldwyn-Mayer (MGM)","Germany"
"Paramount Pictures","Ireland"
"Jerry Bruckheimer Films","United Kingdom"
"Lorimar Film Entertainment","United Kingdom"
"Walt Disney","United States of America"
"Keith Barish Productions","United States of America"
"Movieworld Productions","South Africa"
"New Amsterdam Entertainment","Canada"
"Deutsche Filmvertriebs GmbH","Germany"
"Bergen Film","United Kingdom"
"David Brown Productions","United States of America"
"Frankfurter Filmwerkstatt GmbH","Germany"
"Smokescreen Inc.","United States of America"
"Fine Line Features","Canada"
"Solar Productions","United States of America"
"Samuel Goldwyn Company, The","United States of America"
"Dor Film Produktionsgesellschaft GmbH","Austria"
"Hachette Première","France"
"Westdeutsche Universum-Film GmbH","Germany"
"UFA Filmproduktion GmbH","Germany"
"Mosfilm","Soviet Union"
"Satyajit Ray Productions","India"
"Epic Productions","India"
"Norma Productions","United States of America"
"Charles Chaplin Productions","United States of America"
"Procirep","France"
"Projektions-AG Union","Germany"
"Nero Films","Germany"
"Metro-Goldwyn-Mayer (MGM)","Italy"
"Independent Film","Netherlands"
"Loew's","United States of America"
"Irish Dreamtime","United States of America"
"Mehboob Productions","India"
"Permut Presentations","United States of America"
"Aniplex","Japan"
"JVC Entertainment","Germany"
"Laurel Group","Italy"
"New Amsterdam Entertainment","United States of America"
"Casey Productions","Italy"
"DEFA","Germany"
"Société Nationale Pathé Cinéma","France"
"Constantin Film Produktion","Italy"
"Gainsborough Pictures","United Kingdom"
"Silver Pictures","United States of America"
"Horizon Pictures (II)","United Kingdom"
"Compass International Pictures","United States of America"
"Blue Sky Studios","United States of America"
"Paramount Pictures","China"
"Brooksfilms Ltd.","United States of America"
"Buster Keaton Productions","United States of America"
"Bryna Productions","United States of America"
"Artists Entertainment Complex","United States of America"
"Hecht-Hill-Lancaster Productions","United States of America"
"Murnau-Flaherty Productions","United States of America"
"Eskwad","France"
"Persky-Bright Productions","United States of America"
"American Film Institute (AFI)","United States of America"
"Internacional Films Espagnol","Switzerland"
"British Lion Films","United Kingdom"
"Metro Pictures","United States of America"
"Palomar Pictures","United Kingdom"
"ABC Pictures","United Kingdom"
"Asymmetrical Productions","France"
"M&M Productions","Denmark"
"Bayerischer Rundfunk","Austria"
"Titanus","France"
"Canal Plus","France"
"Imar Film Co., Ltd.","China"
"Bridge Films","United Kingdom"
"Ciby 2000","Romania"
"South Pacific Pictures","New Zealand"
"20th Century Fox","United States of America"
"London Film Productions","United Kingdom"
"Nouvelles Éditions de Film","France"
"Hochschule für Fernsehen und Film (HFF)","Mongolia"
"BIM Distribuzione","Ireland"
"Mirage Enterprises","France"
"IFMD Ltd.","New Zealand"
"Reposado Producciones","Spain"
"Playfilm Productions","United States of America"
"Walt Disney Television","United States of America"
"Paramount Vantage","France"
"BIM Distribuzione","France"
"Babelsberg Film GmbH","Germany"
"Columbia Pictures","United Kingdom"
"Ingenious Film Partners","United Kingdom"
"Focus Features","United States of America"
"Millennium Films","United States of America"
"Fin Août Productions","France"
"Cineclick Asia","South Korea"
"Allegro-Film","Austria"
"Fox Searchlight Pictures","United Kingdom"
"Mandate Pictures","United States of America"
"3L Filmproduktion GmbH","Germany"
"Walden Media","United States of America"
"Tiger Aspect Productions","United Kingdom"
"GFP Medienfonds","Germany"
"The Weinstein Company","United States of America"
"Studio Hamburg Filmproduktion","Germany"
"Peninsula Films","France"
"Kim Ki-Duk Film","South Korea"
"Agi Orsi Productions","United States of America"
"CARTEL S.A.","Spain"
"Lolafilms","Spain"
"Amiguetes Entertainment S.L.","Spain"
"Bayerischer Rundfunk (BR)","Germany"
"Anglia Television","United Kingdom"
"Miramax Films","Mexico"
"Rankin/Bass Productions","United States of America"
"Alicia Produce S L","Spain"
"Bedford Falls Productions","Germany"
"Kanzaman S.A.","United Kingdom"
"Alta Films S.A.","United Kingdom"
"Fortissimo Films","United States of America"
"Sputnik Oy","Finland"
"Les Films 13","France"
"Iced Tea Productions","United States of America"
"Bésame Mucho Pictures","Mexico"
"HBO/Cinemax Documentary","United States of America"
"Telepool","Mongolia"
"Rai 2","Soviet Union"
"Scottish Screen","Belgium"
"TF1 Films Production","Czech Republic"
"University of Southern California","United States of America"
"Sogetel","Spain"
"ContentFilm","Netherlands"
"Estudios Picasso","Mexico"
"Vertigo Entertainment","Hong Kong"
"IFC Productions","United States of America"
"Davis-Films","Spain"
"40 Acres & A Mule Filmworks","United States of America"
"Alliance Atlantis Communications","United States of America"
"Producciones Anhelo","Mexico"
"Intz.com","China"
"Fox 2000 Pictures","Malaysia"
"Nu Image Entertainment","Bulgaria"
"Flying Moon Filmproduktion GmbH","Germany"
"Film Foundry Partners","United Kingdom"
"East Wing Holdings","Japan"
"DC Comics","United States of America"
"DSM III","United States of America"
"Daniel Scharf Productions","Australia"
"Island World","United States of America"
"Theatre Of Material","United States of America"
"Pantera Film","Germany"
"Revolution Studios","United States of America"
"TV Productions LTD And Beijing Hop Culture Co","China"
"Michael London Productions","Czech Republic"
"Paramount Pictures","Costa Rica"
"New Line Cinema","Hong Kong"
"Film 1","Germany"
"Haut et Court","Canada"
"BBC Films","Germany"
"Sony Pictures Classics","United States of America"
"CinéCinéma","France"
"Kalkaska Productions","United States of America"
"Why Not Productions","France"
"Island Pictures","Germany"
"Mate Producciones S.A.","France"
"Art Theatre Guild","Japan"
"Maran Film","Canada"
"Cinekip","Greece"
"Argos Films","France"
"DNA Films","Spain"
"Fono Film","Germany"
"Impact Pictures","France"
"Impact Pictures","United Kingdom"
"Transatlantic Pictures","United States of America"
"Beacon Communications","United States of America"
"Isle of Man Film Commission","United Kingdom"
"Sidney Kimmel Entertainment","Germany"
"MTM Cineteve","Germany"
"Ingenious Film Partners","United States of America"
"Emotion Pictures","United States of America"
"Pariah Entertainment Group","Canada"
"Fox Searchlight Pictures","Germany"
"Canal+","France"
"HBO Films","United States of America"
"Pint O'Bitter Productions","United Kingdom"
"Scala Productions","United Kingdom"
"Hofmann & Voges Entertainment","Germany"
"Film Council","Canada"
"Twentieth Century Fox Film Corporation","France"
"Diaphana Films","France"
"Sony Pictures","United States of America"
"Blackfriars Bridge Films","Germany"
"Double Feature Films","Germany"
"Birnbaum / Barber Productions","United States of America"
"Senator Film Produktion","Brazil"
"Amblin Entertainment","Mexico"
"Rialto Film Preben-Philipsen","France"
"Wild Bunch","France"
"Rialto Film Preben-Philipsen","Germany"
"Toho Film (Eiga) Co. Ltd.","Japan"
"International Production Company","United States of America"
"Road Brothers","United Kingdom"
"Empire Pictures","United States of America"
"Lions Gate Films","Germany"
"Fugitive Features","United Kingdom"
"Nu Image / Millennium Films","United States of America"
"Anglo Enterprises","France"
"Nina Saxon Film Design","United States of America"
"Tiger Film","Italy"
"Marvel Studios","United States of America"
"Casey Silver Productions","China"
"Asymmetrical Productions","Poland"
"Egoli Tossell Film AG","Canada"
"Fanes Film","Germany"
"Geffen Pictures","Ireland"
"British Broadcasting Corporation (BBC)","United Kingdom"
"PolyGram Filmed Entertainment","Canada"
"BIM Distribuzione","United States of America"
"Paul Hough Entertainment","United States of America"
"Lawrence Bender Productions","United States of America"
"Christal Films","Canada"
"Argyll Film Partners","United Kingdom"
"Ellepi Films","France"
"Centre National de la Cinématographie","Germany"
"Alexandra Films","Italy"
"King Brothers Productions","United States of America"
"Arte","Austria"
"Prokino Filmproduktion","France"
"Planet Productions","United States of America"
"Kingsgate Films","Germany"
"Desperate Pictures","France"
"filmkombinat Nordost GmbH & Co. KG","Czech Republic"
"Embassy Films","United States of America"
"Fox 2000 Pictures","United States of America"
"Les Films de la Pléiade","France"
"Cannon Group","United States of America"
"StudioCanal","France"
"Saturn Films","France"
"Lions Gate","United States of America"
"ITC Entertainment","United States of America"
"Les Productions Bagheera","France"
"Lazennec Tout Court","France"
"P & L","United States of America"
"Fountainbridge Films","United Kingdom"
"3L Filmproduktion GmbH","France"
"Cherokee Productions","United States of America"
"Mirage Enterprises","United States of America"
"Red Lion","United Kingdom"
"Mutual Film Company","United States of America"
"Warner Bros. Television","United States of America"
"Diorama Films","United States of America"
"Procinex","Spain"
"Angel Baby Entertainment","United States of America"
"Les Films Concordia","France"
"P.A.C.","France"
"Ghost House Pictures","New Zealand"
"Columbia Pictures","none"
"Film Afrika","Belgium"
"Maverik Motion Pictures","United Kingdom"
"Full Moon Entertainment","United States of America"
"Stanley Kramer Productions","United States of America"
"Studio Canal","France"
"JVC Entertainment","United States of America"
"American Zoetrope","France"
"Phalanx-Jaelem","United States of America"
"Future Film Group","Spain"
"France 2 Cinéma","Canada"
"USA Films","Germany"
"Depth of Field","United States of America"
"Les Films Alain Sarde","Spain"
"Künstlerische Arbeitsgruppe ''Babelsberg''","East Germany"
"Figment Films","United Kingdom"
"Friends Production GmbH & Co. Medienproduktions KG","Germany"
"Coop 99","Germany"
"Egoli Tossell Film","Germany"
"Neue Constantin Film","Germany"
"Bizibi","France"
"Bel Air Entertainment","United States of America"
"Pallas Film","Belgium"
"Galatée Films","Bosnia and Herzegovina"
"Rainforest Films","United States of America"
"Cruise/Wagner Productions","France"
"Pan Européenne Production","France"
"Wheel Productions","United States of America"
"Carlyle Productions","United States of America"
"Wheel Productions","United Kingdom"
"Oting SA","none"
"Revere Pictures","United States of America"
"Alliance Atlantis Communications","Canada"
"New Line Cinema","Canada"
"Brooksfilms","United Kingdom"
"Epsilon Motion Pictures","Argentina"
"Tapson Steel Films Productions","United Kingdom"
"Dark Horse Entertainment","United States of America"
"Telepool","Germany"
"Kopelson Entertainment","United States of America"
"Ultra Films","United States of America"
"Ghost House Pictures","Japan"
"Ghost House Pictures","United States of America"
"Ingenious Film Partners","Germany"
"Bradahood Productions","Australia"
"Studio Babelsberg","China"
"Wega Film","Austria"
"Plan B Entertainment","France"
"Centre National de la Cinématographie","France"
"Banque Populaire Images 6","France"
"Pathé Renn Productions","France"
"Werner Herzog Filmproduktion","Germany"
"CB Films","Italy"
"Wüste Filmproduktion","Germany"
"Julian Blaustein Productions","United States of America"
"Saga Film","Belgium"
"Celluloid Dreams","Japan"
"Sony Pictures Classics","France"
"Mantarraya Producciones","Germany"
"Filmstiftung Nordrhein-Westfalen","Germany"
"Cinema Service","South Korea"
"Tessalit Productions","Algeria"
"Remstar Productions","United States of America"
"Granada Film Productions","France"
"Casey Silver Productions","United States of America"
"Centropolis Entertainment","Germany"
"Cinéa","France"
"Miramax Films","Germany"
"Les Productions du Champ Poirier","France"
"Kinokompaniya CTB","Russia"
"Neo Productions","United States of America"
"ITC Productions","United Kingdom"
"Lorimar Productions","United States of America"
"Almira Films","France"
"Seven Arts Pictures","United Kingdom"
"Initial Entertainment Group (IEG)","United States of America"
"Paramount Pictures","Canada"
"MFA Filmdistribution","United States of America"
"Hollywood Pictures","United States of America"
"Next Wednesday Productions","United States of America"
"Metro-Goldwyn-Mayer (MGM)","France"
"Little Bear Production","France"
"Balboa Entertainment","Denmark"
"Caravan Pictures","United States of America"
"TF1 Films Productions","France"
"Franchise Pictures","Canada"
"Medusa Produzione","Italy"
"Palace Pictures","United States of America"
"Catalyst Films International","Canada"
"ABC Pictures","United States of America"
"Lone Star Corporation","United States of America"
"Killing Pictures","Germany"
"HAL Films","United Kingdom"
"Working Title Films","United Kingdom"
"Cutting Edge Entertainment","United States of America"
"Whyte House Productions","United States of America"
"Versatile Film","Germany"
"First Floor Features","Netherlands"
"Hall & Wallis Productions","United States of America"
"City Heat Productions","United States of America"
"Phoenician Entertainment","United Kingdom"
"Nikkatsu","Japan"
"Winters Hollywood Entertainment Holdings Corporation","United States of America"
"De Laurentiis Entertainment Group","United States of America"
"Constan Films","Spain"
"Japan America Picture Company","Japan"
"Fidélité Productions","France"
"The Rank Organisation","United Kingdom"
"Canal Plus","Japan"
"Les Films de la Suane","China"
"Columbia Pictures","Japan"
"Original Film","United States of America"
"Goldkind Filmproduktion","Germany"
"Cheyenne Enterprises","United States of America"
"Home Box Office (HBO)","France"
"George Pal Productions","United States of America"
"Solaris Film","Germany"
"Golden Harvest Pictures","Hong Kong"
"Harbor Productions","Hong Kong"
"Five Mile River Films","United States of America"
"USA Films","United States of America"
"ApolloProScreen","Bulgaria"
"Wildstreet Pictures","United States of America"
"Extraordinary Films","United States of America"
"Centropolis Entertainment","France"
"Arts Council of England","France"
"Kojo Pictures","Australia"
"Royal Film","Germany"
"Belstar Productions","France"
"Eureka Pictures","United States of America"
"Filmkameratene A/S","Norway"
"Sony","Germany"
"Sweetwater","Sweden"
"Four Square Productions","United States of America"
"Monaco Film","Germany"
"Living Camera","Germany"
"Crown International Pictures","United States of America"
"Filmes","France"
"Filmakademie Baden-Württemberg","Germany"
"Sidney Kimmel Entertainment","United Kingdom"
"Arte","Belgium"
"Hairy Productions","United States of America"
"DEFA-Studio für Spielfilme","East Germany"
"Lisa-Film","Germany"
"Marketing Film","Germany"
"Donners' Company","United States of America"
"De Laurentiis Entertainment Group (DEG)","United Kingdom"
"Michael Obel Productions","United States of America"
"Zeitsprung Entertainment","none"
"Deutsche Film (DEFA)","Germany"
"DEFA","Cuba"
"Deutsche Film (DEFA)","East Germany"
"VEB DEFA-Studio für Spielfilme","East Germany"
"DEFA-Studio für Spielfilme","Germany"
"G.M.T. Productions","France"
"Viva Pictures","Germany"
"Det Danske Filminstitut","Denmark"
"Sacis","Germany"
"Filmazure","France"
"New Line Cinema","United Kingdom"
"Bazelevs Production","Russia"
"Paramount Pictures","Iceland"
"Laurence Mark Productions","Germany"
"Mandate Pictures","Canada"
"CCC Filmkunst GmbH","Germany"
"Kasander Film Company","Netherlands"
"David LaChapelle Studios","United States of America"
"Allianz","Germany"
"Warner Bros. Family Entertainment","United States of America"
"Windrose Film- und Fernsehproduktion","Germany"
"Rudolf Steiner TV/Film Produktion & Consult GmbH","Germany"
"Oliane Productions","France"
"Boll Kino Beteiligungs GmbH & Co. KG","Canada"
"Distant Horizons","South Africa"
"Rodini Films","South Africa"
"Barzo Productions","Canada"
"Media 8 Entertainment","United States of America"
"Channel One Russia","Russia"
"Five Mile River Films","Czech Republic"
"Colonia Media","Germany"
"Europa Corp","France"
"Apipoulaï","France"
"Norddeutscher Rundfunk (NDR)","Germany"
"Fuzzi Film Produktion","Germany"
"Shanghai Film Studios","China"
"Revelations Entertainment","United States of America"
"Shoreline Entertainment","Spain"
"Fine Line Features","France"
"Nimar Studios","Germany"
"AJYM-Films","France"
"Euro International Films","France"
"Gémaci","France"
"Bela Productions","France"
"Les Films 21","France"
"Koala Films","none"
"Antenne-2","France"
"Euro Images","Belgium"
"Koala Films","France"
"CAPAC","France"
"Local Films","France"
"Midega Film","Spain"
"Vicco Films","France"
"Constantin Film","Belgium"
"Beta Film","Germany"
"Intercontinental","France"
"RAI Radiotelevisione Italiana","Italy"
"Patricia Films","France"
"George Stevens Productions","United States of America"
"Félix Films","France"
"Belga Films","Belgium"
"Madeleine Films","France"
"SR20Films","Canada"
"Paris Prociné","France"
"Myung Film Company","South Korea"
"Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)","Spain"
"Keystone Entertainment","Canada"
"Walt Disney","Czech Republic"
"Société Nouvelle Pathé Cinéma","France"
"Gaumont International","France"
"Sogepaq","Spain"
"Act III Communications","United States of America"
"Filmways Pictures","United Kingdom"
"Bandai Visual Company (JAPAN)","Japan"
"Seven Arts Productions","Italy"
"Prisma Films","Germany"
"Nouvelles Éditions de Films (NEF)","France"
"Appian Way","United States of America"
"Columbia Pictures","Ireland"
"Euro International Film (EIA)","United Kingdom"
