"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"12-1940","tt0031227","Detouring America",1939,"Approved","7 min","Animation, Comedy, Short","Tex Avery","Jack Miller","Mel Blanc, Robert C. Bruce","This travelogue across America is filled with sight gags such as the 'Old Reliable' geyser spitting into a spittoon, cliff-dwelling Indians who walk horizontally up and down the faces of cliffs to get to their homes, and a Texas cow","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzMzZDYzOTgtMzc2Ni00MmE0LTg2NWQtYThmNzY5ZDYyZDM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg","N/A","6.0","290","tt0031227","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"12-1940","tt0031484","Information Please: Series 1, No. 1",1939,"N/A","10 min","Short, Drama","N/A","N/A","Clifton Fadiman, Rex Stout, John Kieran","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.2","32","tt0031484","movie",NA,NA,NA,NA,"5.2/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"14-1942","tt0033424","Boogie Woogie Bugle Boy of Company 'B'",1941,"Approved","7 min","Animation, Short, Comedy","Walter Lantz","Ben Hardaway, Lowell Elliot","Danny Webb","Hot Breath Harry is a hot trumpeter at a jazz club. He finds himself drafted into the Army, where he's assigned to be the bugler of an African-American company. But everyone hates the bugler, because he blows reveille at the ungodly","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjZlOWRhZmYtMDc2MS00Zjc0LThkZDQtMjg5YzA2YTMzNTY4XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","5.9","183","tt0033424","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"14-1942","tt0033730","How War Came",1941,"N/A","8 min","Animation, Short","Paul Fennell","Paul Fennell","Raymond Gram Swing, Mel Blanc","An animated documentary describing the involvement of Japan, Italy and Nazi Germany as the aggressors and instigators of World War II.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNGZmMTI3ZjEtNTgxYy00NjM4LWE0MjYtNTljZjVjZDYyMDE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg","N/A","5.8","93","tt0033730","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"14-1942","tt0034098","Rhythm in the Ranks",1941,"Approved","10 min","Animation, Short, Comedy","George Pal","N/A","Billy Bletcher","A toy soldier, distracted by a beautiful ice skater, is derelict in his duty and gets discharged. Later, when the screwball army declares war, he lucks into a chance to redeem himself.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMWZlZjY5MTgtNzVmMy00ZWJhLTk4NjMtZjQzYjcwNmIxMTA2XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.4","78","tt0034098","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"15-1943","tt0034448","All Out for 'V'",1942,"N/A","7 min","Animation, Short","Mannie Davis","John Foster, Isadore Klein, Tom Morrison","N/A","When war is announced, all the forest animals, birds and bugs go into manufacturing of armaments, helmets and the like, with an annoying jingle about the country's instruction to step up production musically repeated.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNWQzODkxMDUtOTEyMy00NWUyLWE5NGMtOGU3OWEyNTEwNGU1XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.4","108","tt0034448","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0034851","High Over the Borders",1942,"N/A","23 min","Documentary, Short","Irving Jacoby","Irving Jacoby","Phil Brown","An Oscar-nominated film describing migration among birds in North America emphasizing the international character of many of the flights of different species.","N/A","Canada","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.1","42","tt0034851","movie",NA,NA,NA,NA,"7.1/10",NA,NA,5,2022-12-31,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0034852","High Stakes in the East",1942,"N/A","10 min","Documentary, Short","John Fernhout","N/A","N/A","In the aftermath of the Allied defeat in the battle for Java, after which the island fell into Japanese hands, this propaganda film made for American audiences shows what has been lost.","English","Netherlands","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzE3OWNiZDAtYTljYS00YTMzLTkzMzEtMWM3MmQ0NzFhNzRkXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.4","12","tt0034852","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0034925","Juke Box Jamboree",1942,"Passed","7 min","Animation, Musical, Short","Alex Lovy","Ben Hardaway, Chuck Couch","Mel Blanc, Zedra Conde","A mouse, sleeping in the Zowie Cafe, has his sleep disturbed by the jukebox. He crawls into the machine, but the mechanism flings him out the coin return. The mouse lands in a glass of Zowie beverage, which he happily drinks. Bottles","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTEzMjJiMGUtZTI4NC00MzhiLTk0YmEtNTFjNGY2OGM4YWJhXkEyXkFqcGdeQXVyMjA0NzcwMjI@._V1_SX300.jpg","N/A","6.0","100","tt0034925","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0034979","Little Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0034981","Little Isles of Freedom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0035085","Moscow Strikes Back",1942,"Approved","55 min","Documentary, War","Ilya Kopalin, Leonid Varlamov","Pyotr Pavlenko, Albert Maltz, Elliot Paul","N. Dubravin, Edward G. Robinson, Joseph Stalin","A number of frontline cameramen shot the footage used in this documentary of the Battle of Moscow, between October 1941 and January 1942,in which a people's war against the German invaders, whose atrocities are shown in graphic detai","Russian","Soviet Union","Won 1 Oscar. 3 wins total","https://m.media-amazon.com/images/M/MV5BNDQ1Yzc2YmQtZTZhYi00Mjk1LWE5NjAtNDUzMjc2ZTljMGRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_SX300.jpg","N/A","6.9","221","tt0035085","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA
"15-1943","tt0035088","Mr. Blabbermouth!",1942,"Approved","19 min","Short","Basil Wrangell","Manchester Boddy, Walter Selden","John Nesbitt, Kai-Shek Chiang, Adolf Hitler","Following Japan's attack on Pearl Harbor, America was rife with rumors about the size of Japan's armed forces and how well-equipped they were to wage war against the U.S. Using animation, the first part of this film dispels these rum","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDg5Nzc5ZDktYTZiNC00ZGMyLWE3NmMtMWRiY2EyZGJkNTc3XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.7","283","tt0035088","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0035091","Mister Gardenia Jones",1942,"N/A","13 min","Documentary, Short","George B. Seitz","Carey Wilson","Ronald Reagan, Laraine Day, Charles Winninger","Documentary short film depicting the work of the United Service Organizations (USO) in providing recreational and morale-boosting services for American troops.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzQ5ZWQ4YmUtMDg2Zi00ODg3LWEzMzEtMmVjZDY1N2M1MzI2XkEyXkFqcGdeQXVyMzUwMDU2MjM@._V1_SX300.jpg","N/A","4.7","87","tt0035091","movie",NA,NA,NA,NA,"4.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0035478","Twenty-One Miles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0035536","Paramount Victory Short No. T2-2: We Refuse to Die",1942,"N/A","14 min","Documentary, Short, War","William H. Pine","Maxwell Shane (screenplay)","N/A","N/A","English","USA","N/A","N/A","N/A","8.2","5","tt0035536","movie",NA,NA,NA,NA,"8.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"15-1943","tt0035554","The White Eagle",1942,"N/A","27 min","Documentary, Short","Eugeniusz Cekalski","Val Gielgud","Eugeniusz Cekalski, Zbigniew Grabowski, Leslie Howard","An Oscar-nominated British documentary about the Polish people who escaped Poland and were living in England during World War II, both civilians and soldiers.","Polish, English","United Kingdom, Poland","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.4","32","tt0035554","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"16-1944","tt0035602","The 500 Hats of Bartholomew Cubbins",1943,"N/A","9 min","Animation, Short","George Pal","Dr. Seuss","Billy Bletcher, Robert C. Bruce, Dix Davis","Bartholomew Cubbins has SO MANY HATS. Every time he removes one in the presence of the King, it is replaced magically with another. This enrages the King, who brings him to trial, and to the ultimate sentence.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDQ3NDRiZDQtZDhiZS00MDcwLTgxNTYtMjY5YjU4MDM4YjJhXkEyXkFqcGdeQXVyMjA0NzcwMjI@._V1_SX300.jpg","N/A","6.5","89","tt0035602","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"16-1944","tt0035812","The Dizzy Acrobat",1943,"N/A","7 min","Family, Animation, Short","Alex Lovy","Ben Hardaway, Milt Schaffer","Mel Blanc, Kent Rogers","Woody Woodpecker sneaks in to see the circus as an usher attempts to stop him. Both of them end up on the trapeze and the high wire.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOGVkMzNiZDktNjA0Zi00NzgzLWFkZjItOTQ3NDlmOTQ5NDNjXkEyXkFqcGdeQXVyMjA0NzcwMjI@._V1_SX300.jpg","N/A","6.1","215","tt0035812","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"16-1944","tt0036035","Imagination",1943,"N/A","8 min","Animation, Short, Musical","Bob Wickersham","Dun Roman","Leone Le Doux, The Sportsmen Quartet","A color rhapsody cartoon with wonderful music and a story about a boy and girl doll the the evil toy who wants to come between them.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDU2NzBkODUtZmExMy00ZTYxLTgwNWQtNzk0MGZjZGU2MWEyXkEyXkFqcGdeQXVyMjA0NzcwMjI@._V1_SX300.jpg","N/A","5.9","104","tt0036035","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"16-1944","tt0036294","Reason and Emotion",1943,"Approved","8 min","Animation, Family, Short","Bill Roberts","Joe Grant, Dick Huemer","Mel Blanc, Dessie Flynn, Frank Graham","A film about the need for emotional control for the war effort.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjhiNTFjZTItNDZkYy00NDc2LThlMzMtNTgxY2VlZTEyMmRkXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg","N/A","6.9","482","tt0036294","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"17-1945","tt0036601","And to Think That I Saw It on Mulberry Street",1944,"N/A","10 min","Animation, Short","George Pal","Dr. Seuss","Gary Gray","George Pal's Puppetoon adaptation of the Dr. Seuss story.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOGZmNzg1ZjMtYzdhOC00NGY1LWJkNzktZGQ2NjI0ZWExZWUxXkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","6.8","80","tt0036601","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"17-1945","tt0036652","Blue-Grass Gentlemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"17-1945","tt0036658","Bombalera",1945,"N/A","20 min","Musical, Short","Noel Madison","Jerome Gruskin (screenplay)","Olga San Juan, Johnny Johnston, Mikhail Rasumny, Frank Faylen","N/A","English","USA","N/A","N/A","N/A","8.5","11","tt0036658","movie",NA,NA,NA,NA,"8.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"17-1945","tt0036764","Dog, Cat, and Canary",1945,"N/A","6 min","Animation, Short","Howard Swift","Grant Simmons","Mel Blanc, Frank Graham","A cat is apparently looking for lunch after chasing a mouse, some birds and a squirrel. It then spies in a backyard (SPOILERS?) a canary and a dog. The cat is initially successful at outwitting the dog, but mayhem then ensues.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjlmMDBiOGQtNzNlMi00NGE1LThlZTQtMDUzMDUyMTZjZTRjXkEyXkFqcGdeQXVyMjA0NzcwMjI@._V1_SX300.jpg","N/A","5.7","102","tt0036764","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"17-1945","tt0037039","Main Street Today",1944,"Approved","20 min","Short","Edward L. Cahn","Karl Kamb (story), Julian Harmon (story), Karl Kamb, Julian Harmon","Ray Collins, Henry O'Neill, Addison Richards, John Nesbitt","This patriotic MGM short film, set in World War II has a factory owner who produces the breech block for a key piece of army artillery. The military wants to increase production by 50% but ...","English","USA","N/A","N/A","N/A","6.1","52","tt0037039","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"17-1945","tt0037092","Movie Pests",1944,"Approved","11 min","Comedy, Short","Will Jason","Harry Parke, Joe Ansen","Pete Smith, William Bailey, Margaret Bert","A humorous look at the inconsiderate pests whose annoying habits make enjoying a movie impossible.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTlmZjc5YzctNzE3MC00ZGEwLTliNmUtYzU4MmJkZjkwZTU3XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg","N/A","6.6","244","tt0037092","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"17-1945","tt0037108","My Boy Johnny",1944,"N/A","7 min","Animation, Short","Eddie Donnelly","John Foster (story)","N/A","An animated WWII propaganda short film that shows, in fantastical comedic fashion, what every US soldier (or ""Jonny"") can come to expect on their victorious return home to the USA.","English","USA","N/A","N/A","N/A","5.6","74","tt0037108","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0037510","Along the Rainbow Trail",1946,"Approved","8 min","Documentary, Short","N/A","N/A","Lowell Thomas","This 1946 entry in the ""Movietone Adventures"" series of shorts was in Technicolor when originally released. Narrated by Lowell Thomas, it is a trip from Medicine Hat in southern Utah down the rapids of the San Juan River ending with","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.7","11","tt0037510","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0037547","Blood on the Sun",1945,"Approved","94 min","Drama, Romance, Thriller","Frank Lloyd","Lester Cole, Nathaniel Curtis, Garrett Fort","James Cagney, Sylvia Sidney, Porter Hall","A dedicated American reporter in 1930s Japan is determined to expose that government's plan for world domination.","English, Japanese","United States","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BZTdhNGQ2YzQtNmNjNC00NDAzLTlkZWMtODQ3Y2M3MDhiMWU2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","N/A","6.1","1,992","tt0037547","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,"Prime",NA,NA,"Y",1,0,1,NA,NA,NA,NA
"18-1946","tt0037758","A Gun in His Hand",1945,"Passed","19 min","Drama, Crime, Short","Joseph Losey","Richard H. Landau, Charles F. Royal","Tom Trout, Richard Gaines, Anthony Caruso","A man joins the police force to learn police procedures with the intention of getting away with crimes.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNGFjM2M4ZTEtYjAxOC00ZjhmLTkzYzEtOWQ4ZjA5NmU5MzAxXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg","N/A","6.4","248","tt0037758","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0037828","Jasper and the Beanstalk",1945,"Approved","8 min","Animation, Short, Fantasy","George Pal","N/A","Peggy Lee, Alvin Childress, Glenn Leedy","The Scarecrow trades Jasper a handful of beans for his harmonica. Jasper plants the beans and climbs up the resulting beanstalk and, at the top, finds a beautiful girl in a golden cage playing a golden harp. Jasper rescues her from t","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjgzZmVlNjktNmZmMi00NDFlLWFhOWEtNGRkYmYwNWYwYWJiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","N/A","5.8","67","tt0037828","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0037841","The Jury Goes Round 'n' Round",1945,"Approved","17 min","Comedy, Short","Jules White","Felix Adler","Barbara Jo Allen, Frank Alten, Vernon Dent","Vera is one of many of a group of jurors who must work together to come up with a decision whether or not a man is guilty of murder.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWM4NDQ1OGUtODM2NC00OWMzLThkOTAtNGVmOWFkMjczMTI1XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg","N/A","6.5","30","tt0037841","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0037881","The Little Witch",1945,"Approved","20 min","Short, Musical, Romance","George Templeton","Francis Rosenwald","Olga San Juan, Bob Graham, Adeline De Walt Reynolds","Olga San Juan is the singing and dancing star of a night club in a South America country,and is in love with Bob Graham, the orchestra leader and vocalist, whose wealthy parents are unaware of his club and musical activities. The par","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.6","13","tt0037881","movie",NA,NA,NA,NA,"7.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0037994","The Poet & Peasant",1945,"Approved","7 min","Animation, Short, Comedy","Dick Lundy","Ben Hardaway, Milt Schaffer","N/A","Andy Panda conducts the ""Hollywood Washbowl Orchestra"" (an ensemble of farm animals, on a farm) in the title tune. After Andy removes a frog from under his wig, he begins. All is well until his shirt gets stuck on a nail; while he's","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTQzNmRiNmEtOTcwNS00MDBmLWI0OWQtZmIwYmMxMTgxZDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjA0NzcwMjI@._V1_SX300.jpg","N/A","6.0","154","tt0037994","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0038011","Quiet Please!",1945,"Approved","7 min","Animation, Short, Comedy","Joseph Barbera, William Hanna","William Hanna, Joseph Barbera, Pinto Colvig","Billy Bletcher, William Hanna","The bulldog wants to take a nap. Tom wants to chase Jerry around the house. Naps and noise don't mix, and so the bulldog threatens Tom to keep quiet or else.","English","United States","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BNzBlODJiNDMtZmZhNy00ZTBlLWIyNzMtYjk3YzQ4NTkzOGYzXkEyXkFqcGdeQXVyNjMxODMyODU@._V1_SX300.jpg","N/A","7.8","1,974","tt0038011","movie",NA,NA,NA,NA,"7.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA
"18-1946","tt0038028","Rippling Romance",1945,"N/A","8 min","Animation, Short","Bob Wickersham","Paul Worth","N/A","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzMxNTY4Y2MtYmI2ZC00YTgxLWJlZjktMDJlZmJhM2JiM2ZkXkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg","N/A","4.0","15","tt0038028","movie",NA,NA,NA,NA,"4.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
